level,reward_type,reward_value,note
30,slot,1,슬라이스 사다리 - 몬스터 슬롯 2에서 3으로
10,area,area_01,메이플 아일랜드·리스항구 완료 뒤 헤네시스 근교 개방 (Lv11~20)
20,area,area_03,헤네시스 근교 완료 뒤 엘리니아 개방 (Lv21~30)
30,area,area_02,엘리니아 완료 뒤 페리온 개방 (Lv31~40)
40,area,area_04,페리온 완료 뒤 커닝시티 개방 (Lv41~50)
50,area,area_05,커닝시티 완료 뒤 노틸러스 개방 (Lv51~60)
60,area,area_07,Lv60 달성 시 슬리피우드 개방
70,area,area_08,Lv70 달성 시 오르비스 개방
80,area,area_09,Lv80 달성 시 엘나스 산맥 개방
90,area,area_10,Lv90 달성 시 아쿠아로드 개방
100,area,area_11,Lv100 달성 시 루더스 호수 개방
110,area,area_12,Lv110 달성 시 루디브리엄 개방
120,area,area_13,Lv120 달성 시 니할 사막 개방
130,area,area_14,Lv130 달성 시 마가티아 개방
140,area,area_15,Lv140 달성 시 무릉도원 개방
150,area,area_16,Lv150 달성 시 미나르숲 개방
160,area,area_17,Lv160 달성 시 시간의 신전 개방
170,area,area_18,Lv170 달성 시 지구방위본부 개방
180,area,area_19,Lv180 달성 시 미래의 문 개방
190,area,area_20,Lv190 달성 시 황혼의 페리온 개방
