id,name,source,scaling_stat,coefficient,slot_type,effect_type,is_key_skill,cooldown,skill_kind,target_mode,max_targets,effect_value,duration,range,dash_distance,tier,icon_ruid,icon_ratio,effect_ruid,effect_style,sfx_ruid,projectile_ruid,passive_stat,passive_value,description,layer_ruids,layer_types,layer_styles,layer_delays,layer_durations,layer_scales,layer_offsets_x,layer_offsets_y,layer_drifts_x,layer_drifts_y
s_mon_snail,몸통 박치기,monster,ATK,1.0,monster,damage,false,4,attack,single,1,0,0,0,3.5,0,518cc119c1c04b8797090175d9f015f2,1.00,,,f5a9f40c07c645c88e069849a566b4ff,,,,가고 있는 쪽으로 몸을 날려 부딪힌 적을 들이받는다 (돌진 중 추가 피해),0207c85c05dd4c4eac12f9ee735d0545|997628810df4448f9e534bc426d6794a,animationclip|animationclip,clip|clip,0|0.18,0.58|0.45,0.7|0.55,-0.15|0.75,0|0,0.7|0,0|0
s_mon_snail_dew_trail,이슬 미끄럼길,monster,ATK,0.9,monster,damage,false,5,attack,area,3,0,0,2.5,0,0,c0699b32529049c68de3d13022479bf9,1.00,,,f5a9f40c07c645c88e069849a566b4ff,,,,달팽이가 지면의 이슬을 얇은 흔적으로 밀어 전방의 적을 한 번 훑는다,6097484d513a4fde82ad15557fdc81d3,animationclip,clip,0,0.8,1,0,0,0,0
s_mon_blue_snail,푸른 껍질,monster,ATK,0,monster,shield,false,8,defense,self,0,0.4,3,0,0,0,6e7da13ea5924763bebb7aa4b851eb96,1.00,,,605da1fc42f34ef4a1468387004a6223,,,,껍질에 숨어 3초간 받는 피해를 40% 줄인다,f1fc98b763c24a0bb99d8ce8453a4c8f,animationclip,clip,0,0.8,1,0,0,0,0
s_mon_red_snail,붉은 껍질 돌진,monster,ATK,1.15,monster,damage,false,4,attack,single,1,0,0,0,4.0,0,12d807f89a284616a966513250bc3b7c,1.00,,,bbec511b4ba4460ea0e2f03c71695053,,,,빠르고 강한 붉은 변종이 몸을 웅크린 뒤 붉은 잔상을 끌며 정면으로 돌진한다,b61e270e3118440680f2a51d12255693,animationclip,clip,0,0.8,1,0,0,0,0
s_mon_mano,마노의 무지개 파동,monster,INT,1.45,monster,damage,true,6,attack,area,0,0,0,4.5,0,0,0cf7d9ac7fa4460a897c5f5e8ce47c51,1.00,,,e1fee594c7c643a79f2de2bf9b02b350,,,,오래된 달팽이 마노가 아침 이슬을 모아 잎빛 물결과 무지개 파동으로 펼친다,b71327c616e64d678ee1ab4e60512ea2,animationclip,clip,0,1.2,1,0,0,0,0
s_mon_mushroom,포자 살포,monster,INT,1.1,monster,damage,false,4,attack,area,0,0,0,2.5,0,0,cf02e12a319d421ba5a0788cdb0e3b50,1,,,eb7f504670a14802a48cc94f4eb66848,,,,작은 버섯이 갓을 흔들어 주황빛 포자 먼지를 부채꼴로 세 번 흩뿌린다,"3ecce04d2ad849d5be72838a8b366904,2da3abeb3036413c97904244f1f839b4,c3c3d17688584fe497861696ad3a5c61,3520b7305a064f99a852ec9456d18dc3,bc4b56c1a4ca45219e516b9ae2abc832,2aa73c3764cd485bad5613014f562884,d55d27ef5b644422a01830a86632f89c,aedeb2899bae4a749d0a6a752040cb2c",sprite_sequence,sequence,0,0.8,1,0,0,0,0
s_mon_mushmom,머쉬맘의 포자 충격,monster,ATK,1.35,monster,damage,true,6,attack,area,0,0,0,4.2,0,0,e9fd9337e1c345b2b0b319eca6672725,1,,,5da7bb48092947f395e9f76f601323ca,,,,거대한 머쉬맘이 몸으로 지면을 찍어 충격파를 만들고 주황빛 포자 덩어리를 크게 터뜨린다,"899ddc265060424d8517d87664b2ce4d,0b78c17f76e844ee8c57921c547d6df9,3cdb66096e6047fa800c4015f3b6b0b6,d2b23eec1183402992fbfaf7474204e2,78244ae992d8406fab46fd9d53475cd6,2548e01d00184d9a8669242cd718a26d,fde4e094001a47e4887a4a3bbac930e8,2801b3a237234e36a5ce95ee26860840,f82d373711d848a79ff488f628700cb1,334c65844d5f4b2cbf357e46df94057b,6ec0c9c916f34e0fa292e7c34169be9c,357e86c46ce74d4b8c7697a1b863a29d",sprite_sequence,sequence,0,1.2,1,0,0,0,0
s_mon_stone,암석 피부,monster,ATK,0,monster,shield,false,9,defense,self,0,0.5,5,0,0,0,76348de1ce654d5a961d9c64baf7b370,1,,,605da1fc42f34ef4a1468387004a6223,,,,스톤골렘이 지면을 눌러 암석의 힘을 끌어올린 뒤 몸의 돌층을 맞물려 방어 태세를 굳힌다,"e69f3f0977a047b19a2c75b554be26b6,d5ba309905b847b4a2991f54973dfe43,c211839e744b47269eb946d64c455114,65dd8c912a674d16882ea982fed6665a,5ac3dd0e38384c0cafe7f1a98f2f8de8,a9d65f018d774ac6bdc2dc666071808a,12cc423118434edca5ca1c1fe9bfa12c,0f0ebbc5ceed4ead8092d1523b34d78c",sprite_sequence,sequence,0,0.8,1,0,0,0,0
s_mon_horny_mushroom,단단한 뿔,monster,ATK,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,6e2afe97ab51495db2ad9d45be12a6e2,1,,,,,STR,,뿔버섯의 단단한 뿔을 익혀 보유한 수만큼 STR을 높인다,,,,,,,,,,
s_hero_01,슬래시 블러스트,boss,ATK,1.15,enemy,damage,false,5,attack,area,0,0,0,3.5,0,1,1dc02c9673284efb94da9c86e7414eeb,1.0,eaa71284041b4c8390c32ade11286e16,,afbb81b51fed47eaaee26cc403d59ccf,,,,히어로 전투 전용. 넓게 베어 닿는 적을 모두 벤다,,,,,,,,,,
