key,value,note
session_minutes,12,세션 길이(분) - 시트 가정 탭
initial_level_cap,30,1회차 하드 캡
stat_points_per_level,5,레벨당 스탯 포인트 (티어 상승 전)
exp_base,20,Lv1 필요 EXP
exp_ratio,1.12,필요 EXP 레벨당 공비
monster_exp_base,5,Lv1 몬스터 EXP
monster_exp_ratio,1.1,몬스터 EXP 공비 - 필요EXP 공비보다 낮게
seconds_per_kill,10,처치당 시간(초) - 이동+전투 포함 평균
player_base_atk,10,기본 ATK (분배 전)
player_base_int,10,기본 INT (분배 전) - ATK와 대칭. 첫 1P부터 계열 선택이 성립하게 (T10-1b)
player_base_def,10,기본 DEF (분배 전) - ATK와 대칭. 피격 감쇄는 T10-3
player_base_luk,0,기본 LUK (분배 전) - 0을 유지한다. 10을 주면 기본 포획률이 3%가 아니라 4%가 되어 기획서 4.8과 어긋난다
atk_per_stat_point,1,스탯 1P당 ATK
atk_alloc_ratio,0.6,ATK 분배 비중 (기준 빌드)
player_attack_range,1.0,기본 공격 근접 판정 반경(월드 유닛) - 시트 외 구현 상수
player_attack_interval,1.0,자동 공격 주기(초) - 시트 외 구현 상수
portal_reenter_guard,0.7,포탈 통과 직후 재진입 무시 시간(초) - 시트 외 구현 상수
skill_coefficient_base,1.2,기준 스킬 계수 - 데미지 = 계수 x ATK^2 / (ATK+DEF)
monster_hp_base,30,Lv1 몬스터 HP
monster_hp_ratio,1.09,몬스터 HP 공비
monster_def_base,5,Lv1 몬스터 DEF
monster_def_ratio,1.08,몬스터 DEF 공비
monster_atk_base,24,Lv1 몬스터 ATK - 시트 v0.2에 없던 값이라 초안으로 뒀다가 2026-08-13 실플레이로 확정(T10-3c). Lv1 슬라임이 DEF10 플레이어에게 20 데미지 = HP1000을 50대에 (i-frame 1초라 50초)
monster_atk_ratio,1.08,몬스터 ATK 공비 - DEF와 같은 기울기. 2026-08-13 실플레이로 확정(T10-3c)
drop_luk_multiplier,0.005,LUK 1P당 드랍률 배율 증가분 - 드랍률 = drop_rate x (1 + LUK x 이 값). LUK 100이면 1.5배. 초안(T13-6). 포획처럼 정액으로 두면 2% 희귀템이 LUK 100에서 7%가 되어 최종 목표템이 희귀하지 않게 된다
drop_despawn_seconds,30,바닥에 떨어진 아이템이 사라지는 시간(초) - 초안
drop_pickup_range,0.9,아이템을 줍는 반경(월드 유닛) - 플레이어 공격 반경 1.0보다 살짝 좁게. 초안
capture_base_rate,0.03,기본 포획 확률 3%
capture_luk_bonus,0.001,LUK 1P당 포획 보정 +0.1%p
capture_pity_kills,40,종별 포획 천장 - N마리 처치 시 확정
monster_slot_start,1,몬스터 스킬 슬롯 시작 개수 - 기획서 4.3
monster_slot_max,3,몬스터 스킬 슬롯 상한 - 기획서 4.3
save_min_interval,10,저장 최소 간격(초) - 이벤트 저장 스로틀. 시트 외 구현 상수
