Level,BaseMaxHP,BaseAttack,BaseDefense
1,1000,80,200
2,1100,99,208
3,1200,118,216
4,1300,137,224
5,1400,156,232
6,1500,175,240
7,1600,194,248
8,1700,213,256
9,1800,232,264
10,1900,251,272
11,2000,270,280
12,2100,289,288
13,2200,308,296
14,2300,327,304
15,2400,346,312
16,2500,365,320
17,2600,384,328
18,2700,403,336
19,2800,422,344
20,2900,441,352
21,3000,460,360
22,3100,479,368
23,3200,498,376
24,3300,517,384
25,3400,536,392
26,3500,555,400
27,3600,574,408
28,3700,593,416
29,3800,612,424
30,3900,631,432
31,4000,650,440
32,4100,669,448
33,4200,688,456
34,4300,707,464
35,4400,726,472
36,4500,745,480
37,4600,764,488
38,4700,783,496
39,4800,802,504
40,4900,821,512
41,5000,840,520
42,5100,859,528
43,5200,878,536
44,5300,897,544
45,5400,916,552
46,5500,935,560
47,5600,954,568
48,5700,973,576
49,5800,992,584
50,5900,1011,592
51,6000,1030,600
52,6100,1049,608
53,6200,1068,616
54,6300,1087,624
55,6400,1106,632
56,6500,1125,640
57,6600,1144,648
58,6700,1163,656
59,6800,1182,664
60,6900,1201,672
61,7000,1220,680
62,7100,1239,688
63,7200,1258,696
64,7300,1277,704
65,7400,1296,712
66,7500,1315,720
67,7600,1334,728
68,7700,1353,736
69,7800,1372,744
70,7900,1391,752
71,8000,1410,760
72,8100,1429,768
73,8200,1448,776
74,8300,1467,784
75,8400,1486,792
76,8500,1505,800
77,8600,1524,808
78,8700,1543,816
79,8800,1562,824
80,8900,1581,832
81,9000,1600,840
82,9100,1619,848
83,9200,1638,856
84,9300,1657,864
85,9400,1676,872
86,9500,1695,880
87,9600,1714,888
88,9700,1733,896
89,9800,1752,904
90,9900,1771,912
91,10000,1790,920
92,10100,1809,928
93,10200,1828,936
94,10300,1847,944
95,10400,1866,952
96,10500,1885,960
97,10600,1904,968
98,10700,1923,976
99,10800,1942,984
100,10900,1961,992
101,11000,1980,1000
102,11100,1999,1008
103,11200,2018,1016
104,11300,2037,1024
105,11400,2056,1032
106,11500,2075,1040
107,11600,2094,1048
108,11700,2113,1056
109,11800,2132,1064
110,11900,2151,1072
111,12000,2170,1080
112,12100,2189,1088
113,12200,2208,1096
114,12300,2227,1104
115,12400,2246,1112
116,12500,2265,1120
117,12600,2284,1128
118,12700,2303,1136
119,12800,2322,1144
120,12900,2341,1152
121,13000,2360,1160
122,13100,2379,1168
123,13200,2398,1176
124,13300,2417,1184
125,13400,2436,1192
126,13500,2455,1200
127,13600,2474,1208
128,13700,2493,1216
129,13800,2512,1224
130,13900,2531,1232
131,14000,2550,1240
132,14100,2569,1248
133,14200,2588,1256
134,14300,2607,1264
135,14400,2626,1272
136,14500,2645,1280
137,14600,2664,1288
138,14700,2683,1296
139,14800,2702,1304
140,14900,2721,1312
141,15000,2740,1320
142,15100,2759,1328
143,15200,2778,1336
144,15300,2797,1344
145,15400,2816,1352
146,15500,2835,1360
147,15600,2854,1368
148,15700,2873,1376
149,15800,2892,1384
150,15900,2911,1392
151,16000,2930,1400
152,16100,2949,1408
153,16200,2968,1416
154,16300,2987,1424
155,16400,3006,1432
156,16500,3025,1440
157,16600,3044,1448
158,16700,3063,1456
159,16800,3082,1464
160,16900,3101,1472
161,17000,3120,1480
162,17100,3139,1488
163,17200,3158,1496
164,17300,3177,1504
165,17400,3196,1512
166,17500,3215,1520
167,17600,3234,1528
168,17700,3253,1536
169,17800,3272,1544
170,17900,3291,1552
171,18000,3310,1560
172,18100,3329,1568
173,18200,3348,1576
174,18300,3367,1584
175,18400,3386,1592
176,18500,3405,1600
177,18600,3424,1608
178,18700,3443,1616
179,18800,3462,1624
180,18900,3481,1632
181,19000,3500,1640
182,19100,3519,1648
183,19200,3538,1656
184,19300,3557,1664
185,19400,3576,1672
186,19500,3595,1680
187,19600,3614,1688
188,19700,3633,1696
189,19800,3652,1704
190,19900,3671,1712
191,20000,3690,1720
192,20100,3709,1728
193,20200,3728,1736
194,20300,3747,1744
195,20400,3766,1752
196,20500,3785,1760
197,20600,3804,1768
198,20700,3823,1776
199,20800,3842,1784
200,20900,3861,1792
