id,name,level,hp,def,exp,drop_skill_id,model_id,combat_skill_ids,collection_icon_ruid,companion_visual_ruid
m_snail,달팽이,1,144,80,5,s_mon_snail_dew_trail,snail,,2db94405cf0445f5be2b60a02c21dda5,663faffc64194c08b9371439b1948eb8
m_blue_snail,파란 달팽이,3,212,118,6,s_mon_blue_snail,bluesnail,,0c69164656d24f64bd1a1f6ee4019dff,ca6e5b65e1d643838ba920fbbeb32d8f
m_red_snail,빨간 달팽이,5,281,156,7,s_mon_red_snail,redsnail,,ffb9e9fba641457c818e9bf9d724461a,4f8eab1a9fbf4a35b28f986c4fa12f48
m_mano,마노,10,452,251,12,s_mon_mano,mano,,e035bb90c053401b88de2159dfa230eb,3dcd0dc63d2d491b9b8d39b3b9d0a214
m_mushroom,주황 버섯,5,281,156,7,s_mon_mushroom,mushroom,,a95cfed2c8fe4d2cb64cbb62db051f92,8257566e41aa4234929e81c6c2dab2e4
m_mushmom,머쉬맘,10,452,251,12,s_mon_mushmom,mushmom,,86015373d23b4b05bb8fcc6086354652,c745828d831b42739b9a58c07f334864
m_stone_golem,스톤골렘,10,452,251,12,s_mon_stone,stone_golem,,23761b84fca14bbfa671436791e4e0bb,736ecda03d4444dea5f9089c02c54eb2
m_horny_mushroom,뿔버섯,12,520,289,14,s_mon_horny_mushroom,hornymushroom,,574596d79f004965a293d2551343633f,d3c737e55d0d4405854ebf5be139ea02
m_adv_hero,히어로,20,794,441,31,,hero,s_hero_01|s_hero_def|s_hero_02|s_hero_03|s_hero_04,,
m_adv_bowmaster,보우마스터,30,1136,631,79,,bowmaster,s_bow_01|s_bow_02|s_bow_03|s_bow_04|s_bow_05,,
m_axe_stump,엑스텀프,18,725,403,25,s_mon_axe_stump,axestump,,9d4f9e8f572548f692438ffa817eb52d,4d833dee5c1b4a2b9e5126a1d263e26d
m_dark_axe_stump,다크 엑스텀프,22,862,479,37,s_mon_dark_axe_stump,darkaxestump,,fd35894dd92c4e3b8885e59b0f4d3394,0a698e6daa65430b87a0d1aa39b5c18b
m_wild_boar,와일드보어,26,999,555,54,s_mon_wild_boar,wildboar,,af64c62c1dcf427998c3c52f0a060fec,a11cef0c68bf47149f2f5703a04926fd
m_skeleton_commander,스켈레톤 지휘관,30,1136,631,79,s_mon_skeleton_commander,skeletoncommander,,ed882269a5d543318ad73e7032632960,94003c3d90dd4fd4866c725b29704169
m_iron_hog,아이언 호그,28,1067,593,66,s_mon_iron_hog,ironhog,,eadfe08070d343a9afafe0fd6290f1c6,c3a9242a15e949e29f7d552ed551ca06
m_fire_boar,파이어보어,32,1204,669,96,s_mon_fire_boar,fireboar,,67523b05f66f470cb86b2c6cc46af861,3a153920eaf0427ebc9cbbac9ba20265
m_stumpy,스텀피,42,1546,859,249,s_mon_stumpy,stumpy,,0b6c2f6faccc44da980ce832ab636bf6,36e33516befa4b2db894d0c7f105b97e
m_slime,슬라임,11,486,270,13,s_mon_slime,slime,,50faf654ee5d479cb2958edce9feaef0,dc932872543f4a02bf41e977ab79e5ad
m_fairy,페어리,18,725,403,25,s_mon_fairy,fairy,,1ed0265245594bf0904ceb88ecaf16ba,5d4b92caded84466a19c29856ef2c8e2
m_dark_stump,다크 스텀프,13,554,308,16,s_mon_dark_stump,darkstump,,ed3908e24d694bb786023fc1ed073489,9a4cad470f304753885e06c043156efb
m_bubbling,버블링,15,623,346,19,s_mon_bubbling,bubbling,,e24531def0ec4687b2c5de2cfb32b02e,1f4a576b4b17494d8b99093beb84a97b
m_faust,파우스트,20,794,441,31,s_mon_faust,faust,,9922e94142f9413aa5359297f852a5a2,f0b1b3ee713444e2873711317f5de60d
m_octopus,옥토퍼스,31,1170,650,87,s_mon_octopus,octopus,,d8f014043ce8418f96700c2b6c9ebf6c,3e5f23a5c00541c698fe3836b1ea244d
m_stirge,스티지,33,1238,688,106,s_mon_stirge,stirge,,25152ef859744489b7e34a993b3a3c6d,d548c5a6486f48389dd7e1f7e9478d56
m_jr_wraith,주니어 레이스,35,1307,726,128,s_mon_jr_wraith,jrwraith,,ca9fd4116b62417caebde864c675e026,9658914ae9c64a87b266d8be957715bc
m_wraith,레이스,38,1409,783,170,s_mon_wraith,wraith,,15e7b98cec434b269c09e97f550921c3,2f11969b1f694825ac8ad13635711c5b
