id,name,source,scaling_stat,coefficient,slot_type,effect_type,is_key_skill,cooldown,skill_kind,target_mode,max_targets,effect_value,duration,range,dash_distance,tier,icon_ruid,icon_ratio,effect_ruid,effect_style,sfx_ruid,projectile_ruid,passive_stat,passive_value,description,layer_ruids,layer_types,layer_styles,layer_delays,layer_durations,layer_scales,layer_offsets_x,layer_offsets_y,layer_drifts_x,layer_drifts_y
s_mon_snail,몸통 박치기,monster,ATK,1.0,monster,damage,false,4,attack,single,1,0,0,0,3.5,0,518cc119c1c04b8797090175d9f015f2,1.00,,,f5a9f40c07c645c88e069849a566b4ff,,,,가고 있는 쪽으로 몸을 날려 부딪힌 적을 들이받는다 (돌진 중 추가 피해),0207c85c05dd4c4eac12f9ee735d0545|997628810df4448f9e534bc426d6794a,animationclip|animationclip,clip|clip,0|0.18,0.58|0.45,0.7|0.55,-0.15|0.75,0|0,0.7|0,0|0
s_mon_blue_snail,푸른 껍질,monster,ATK,0,monster,shield,false,8,defense,self,0,0.4,3,0,0,0,73c1bdafcb7e42bc8db0041883226449,1.00,,,605da1fc42f34ef4a1468387004a6223,,,,껍질에 숨어 3초간 받는 피해를 40% 줄인다,566b0886b4cf4f3997a29ecd3a1954b5|86734a2715504c10b1e50ae810609e25,animationclip|animationclip,clip|clip,0|0.12,0.85|0.7,0.65|0.75,0|0,0|0,0|0,0|0
s_mon_red_snail,붉은 껍질 돌진,monster,ATK,1.15,monster,damage,false,4,attack,single,1,0,0,0,4.0,0,4292e76ef5034a42976afa7988d0a85c,1.00,,,bbec511b4ba4460ea0e2f03c71695053,,,,빠르고 강한 붉은 변종이 몸을 웅크린 뒤 붉은 잔상을 끌며 정면으로 돌진한다,057c2da13da2492c95cb92db424803db|0207c85c05dd4c4eac12f9ee735d0545|997628810df4448f9e534bc426d6794a,animationclip|animationclip|animationclip,clip|clip|clip,0|0.05|0.32,0.65|0.55|0.45,0.65|0.6|0.55,0.15|-0.1|0.8,0|-0.05|0,0.85|0|0,0|0|0
s_mon_mano,마노의 무지개 파동,monster,INT,1.45,monster,damage,true,6,attack,area,0,0,0,4.5,0,0,890da64fbb374f018a722d9ed040098d,1.00,,,e1fee594c7c643a79f2de2bf9b02b350,,,,오래된 달팽이 마노가 아침 이슬을 모아 잎빛 물결과 무지개 파동으로 펼친다,69656381a8e04edcbb8a2c8599567ab3|2c12c1e835a04c2a9ec1c5724846a7b6|f2193098cb774d9e820a5831e486a6a8,animationclip|animationclip|animationclip,clip|clip|clip,0|0.08|0.2,0.65|0.75|0.8,0.65|1.05|0.78,0|0|0,0|0.02|0.02,0|0|0,0|0|0
s_mon_mushroom,포자 살포,monster,INT,1.1,monster,damage,false,4,attack,area,0,0,0,2.5,0,0,6923ce8064e4445d8e63176645943fb1,1.00,,,eb7f504670a14802a48cc94f4eb66848,,,,작은 버섯이 갓을 흔들어 주황빛 포자 먼지를 부채꼴로 세 번 흩뿌린다,9c927f6388e74628b1050dfc8490246c|9c927f6388e74628b1050dfc8490246c|9c927f6388e74628b1050dfc8490246c,animationclip|animationclip|animationclip,clip|clip|clip,0|0.08|0.16,0.55|0.6|0.65,0.38|0.36|0.34,-0.28|0|0.28,0|0.04|-0.04,-0.28|0|0.28,0.12|0.18|0.12
s_mon_mushmom,머쉬맘의 포자 충격,monster,ATK,1.35,monster,damage,true,6,attack,area,0,0,0,4.2,0,0,0b09a6a325c54caca2282859ae624b22,1.00,,,5da7bb48092947f395e9f76f601323ca,,,,거대한 머쉬맘이 몸으로 지면을 찍어 충격파를 만들고 주황빛 포자 덩어리를 크게 터뜨린다,05113e9dc86448cb8581731824106d75|86734a2715504c10b1e50ae810609e25|9c927f6388e74628b1050dfc8490246c,animationclip|animationclip|animationclip,clip|clip|clip,0|0.1|0.22,0.75|0.72|0.7,0.9|1.15|0.72,0|0|0,-0.08|-0.08|0,0|0|0,0|0|0.18
s_mon_stone,암석 피부,monster,ATK,0,monster,shield,false,9,defense,self,0,0.5,5,0,0,0,cba9471e009f46ee9c786f31d29c3848,1.00,,,605da1fc42f34ef4a1468387004a6223,,,,스톤골렘이 지면을 눌러 암석의 힘을 끌어올린 뒤 몸의 돌층을 맞물려 방어 태세를 굳힌다,05113e9dc86448cb8581731824106d75|86734a2715504c10b1e50ae810609e25,animationclip|animationclip,clip|clip,0|0.12,0.65|0.72,0.8|0.9,0|0,-0.06|-0.06,0|0,0|0
s_mon_horny_mushroom,단단한 뿔,monster,ATK,0,monster,shield,false,0,passive,self,0,0,0,0,0,0,0928f98bbd114efc935696c1200c9d39,1.00,,,,,STR,,뿔버섯의 단단한 뿔을 익혀 보유한 수만큼 STR을 높인다,,,,,,,,,,
s_hero_01,슬래시 블러스트,boss,ATK,1.15,enemy,damage,false,5,attack,area,0,0,0,3.5,0,1,1dc02c9673284efb94da9c86e7414eeb,1.0,eaa71284041b4c8390c32ade11286e16,,afbb81b51fed47eaaee26cc403d59ccf,,,,히어로 전투 전용. 넓게 베어 닿는 적을 모두 벤다,,,,,,,,,,
s_hero_def,아이언 바디,boss,ATK,0,enemy,shield,false,10,defense,self,0,0.35,4,0,0,1,52162587bc534b9385af8c77513d93d4,1.0,af4e6abe766e4970a0e90aca58c6cc1c,,,,,,히어로 전투 전용. 몸을 굳혀 4초간 받는 피해를 35% 줄인다,,,,,,,,,,
