area,skill,required_vfx,frame_count,count_ok,canvas_ok,icon_ok,rgba,transparent,monster_hash_match,ruid_resolved,edge_max
AREA_00,s_mon_snail_dew_trail,True,8,True,False,True,True,True,True,True,0
AREA_00,s_mon_blue_snail,True,8,True,True,True,True,True,True,True,0
AREA_00,s_mon_red_snail,True,8,True,True,True,True,True,True,True,0
AREA_00,s_mon_mano,True,12,True,False,True,True,True,True,True,0
AREA_00,s_mon_slime,True,8,True,True,True,True,True,True,True,0
AREA_01,s_mon_snail_dew_trail,True,8,True,True,True,True,True,True,True,0
AREA_01,s_mon_blue_snail,True,8,True,True,True,True,True,True,True,0
AREA_01,s_mon_mushroom,True,8,True,True,True,True,True,True,True,0
AREA_01,s_mon_mushmom,True,12,True,True,True,True,True,True,True,0
AREA_01,s_mon_horny_mushroom,False,0,True,True,True,True,True,True,True,0
AREA_02,s_mon_stone,True,8,True,True,True,True,True,True,True,0
AREA_02,s_mon_axe_stump,True,8,True,True,True,True,True,True,True,0
AREA_02,s_mon_dark_axe_stump,True,8,True,True,True,True,True,True,True,0
AREA_02,s_mon_wild_boar,True,8,True,True,True,True,True,True,True,0
AREA_02,s_mon_iron_hog,False,0,True,True,True,True,True,True,True,0
AREA_02,s_mon_skeleton_commander,True,8,True,True,True,True,True,True,True,0
AREA_02,s_mon_fire_boar,True,8,True,True,True,True,True,True,True,0
AREA_02,s_mon_stumpy,True,12,True,True,True,True,True,True,True,0
AREA_03,s_mon_slime,True,8,True,True,True,True,True,True,True,0
AREA_03,s_mon_dark_stump,True,8,True,True,True,True,True,True,True,0
AREA_03,s_mon_bubbling,False,0,True,True,True,True,True,True,True,0
AREA_03,s_mon_fairy,True,8,True,True,True,True,True,True,True,1
AREA_03,s_mon_faust,True,12,True,True,True,True,True,True,True,0
AREA_04,s_mon_octopus,True,8,True,True,True,True,True,True,True,0
AREA_04,s_mon_stirge,False,0,True,True,True,True,True,True,True,0
AREA_04,s_mon_jr_wraith,True,8,True,True,True,True,True,True,True,0
AREA_04,s_mon_wraith,False,0,True,True,True,True,True,True,True,0
AREA_04,s_mon_shade,True,12,True,True,True,True,True,True,True,0
AREA_05,s_mon_ribbon_pig,True,8,True,True,True,True,True,True,True,0
AREA_05,s_mon_blue_pig,False,0,True,True,True,True,True,True,True,0
AREA_05,s_mon_starfish,True,8,True,True,True,True,True,True,True,0
AREA_05,s_mon_jellyfish,False,0,True,True,True,True,True,True,True,0
AREA_05,s_mon_king_clang,True,12,True,True,True,True,True,True,True,0
