area_id,monster_id,skill_id,skill_type,effect_role,current_field,current_layer,current_ruid,decision,new_file_set,target_field,target_layer,attach_to,player_behavior,monster_behavior,delay_seconds,duration_seconds,loop,frame_timing,coordinate_unit,direction,flip_x,scale,pivot,offset,image_internal_vs_engine,source_evidence,notes,generation_required,runtime_use,targeting_range,monster_targeting_range,impact_radius,impact_delay,max_targets,contract_status
area_01,m_snail,s_mon_snail_dew_trail,액티브,APPROVED_REUSE_CAST_VFX+ICON,layer_ruids|icon_ruid,approved single layer,6097484d513a4fde82ad15557fdc81d3|c0699b32529049c68de3d13022479bf9,APPROVED_REUSE,approved_reuse/AREA_00/* (byte-identical),layer_ruids|icon_ruid,approved mapping only,caster,AREA 00 report: left/right playback verified,AREA 00 report: monster caster playback verified,0,0.8,false,8 frames × 0.10s; same 384×384 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,approved left/right behavior,approved runtime behavior,1,"(0.5,0.5) planned registration pivot; no autocrop/recenter","(0,0) approved",approved frames preserved; no regeneration,runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,신규 생성 금지; reuse manifest SHA must match,false,true,n/a,n/a,n/a,n/a,n/a,READY
area_01,m_blue_snail,s_mon_blue_snail,버프,APPROVED_REUSE_CAST_VFX+ICON,layer_ruids|icon_ruid,approved single layer,f1fc98b763c24a0bb99d8ce8453a4c8f|6e7da13ea5924763bebb7aa4b851eb96,APPROVED_REUSE,approved_reuse/AREA_00/* (byte-identical),layer_ruids|icon_ruid,approved mapping only,caster,AREA 00 report: left/right playback verified,AREA 00 report: monster caster playback verified,0,0.8,false,8 frames × 0.10s; same 256×256 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,approved left/right behavior,approved runtime behavior,1,"(0.5,0.5) planned registration pivot; no autocrop/recenter","(0,0) approved",approved frames preserved; no regeneration,runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,신규 생성 금지; reuse manifest SHA must match,false,true,n/a,n/a,n/a,n/a,n/a,READY
area_01,m_mushroom,s_mon_mushroom,액티브,CAST_VFX,layer_ruids,visual stack L1..L3,9c927f6388e74628b1050dfc8490246c|9c927f6388e74628b1050dfc8490246c|9c927f6388e74628b1050dfc8490246c,REPLACE_PLANNED,VFX/F00... -> accepted AnimationClip,layer_ruids,replace visual stack as one accepted primary clip; do not duplicate across old layers automatically,caster at PlayCast time,"플레이어: 즉시 시전자 중심 원형 피해 판정 후 CAST. 몬스터: 축소 반경의 시전자 중심 원형 판정이 실제 명중한 경우에만 CAST. CAST는 시전자 원점+h, 좌측 대상/시선이면 FlipX. L1 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0s duration=0.55s scale=0.38 offset=(-0.28,0)wu drift=(-0.28,0.12)wu/s; L2 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.08s duration=0.6s scale=0.36 offset=(0,0.04)wu drift=(0,0.18)wu/s; L3 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.16s duration=0.65s scale=0.34 offset=(0.28,-0.04)wu drift=(0.28,0.12)wu/s","플레이어: 즉시 시전자 중심 원형 피해 판정 후 CAST. 몬스터: 축소 반경의 시전자 중심 원형 판정이 실제 명중한 경우에만 CAST. CAST는 시전자 원점+h, 좌측 대상/시선이면 FlipX. L1 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0s duration=0.55s scale=0.38 offset=(-0.28,0)wu drift=(-0.28,0.12)wu/s; L2 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.08s duration=0.6s scale=0.36 offset=(0,0.04)wu drift=(0,0.18)wu/s; L3 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.16s duration=0.65s scale=0.34 offset=(0.28,-0.04)wu drift=(0.28,0.12)wu/s",0 planned primary clip,0.80,false,8 frames × 0.10s; same 384×384 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,right-authored; role contract controls use,defense=false; attack based on player look/monster hit target,UNRESOLVED_IMPORT_PREVIEW,"(0.5,0.5) planned registration pivot; no autocrop/recenter",preserve current gameplay origin; final visual offset unresolved until labeled preview,"local build-up/impact only; layer drift, dash, projectile translation remain engine-owned",runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,old layers remain KEEP until art approval; exact final scale/offset is not invented in INPUT,true,true,n/a,n/a,n/a,n/a,n/a,READY
area_01,m_mushroom,s_mon_mushroom,액티브,CURRENT_CAST_LAYER,layer_ruids,L1,9c927f6388e74628b1050dfc8490246c,KEEP,none until approved replacement,layer_ruids,L1,caster,current layer recipe,current layer recipe,0,0.55,false,8 frames × 0.10s; same 384×384 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,engine FlipX by caster/target,SkillEffect.SpawnLayer,0.38,"(0.5,0.5) planned registration pivot; no autocrop/recenter","(-0.28,0) world unit","engine drift (-0.28,0.12) world unit/s",runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,기존 리소스는 신규 아트 승인·반입 전까지 유지,false,true,n/a,n/a,n/a,n/a,n/a,READY
area_01,m_mushroom,s_mon_mushroom,액티브,CURRENT_CAST_LAYER,layer_ruids,L2,9c927f6388e74628b1050dfc8490246c,KEEP,none until approved replacement,layer_ruids,L2,map entity spawned at caster position sampled when delayed SpawnLayer executes,current layer recipe,current layer recipe,0.08,0.6,false,8 frames × 0.10s; same 384×384 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,engine FlipX by caster/target,SkillEffect.SpawnLayer,0.36,"(0.5,0.5) planned registration pivot; no autocrop/recenter","(0,0.04) world unit",position sampled at execution; after spawn map entity applies configured drift and does not follow caster,runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,기존 리소스는 신규 아트 승인·반입 전까지 유지,false,true,n/a,n/a,n/a,n/a,n/a,READY
area_01,m_mushroom,s_mon_mushroom,액티브,CURRENT_CAST_LAYER,layer_ruids,L3,9c927f6388e74628b1050dfc8490246c,KEEP,none until approved replacement,layer_ruids,L3,map entity spawned at caster position sampled when delayed SpawnLayer executes,current layer recipe,current layer recipe,0.16,0.65,false,8 frames × 0.10s; same 384×384 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,engine FlipX by caster/target,SkillEffect.SpawnLayer,0.34,"(0.5,0.5) planned registration pivot; no autocrop/recenter","(0.28,-0.04) world unit",position sampled at execution; after spawn map entity applies configured drift and does not follow caster,runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,기존 리소스는 신규 아트 승인·반입 전까지 유지,false,true,n/a,n/a,n/a,n/a,n/a,READY
area_01,m_mushroom,s_mon_mushroom,액티브,ICON,icon_ruid,UI,6923ce8064e4445d8e63176645943fb1,REPLACE_PLANNED,ICON/icon.png 256×256 RGBA,icon_ruid,UI icon,UI,inventory/skill UI,not world VFX,n/a,static,false,8 frames × 0.10s; same 384×384 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,none,false,UI layout controlled,"(0.5,0.5) planned registration pivot; no autocrop/recenter",UI layout controlled,static centered motif,runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,VFX와 색·질감 언어 일치; 몬스터 원본을 그대로 복사하지 않음,true,ui,n/a,n/a,n/a,n/a,n/a,READY
area_01,m_mushmom,s_mon_mushmom,액티브,CAST_VFX,layer_ruids,visual stack L1..L3,05113e9dc86448cb8581731824106d75|86734a2715504c10b1e50ae810609e25|9c927f6388e74628b1050dfc8490246c,REPLACE_PLANNED,VFX/F00... -> accepted AnimationClip,layer_ruids,replace visual stack as one accepted primary clip; do not duplicate across old layers automatically,caster at PlayCast time,"플레이어: 즉시 시전자 중심 원형 피해 판정 후 CAST. 몬스터: 축소 반경의 시전자 중심 원형 판정이 실제 명중한 경우에만 CAST. CAST는 시전자 원점+h, 좌측 대상/시선이면 FlipX. L1 05113e9dc86448cb8581731824106d75 animationclip/clip delay=0s duration=0.75s scale=0.9 offset=(0,-0.08)wu drift=(0,0)wu/s; L2 86734a2715504c10b1e50ae810609e25 animationclip/clip delay=0.1s duration=0.72s scale=1.15 offset=(0,-0.08)wu drift=(0,0)wu/s; L3 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.22s duration=0.7s scale=0.72 offset=(0,0)wu drift=(0,0.18)wu/s","플레이어: 즉시 시전자 중심 원형 피해 판정 후 CAST. 몬스터: 축소 반경의 시전자 중심 원형 판정이 실제 명중한 경우에만 CAST. CAST는 시전자 원점+h, 좌측 대상/시선이면 FlipX. L1 05113e9dc86448cb8581731824106d75 animationclip/clip delay=0s duration=0.75s scale=0.9 offset=(0,-0.08)wu drift=(0,0)wu/s; L2 86734a2715504c10b1e50ae810609e25 animationclip/clip delay=0.1s duration=0.72s scale=1.15 offset=(0,-0.08)wu drift=(0,0)wu/s; L3 9c927f6388e74628b1050dfc8490246c animationclip/clip delay=0.22s duration=0.7s scale=0.72 offset=(0,0)wu drift=(0,0.18)wu/s",0 planned primary clip,0.96,false,12 frames × 0.08s; same 512×512 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,right-authored; role contract controls use,defense=false; attack based on player look/monster hit target,UNRESOLVED_IMPORT_PREVIEW,"(0.5,0.5) planned registration pivot; no autocrop/recenter",preserve current gameplay origin; final visual offset unresolved until labeled preview,"local build-up/impact only; layer drift, dash, projectile translation remain engine-owned",runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,old layers remain KEEP until art approval; exact final scale/offset is not invented in INPUT,true,true,n/a,n/a,n/a,n/a,n/a,READY
area_01,m_mushmom,s_mon_mushmom,액티브,CURRENT_CAST_LAYER,layer_ruids,L1,05113e9dc86448cb8581731824106d75,KEEP,none until approved replacement,layer_ruids,L1,caster,current layer recipe,current layer recipe,0,0.75,false,12 frames × 0.08s; same 512×512 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,engine FlipX by caster/target,SkillEffect.SpawnLayer,0.9,"(0.5,0.5) planned registration pivot; no autocrop/recenter","(0,-0.08) world unit","engine drift (0,0) world unit/s",runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,기존 리소스는 신규 아트 승인·반입 전까지 유지,false,true,n/a,n/a,n/a,n/a,n/a,READY
area_01,m_mushmom,s_mon_mushmom,액티브,CURRENT_CAST_LAYER,layer_ruids,L2,86734a2715504c10b1e50ae810609e25,KEEP,none until approved replacement,layer_ruids,L2,map entity spawned at caster position sampled when delayed SpawnLayer executes,current layer recipe,current layer recipe,0.1,0.72,false,12 frames × 0.08s; same 512×512 RGBA canvas,runtime offset=world unit; drift=world unit/s; art=pixel canvas; pivot=normalized,engine FlipX by caster/target,SkillEffect.SpawnLayer,1.15,"(0.5,0.5) planned registration pivot; no autocrop/recenter","(0,-0.08) world unit",position sampled at execution; after spawn map entity applies configured drift and does not follow caster,runtime_evidence/RUNTIME_CODE_EVIDENCE.md; ASSET_BINDING_PLAN.md,기존 리소스는 신규 아트 승인·반입 전까지 유지,false,true,n/a,n/a,n/a,n/a,n/a,READY
