area_id,area_name,work_order,monster_id,monster_name,skill_id,skill_name,skill_type,pivot,targeting_range,impact_radius,impact_delay,effect_role,current_use,current_field_or_layer,current_resource,production_decision,required_file_set,frame_count,canvas,frame_seconds,total_seconds,playback_mode,direction_and_engine_motion,future_target,consolidation_strategy,runtime_use,unresolved,evidence,baseline_current_evidence,approved_target_ruid,approved_frame_sprite_ruids,source_path,output_path,preview_reference_files,approval_evidence,approval_status
area_01,헤네시스 근교,001,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,ICON,true,icon_ruid,c0699b32529049c68de3d13022479bf9,AREA00_APPROVED_REUSE,approved_reuse/AREA_00/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png,1,256x256 RGBA,static,static,static,none,icon_ruid -> approved_icon_ruid=c0699b32529049c68de3d13022479bf9,n/a,ui,none,SkillTable.icon_ruid; Area00 resource map/hash,c0699b32529049c68de3d13022479bf9,c0699b32529049c68de3d13022479bf9,n/a,approved_reuse/AREA_00/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png,AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png,approved_reuse/AREA_00/001_m_snail_달팽이/PREVIEW/001_m_snail_s_mon_snail_dew_trail_CONTACT_PREVIEW.png|approved_reuse/AREA_00/001_m_snail_달팽이/PREVIEW/labeled_preview.png,AREA_00_IMAGES_RESOURCE_MAP.csv + V2.2 ASSET_BINDING_PLAN.csv + INPUT_V2_3_REVIEW_RESULTS,CONFIRMED_MATCH
area_01,헤네시스 근교,001,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,CAST_VFX,true,layer_ruids,"L1:6097484d513a4fde82ad15557fdc81d3 animationclip/clip delay=0s duration=0.8s scale=1 offset=(0,0)wu drift=(0,0)wu/s",AREA00_APPROVED_REUSE,approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F00.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F01.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F02.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F03.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F04.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F05.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F06.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F07.png,8,384x384 RGBA,0.1,0.8,approved existing,SkillEffect applies FlipX for directional attacks; delayed layer samples caster position at SpawnLayer execution; map entity then applies drift,layer_ruids -> approved_animationclip_ruid=6097484d513a4fde82ad15557fdc81d3,AREA00 approved mapping unchanged,true,none,SkillTable layer/effect fields; SkillEffect.PlayCast/SpawnLayer,"L1:6097484d513a4fde82ad15557fdc81d3 animationclip/clip delay=0s duration=0.8s scale=1 offset=(0,0)wu drift=(0,0)wu/s",6097484d513a4fde82ad15557fdc81d3,b23e5b681ff9406d92fdc0f1f70a5a9a|082b3c6ef149443ca3d3ec4cb47138de|4207b2fc18ef4beb8036e9c36ad7be75|c7559a6bbb094dd6be42a270f151df9e|538e7814b00f417d95a622235cda10aa|a367a0f2116441f3affbdfaa3015dfcf|e629a1d5081e420d95a047feafce731a|1b07ed19b7274ed8917c1a847abf8e06,approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F00.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F01.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F02.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F03.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F04.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F05.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F06.png|approved_reuse/AREA_00/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F07.png,AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F00.png|AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F01.png|AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F02.png|AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F03.png|AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F04.png|AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F05.png|AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F06.png|AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/CAST/001_m_snail_s_mon_snail_dew_trail_CAST_F07.png,approved_reuse/AREA_00/001_m_snail_달팽이/PREVIEW/001_m_snail_s_mon_snail_dew_trail_CONTACT_PREVIEW.png|approved_reuse/AREA_00/001_m_snail_달팽이/PREVIEW/labeled_preview.png,AREA_00_IMAGES_RESOURCE_MAP.csv + V2.2 ASSET_BINDING_PLAN.csv + INPUT_V2_3_REVIEW_RESULTS,CONFIRMED_MATCH
area_01,헤네시스 근교,001,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PROJECTILE,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,001,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,HIT_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; no dedicated hit/impact visual field or Spawn call in current common projectile path,PlayerAttack.ResolveThrowHit; MonsterAttack.ResolveThrowHit; SkillEffect has no hit asset argument,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,001,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PERSISTENT_BUFF_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; defense mechanics may persist but current visual is one-shot CAST only,MonsterAttack defense branch + SkillEffect.PlayCast; no persistent visual entity field,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,001,m_snail,달팽이,s_mon_snail_dew_trail,이슬 미끄럼길,액티브,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,REFERENCE_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,002,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,ICON,true,icon_ruid,73c1bdafcb7e42bc8db0041883226449,AREA00_APPROVED_REUSE,approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,1,256x256 RGBA,static,static,static,none,icon_ruid -> approved_icon_ruid=6e7da13ea5924763bebb7aa4b851eb96,n/a,ui,none,SkillTable.icon_ruid; Area00 resource map/hash,73c1bdafcb7e42bc8db0041883226449,6e7da13ea5924763bebb7aa4b851eb96,n/a,approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png,approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/PREVIEW/002_m_blue_snail_s_mon_blue_snail_CONTACT_PREVIEW.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/PREVIEW/labeled_preview.png,AREA_00_IMAGES_RESOURCE_MAP.csv + V2.2 ASSET_BINDING_PLAN.csv + INPUT_V2_3_REVIEW_RESULTS,CONFIRMED_MATCH
area_01,헤네시스 근교,002,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,CAST_VFX,true,layer_ruids,"L1:566b0886b4cf4f3997a29ecd3a1954b5 animationclip/clip delay=0s duration=0.85s scale=0.65 offset=(0,0)wu drift=(0,0)wu/s; L2:86734a2715504c10b1e50ae810609e25 animationclip/clip delay=0.12s duration=0.7s scale=0.75 offset=(0,0)wu drift=(0,0)wu/s",AREA00_APPROVED_REUSE,approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F00.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F01.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F02.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F03.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F04.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F05.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F06.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F07.png,8,256x256 RGBA,0.1,0.8,approved existing,SkillEffect applies FlipX for directional attacks; delayed layer samples caster position at SpawnLayer execution; map entity then applies drift,layer_ruids -> approved_animationclip_ruid=f1fc98b763c24a0bb99d8ce8453a4c8f,AREA00 approved mapping unchanged,true,none,SkillTable layer/effect fields; SkillEffect.PlayCast/SpawnLayer,"L1:566b0886b4cf4f3997a29ecd3a1954b5 animationclip/clip delay=0s duration=0.85s scale=0.65 offset=(0,0)wu drift=(0,0)wu/s; L2:86734a2715504c10b1e50ae810609e25 animationclip/clip delay=0.12s duration=0.7s scale=0.75 offset=(0,0)wu drift=(0,0)wu/s",f1fc98b763c24a0bb99d8ce8453a4c8f,67d130ff8cf348baaaa8b5b82aea85c5|c41282607dbd4ce0a883978a76940a0d|cde85252be8e45c4a13e257bfa876865|66631abd26f648b0b3daea8e79788432|b5255e0b14e044b4bf33000ef0b4c501|95349175b489445ca7f3d613457b3dc7|17eaca36217d49329aca30dede462aa2|a251a69e389f4d03850bbc02c77a1a5d,approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F00.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F01.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F02.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F03.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F04.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F05.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F06.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F07.png,AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F00.png|AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F01.png|AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F02.png|AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F03.png|AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F04.png|AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F05.png|AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F06.png|AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/CAST/002_m_blue_snail_s_mon_blue_snail_CAST_F07.png,approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/PREVIEW/002_m_blue_snail_s_mon_blue_snail_CONTACT_PREVIEW.png|approved_reuse/AREA_00/002_m_blue_snail_파란_달팽이/PREVIEW/labeled_preview.png,AREA_00_IMAGES_RESOURCE_MAP.csv + V2.2 ASSET_BINDING_PLAN.csv + INPUT_V2_3_REVIEW_RESULTS,CONFIRMED_MATCH
area_01,헤네시스 근교,002,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,PROJECTILE,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none,SkillTable visual fields + PlayerAttack/MonsterAttack/SkillEffect code,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
area_01,헤네시스 근교,002,m_blue_snail,파란 달팽이,s_mon_blue_snail,푸른 껍질,버프,"normalized (0.5,0.5); no autocrop/recenter",n/a,n/a,n/a,HIT_VFX,false,none,,NO_RUNTIME_ROLE,none,0,n/a,n/a,n/a,n/a,n/a,none,n/a,false,none; no dedicated hit/impact visual field or Spawn call in current common projectile path,PlayerAttack.ResolveThrowHit; MonsterAttack.ResolveThrowHit; SkillEffect has no hit asset argument,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
