area,monster_id,monster_name,skill_id,frames,canvas,dt,duration,lifetime,targeting_range,hit_radius
2,m_stumpy,스텀피,s_mon_stumpy,4,512x512 RGBA,0.08,0.32,0.35,5,0.8
3,m_faust,파우스트,s_mon_faust,4,512x512 RGBA,0.08,0.32,0.35,4,0.8
8,m_star_pixie,스타픽시,s_mon_star_pixie,4,384x384 RGBA,0.08,0.32,0.35,6,0.8
8,m_lunar_pixie,루나픽시,s_mon_lunar_pixie,4,384x384 RGBA,0.08,0.32,0.35,6.4,0.8
10,m_shark,샤크,s_mon_shark,4,384x384 RGBA,0.08,0.32,0.35,6.5,0.8
11,m_king_bloctopus,킹 블록퍼스,s_mon_king_bloctopus,4,384x384 RGBA,0.08,0.32,0.35,6.8,0.8
14,m_roid,로이드,s_mon_roid,4,384x384 RGBA,0.08,0.32,0.35,7,0.8
14,m_chimera,키메라,s_mon_chimera,4,512x512 RGBA,0.08,0.32,0.35,6.8,0.8
15,m_peach_monkey,원공,s_mon_peach_monkey,4,384x384 RGBA,0.08,0.32,0.35,7,0.8
15,m_tae_roon,태륜,s_mon_tae_roon,4,512x512 RGBA,0.08,0.32,0.35,6.6,0.8
17,m_dodo,도도,s_mon_dodo,4,512x512 RGBA,0.08,0.32,0.35,7,0.8
18,m_mateon,마티안,s_mon_mateon,4,384x384 RGBA,0.08,0.32,0.35,7.4,0.8
