area_num,area_id,area_name,monster_count,source_sha256,zip_file,zip_bytes,zip_sha256,prompt_file,prompt_sha256
00,area_00,메이플 아일랜드·리스항구,5,d1eb7b7f46061d3ef61c11781f0df0629d407d4415c8464f7567abea3a3dfdf7,AREA_00_IMAGES_INPUT.zip,12575825,de5fb5d71c24be893416bd43fa2d1c6c4b7f3a97e3fa98ff792c1028cf4cff40,AREA_00_CHATGPT_PRODUCTION_PROMPT.txt,b0c51ad83d3f1d4f9e81ac598eee1d099d02b9233a8d171a2911a4f8fe63bb7b
01,area_01,헤네시스 근교,5,d7b6cdf322ca2aff0b2bf9163826641a4c5c1a4ae8d8fc9b31b386a928aa1343,AREA_01_IMAGES_INPUT.zip,15761338,87c0793f27872ebae60ad22c899676119b6ed44b1b6393e2e09f31bfc0de2f58,AREA_01_CHATGPT_PRODUCTION_PROMPT.txt,39362b01b43fffc5154b6eb2c00f8c34d7ce57807a9470132fdc3bc09dd47338
02,area_02,페리온,8,c5199249151a782eb2cf23798738bb7bcc982dc43236482583fa1fcd852290ee,AREA_02_IMAGES_INPUT.zip,18402566,313f91bd4e0009489733ace4f5900bf1afdbf8a1403ec3b6a001d7eae5025ef6,AREA_02_CHATGPT_PRODUCTION_PROMPT.txt,2d57cf8f03f5657c7c62782913731b4ec09e03f81ac5827a1475a612f076e2df
03,area_03,엘리니아,5,fba164cb69510ea5f4be6853dc7b7d0746b10f37715e2adfb2aba61c9497afaf,AREA_03_IMAGES_INPUT.zip,14104331,30faf8a799a98a84e165bc91b64c1dd328b8a16e6d87d6ec089287711cd1c311,AREA_03_CHATGPT_PRODUCTION_PROMPT.txt,e92740c9e30cce64585930ef0c58e880d7908ef1a7e3b4da19621703cf901977
04,area_04,커닝시티,5,3e3120239c42c5e5ba1044f3cf785889cec195d5f2e61a83c9e831d42a8e1597,AREA_04_IMAGES_INPUT.zip,14403461,a113bc7537906d95900aa490f5ddd298e820a04abd9ba878ceb5173397255054,AREA_04_CHATGPT_PRODUCTION_PROMPT.txt,32d6d2805a876a271c6be7d690d43d852b52fd48b4265d64c24eae8015c6ca94
05,area_05,노틸러스,5,c0b71e676137787cc9380f9dbc2e6cad21f34655fec55d0c8bcf8e9199166242,AREA_05_IMAGES_INPUT.zip,12859729,0649e1ee2774c51c01a8d9b59d9d471444e20fe3f99d14b908d3385b685c7a4e,AREA_05_CHATGPT_PRODUCTION_PROMPT.txt,d08deb23c739daee8df510e29d456c7b1e94d3e7787b9ee57e169f6465b84613
07,area_07,슬리피우드,6,3a692b5113a32eca6a0702021274dec44026bd3c67807ee4a5cedc52b572da6a,AREA_07_IMAGES_INPUT.zip,18527976,ea3a0dce16d23df847acf6ee34df24d5946add83598b5828cab40b3651fa64f4,AREA_07_CHATGPT_PRODUCTION_PROMPT.txt,6af464b839ff955c18918ed30414c1a517e298a55e82ef75bce852b86bcb8916
08,area_08,오르비스,5,16de199833389106e8347c229eb023a95f42b2fcc8e1cef924ab5780962117dd,AREA_08_IMAGES_INPUT.zip,12363246,34bc9545e33fe1eb82fc461120ed77cad57b5d14f88ed2482a5fd04675aa1f3e,AREA_08_CHATGPT_PRODUCTION_PROMPT.txt,861e6919bd4ee9b539c0fdec8196fda58c7b58de2826e0b75a978d10ae774914
09,area_09,엘나스 산맥,5,510ba82652c58e3f60704c02891607dd41d460d46f87e8866d6a402844fb9ae1,AREA_09_IMAGES_INPUT.zip,14376532,c28c238b2df1e99168129eab0dcc5568a655c5a7d73c4446b5900bd2f2626734,AREA_09_CHATGPT_PRODUCTION_PROMPT.txt,4d43810b1d1bfaec962004d1ef39a6ca066b4a113939edfb56bcf47723512aae
10,area_10,아쿠아로드,5,b7ee67d63cc035be0e22b61daf558822a438de513b5ff50a8fb266b2a498d673,AREA_10_IMAGES_INPUT.zip,14179151,53dcc548e3b871fbb98aa77aa17db3a97144ef0389161340ebc8f302cde933f8,AREA_10_CHATGPT_PRODUCTION_PROMPT.txt,e9223581ed996137a815088a0354b02ba69cbef4b7bec0d19a3fba2db815ac72
11,area_11,루더스 호수,5,9affdbddfb68a754c3fc9254be8883869b4a722ff8eaf60cf1eeed40f7ea7a92,AREA_11_IMAGES_INPUT.zip,13363690,70569912194494956eb92a083672f40bbce6395968426ed050b401836ee96968,AREA_11_CHATGPT_PRODUCTION_PROMPT.txt,e95deb2957f8258d08fdf24c727a6f0fece44762dc88cdc829591fae23236762
