kind,area_id,revision,approval_status,path,sha256,identity_evidence
AREA_INPUT,area_01,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_02,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_02_IMAGES_INPUT_V2_4.zip,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_03,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_03_IMAGES_INPUT_V2_4.zip,4678637c7b62993ea0edb5d107ad5095795e9686a8816b774c1f3c4441769234,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_04,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_04_IMAGES_INPUT_V2_4.zip,0e4e4cc08448263049e4d3a12397b8d4fcb4f6a51744124aa76353736be5e4af,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_05,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_05_IMAGES_INPUT_V2_4.zip,a03d67a4fcde691aa47f2dd7541b547a170f054ed755967e42de9d5636ff45d1,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_07,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_07_IMAGES_INPUT_V2_4.zip,23f9585e486719f4a4eefb7b354c01e4e7d8aa6b4de316af03fedec9bcd69002,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_08,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_08_IMAGES_INPUT_V2_4.zip,b613e6f6e75463d727437fdc3e7b451f594d7fc330ae30a2de614341d7d09c1d,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_09,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_09_IMAGES_INPUT_V2_4.zip,6e7559fce3f98885298240dee6b9857197785ef59c6dfa9632868bb2aa572298,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_10,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_10_IMAGES_INPUT_V2_4.zip,e41e8926e4c9954799ccc7acaa04581d1d7760689f6a5a5667ab5cc1c69894f5,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_11,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_11_IMAGES_INPUT_V2_4.zip,b3a1d049f22cb7147e9c4f0f88e1d8553533479200c8fe507e128658e0ec2d58,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_12,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_12_IMAGES_INPUT_V2_4.zip,9fe99b2fac2f103ec2de5d90fe2074f7a9fc32ff425a5f8933b7fbe1de90e202,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_13,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_13_IMAGES_INPUT_V2_4.zip,3601cf990e76e142a1f970b1a0231e59c637253a020305a0dca6553f6dd709b9,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_14,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_14_IMAGES_INPUT_V2_4.zip,0d4c4ef08f1e1f16ab1b93cbdd5f9c5ffa7d3587ca8d3bb306d8892fadbee61e,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_15,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_15_IMAGES_INPUT_V2_4.zip,0e8a8fc2b6c3724ff3a09ea959092ba91c7c49d8f095977b9bfc259d919b7925,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_16,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_16_IMAGES_INPUT_V2_4.zip,0b586bfba4713d87745f66aa0844cc524530e1d34bcad80cbcbfda6d73eb3ba0,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_17,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_17_IMAGES_INPUT_V2_4.zip,6a7fb8791df166b3e4f3085d02b2c3cf34b05be8490b258dd8b78be0c8252392,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_18,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_18_IMAGES_INPUT_V2_4.zip,5cc2ff3fd23eede6928d0db178a46fb0273d7406fe649365edcbde06b9204ffe,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_19,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_19_IMAGES_INPUT_V2_4.zip,5577fd54205ef9e7d81a893a46744a58690e3649d48121c1f630fc57a1b2faf9,internal PACKAGE_REVISION_V2_4.md
AREA_INPUT,area_20,V2.4,GENERATION_READY,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_20_IMAGES_INPUT_V2_4.zip,71bb337b9929b2142a7b99d3472615a9851fd2221d258557c1dfecd23fb76d3e,internal PACKAGE_REVISION_V2_4.md
AREA00_INPUT,area_00,approved pilot input,APPROVED_BASELINE,D:\maplestory_levup\docs\art\images-input-packages\AREA_00_IMAGES_INPUT.zip,d1eb7b7f46061d3ef61c11781f0df0629d407d4415c8464f7567abea3a3dfdf7,internal Area 00 manifest/runbook
