area_id,area_name,output_zip,output_sha256,file_status,visual_status,monsters,issues,edge_touch_suspicions
area_01,헤네시스 근교,AREA_01_IMAGES_OUTPUT.zip,6b602aece3388959005faaca900b9dda3689f3b1816661016f903235c35011f2,FAIL,NOT_CHECKED,5,58,0
area_02,페리온,AREA_02_IMAGES_OUTPUT.zip,9ba0a43a0f3a9493f839e1090016d61b19aa586a055b217a6897bf915ce1feaf,FAIL,NOT_CHECKED,8,4,2
area_03,엘리니아,AREA_03_IMAGES_OUTPUT.zip,292900eed1a75d4128806b0e6a96efd6dd1b4751c22c9a51d0e51925fb412f57,FAIL,NOT_CHECKED,5,94,0
area_04,커닝시티,AREA_04_IMAGES_OUTPUT.zip,552f5820f39bd0a50a400d04fa21c12b73272296df4d34cb413ae51e7136c505,FAIL,NOT_CHECKED,5,13,2
area_05,노틸러스,AREA_05_IMAGES_OUTPUT.zip,92b8cc87c120da7b5a6294109538161a543733da64f680e78307b2a779d2fbb4,FAIL,NOT_CHECKED,5,15,4
area_07,슬리피우드,AREA_07_IMAGES_OUTPUT.zip,b1734170a02e9423d5a297bb96152c7b3945c6fa9b77f3427c4cd46ce307d3c7,FAIL,NOT_CHECKED,6,33,13
area_08,오르비스,AREA_08_IMAGES_OUTPUT.zip,1733145962cd6619e4d36bab5fbe3997c31634ecd686b0cbbcc96f9a93db9b7f,FAIL,NOT_CHECKED,5,17,6
area_09,엘나스 산맥,AREA_09_IMAGES_OUTPUT.zip,652b5c245e5fe8850e909033b757cd68eeeb65c62cf0f6faf4772a530fd7524f,FAIL,NOT_CHECKED,5,20,8
area_10,아쿠아로드,AREA_10_IMAGES_OUTPUT.zip,a0df4c80ec2e219db5e929c5841651a51e3bab59ddc2cd46868813837ec0e291,FAIL,NOT_CHECKED,5,11,0
area_11,루더스 호수,AREA_11_IMAGES_OUTPUT.zip,8543adcb35efe52c43c7dd70a2d8b59c615ddb66652c8a066a8e4a7db119b909,FAIL,NOT_CHECKED,5,25,14
area_12,루디브리엄,AREA_12_IMAGES_OUTPUT.zip,e484078cebd0015d320da3742408e35f8080418e1dd471ae0e19e10016501fa3,FAIL,NOT_CHECKED,5,10,5
area_13,니할 사막,AREA_13_IMAGES_OUTPUT.zip,df62057fa640003d2ee1bc93c24100c1ea3b735930c12d89307ad43612aef3cd,FAIL,NOT_CHECKED,5,17,6
area_14,마가티아,AREA_14_IMAGES_OUTPUT.zip,eceac120e873bc1a331ebb3048804af7d8ff99b38b932370a7e4ca437d97ae60,FAIL,NOT_CHECKED,5,25,6
area_15,무릉도원,AREA_15_IMAGES_OUTPUT.zip,b0a6b53903f6e1b08e67164c83bbdcb183f485ab29f23ba6d999da488f997f9e,FAIL,NOT_CHECKED,5,14,2
area_16,미나르숲,AREA_16_IMAGES_OUTPUT.zip,9f728a78887a778f29a795892aef2348e0f2274ba10e9558c7008997d3c5f145,FAIL,NOT_CHECKED,5,13,2
area_17,시간의 신전,AREA_17_IMAGES_OUTPUT.zip,ff898516b7a51d8f1aa0a0fea20082a7c8143e20cb772c17d988669f1cce071a,FAIL,NOT_CHECKED,5,19,8
area_18,지구방위본부,AREA_18_IMAGES_OUTPUT.zip,5bb912f164513820250d198565ad6f175042b7c6f7e2cca6d1a8b711af2d7cef,FAIL,NOT_CHECKED,5,19,8
area_19,미래의 문,AREA_19_IMAGES_OUTPUT.zip,8f4f8926c04d08fa578828f577df5fe9bfee0ceab90b9ee32e51407de93ad977,FAIL,NOT_CHECKED,5,17,5
area_20,황혼의 페리온,AREA_20_IMAGES_OUTPUT.zip,587b8802d579cb0b93491bcf00fd43a2406880ff4f19cc47ce818d3a87ab9a79,FAIL,NOT_CHECKED,5,12,0
