area_id,monster_id,skill_id,role,source,relative_path,issue,content_status,style_status,required_action,reason,changes_original_art
area_02,,,MANIFEST,PREVIOUS_MECHANICAL_AUDIT_REUSED,AREA_02_IMAGES_OUTPUT.zip,invalid internal area IDs: ['']; filename/root fallback used for continued audit,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. internal manifest/filename/root cross-check,NO
area_03,,,MANIFEST,PREVIOUS_MECHANICAL_AUDIT_REUSED,AREA_03_IMAGES_OUTPUT.zip,invalid internal area IDs: ['']; filename/root fallback used for continued audit,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. internal manifest/filename/root cross-check,NO
area_09,,,MANIFEST,PREVIOUS_MECHANICAL_AUDIT_REUSED,AREA_09_IMAGES_OUTPUT.zip,invalid internal area IDs: ['']; filename/root fallback used for continued audit,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. internal manifest/filename/root cross-check,NO
area_14,,,MANIFEST,PREVIOUS_MECHANICAL_AUDIT_REUSED,AREA_14_IMAGES_OUTPUT.zip,invalid internal area IDs: ['']; filename/root fallback used for continued audit,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. internal manifest/filename/root cross-check,NO
area_15,,,MANIFEST,PREVIOUS_MECHANICAL_AUDIT_REUSED,AREA_15_IMAGES_OUTPUT.zip,invalid internal area IDs: ['']; filename/root fallback used for continued audit,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. internal manifest/filename/root cross-check,NO
area_19,,,MANIFEST,PREVIOUS_MECHANICAL_AUDIT_REUSED,AREA_19_IMAGES_OUTPUT.zip,invalid internal area IDs: ['']; filename/root fallback used for continued audit,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. internal manifest/filename/root cross-check,NO
area_20,,,MANIFEST,PREVIOUS_MECHANICAL_AUDIT_REUSED,AREA_20_IMAGES_OUTPUT.zip,invalid internal area IDs: ['']; filename/root fallback used for continued audit,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. internal manifest/filename/root cross-check,NO
area_01,m_mushroom,s_mon_mushroom,ICON,PREVIOUS_MECHANICAL_AUDIT_REUSED,ICON/003_m_mushroom_s_mon_mushroom_ICON.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO
area_01,m_mushroom,s_mon_mushroom,CAST_VFX,PREVIOUS_MECHANICAL_AUDIT_REUSED,CAST/003_m_mushroom_s_mon_mushroom_CAST_F00.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO
area_01,m_mushroom,s_mon_mushroom,CAST_VFX,PREVIOUS_MECHANICAL_AUDIT_REUSED,CAST/003_m_mushroom_s_mon_mushroom_CAST_F01.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO
area_01,m_mushroom,s_mon_mushroom,CAST_VFX,PREVIOUS_MECHANICAL_AUDIT_REUSED,CAST/003_m_mushroom_s_mon_mushroom_CAST_F02.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO
area_01,m_mushroom,s_mon_mushroom,CAST_VFX,PREVIOUS_MECHANICAL_AUDIT_REUSED,CAST/003_m_mushroom_s_mon_mushroom_CAST_F03.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO
area_01,m_mushroom,s_mon_mushroom,CAST_VFX,PREVIOUS_MECHANICAL_AUDIT_REUSED,CAST/003_m_mushroom_s_mon_mushroom_CAST_F04.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO
area_01,m_mushroom,s_mon_mushroom,CAST_VFX,PREVIOUS_MECHANICAL_AUDIT_REUSED,CAST/003_m_mushroom_s_mon_mushroom_CAST_F05.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO
area_01,m_mushroom,s_mon_mushroom,CAST_VFX,PREVIOUS_MECHANICAL_AUDIT_REUSED,CAST/003_m_mushroom_s_mon_mushroom_CAST_F06.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO
area_01,m_mushroom,s_mon_mushroom,CAST_VFX,PREVIOUS_MECHANICAL_AUDIT_REUSED,CAST/003_m_mushroom_s_mon_mushroom_CAST_F07.png,missing,NOT_APPLICABLE,NOT_APPLICABLE,REPACK_ONLY,현재 OUTPUT ZIP SHA-256이 직전 감사와 같아 파일/구조 판정을 재사용. mechanical INPUT↔OUTPUT check,NO
