area_id,input_sha256,output_sha256,mechanical_check_reused_from,reuse_status
area_01,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,6b602aece3388959005faaca900b9dda3689f3b1816661016f903235c35011f2,20260912_143540,REUSED_UNCHANGED_HASH
area_02,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,9ba0a43a0f3a9493f839e1090016d61b19aa586a055b217a6897bf915ce1feaf,20260912_143540,REUSED_UNCHANGED_HASH
area_03,4678637c7b62993ea0edb5d107ad5095795e9686a8816b774c1f3c4441769234,292900eed1a75d4128806b0e6a96efd6dd1b4751c22c9a51d0e51925fb412f57,20260912_143540,REUSED_UNCHANGED_HASH
area_04,0e4e4cc08448263049e4d3a12397b8d4fcb4f6a51744124aa76353736be5e4af,552f5820f39bd0a50a400d04fa21c12b73272296df4d34cb413ae51e7136c505,20260912_143540,REUSED_UNCHANGED_HASH
area_05,a03d67a4fcde691aa47f2dd7541b547a170f054ed755967e42de9d5636ff45d1,92b8cc87c120da7b5a6294109538161a543733da64f680e78307b2a779d2fbb4,20260912_143540,REUSED_UNCHANGED_HASH
area_07,23f9585e486719f4a4eefb7b354c01e4e7d8aa6b4de316af03fedec9bcd69002,b1734170a02e9423d5a297bb96152c7b3945c6fa9b77f3427c4cd46ce307d3c7,20260912_143540,REUSED_UNCHANGED_HASH
area_08,b613e6f6e75463d727437fdc3e7b451f594d7fc330ae30a2de614341d7d09c1d,1733145962cd6619e4d36bab5fbe3997c31634ecd686b0cbbcc96f9a93db9b7f,20260912_143540,REUSED_UNCHANGED_HASH
area_09,6e7559fce3f98885298240dee6b9857197785ef59c6dfa9632868bb2aa572298,652b5c245e5fe8850e909033b757cd68eeeb65c62cf0f6faf4772a530fd7524f,20260912_143540,REUSED_UNCHANGED_HASH
area_10,e41e8926e4c9954799ccc7acaa04581d1d7760689f6a5a5667ab5cc1c69894f5,a0df4c80ec2e219db5e929c5841651a51e3bab59ddc2cd46868813837ec0e291,20260912_143540,REUSED_UNCHANGED_HASH
area_11,b3a1d049f22cb7147e9c4f0f88e1d8553533479200c8fe507e128658e0ec2d58,8543adcb35efe52c43c7dd70a2d8b59c615ddb66652c8a066a8e4a7db119b909,20260912_143540,REUSED_UNCHANGED_HASH
area_12,9fe99b2fac2f103ec2de5d90fe2074f7a9fc32ff425a5f8933b7fbe1de90e202,e484078cebd0015d320da3742408e35f8080418e1dd471ae0e19e10016501fa3,20260912_143540,REUSED_UNCHANGED_HASH
area_13,3601cf990e76e142a1f970b1a0231e59c637253a020305a0dca6553f6dd709b9,df62057fa640003d2ee1bc93c24100c1ea3b735930c12d89307ad43612aef3cd,20260912_143540,REUSED_UNCHANGED_HASH
area_14,0d4c4ef08f1e1f16ab1b93cbdd5f9c5ffa7d3587ca8d3bb306d8892fadbee61e,eceac120e873bc1a331ebb3048804af7d8ff99b38b932370a7e4ca437d97ae60,20260912_143540,REUSED_UNCHANGED_HASH
area_15,0e8a8fc2b6c3724ff3a09ea959092ba91c7c49d8f095977b9bfc259d919b7925,b0a6b53903f6e1b08e67164c83bbdcb183f485ab29f23ba6d999da488f997f9e,20260912_143540,REUSED_UNCHANGED_HASH
area_16,0b586bfba4713d87745f66aa0844cc524530e1d34bcad80cbcbfda6d73eb3ba0,9f728a78887a778f29a795892aef2348e0f2274ba10e9558c7008997d3c5f145,20260912_143540,REUSED_UNCHANGED_HASH
area_17,6a7fb8791df166b3e4f3085d02b2c3cf34b05be8490b258dd8b78be0c8252392,ff898516b7a51d8f1aa0a0fea20082a7c8143e20cb772c17d988669f1cce071a,20260912_143540,REUSED_UNCHANGED_HASH
area_18,5cc2ff3fd23eede6928d0db178a46fb0273d7406fe649365edcbde06b9204ffe,5bb912f164513820250d198565ad6f175042b7c6f7e2cca6d1a8b711af2d7cef,20260912_143540,REUSED_UNCHANGED_HASH
area_19,5577fd54205ef9e7d81a893a46744a58690e3649d48121c1f630fc57a1b2faf9,8f4f8926c04d08fa578828f577df5fe9bfee0ceab90b9ee32e51407de93ad977,20260912_143540,REUSED_UNCHANGED_HASH
area_20,71bb337b9929b2142a7b99d3472615a9851fd2221d258557c1dfecd23fb76d3e,587b8802d579cb0b93491bcf00fd43a2406880ff4f19cc47ce818d3a87ab9a79,20260912_143540,REUSED_UNCHANGED_HASH
