path,expected,actual,match
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_02_IMAGES_INPUT_V2_4.zip,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_03_IMAGES_INPUT_V2_4.zip,4678637c7b62993ea0edb5d107ad5095795e9686a8816b774c1f3c4441769234,4678637c7b62993ea0edb5d107ad5095795e9686a8816b774c1f3c4441769234,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_04_IMAGES_INPUT_V2_4.zip,0e4e4cc08448263049e4d3a12397b8d4fcb4f6a51744124aa76353736be5e4af,0e4e4cc08448263049e4d3a12397b8d4fcb4f6a51744124aa76353736be5e4af,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_05_IMAGES_INPUT_V2_4.zip,a03d67a4fcde691aa47f2dd7541b547a170f054ed755967e42de9d5636ff45d1,a03d67a4fcde691aa47f2dd7541b547a170f054ed755967e42de9d5636ff45d1,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_07_IMAGES_INPUT_V2_4.zip,23f9585e486719f4a4eefb7b354c01e4e7d8aa6b4de316af03fedec9bcd69002,23f9585e486719f4a4eefb7b354c01e4e7d8aa6b4de316af03fedec9bcd69002,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_08_IMAGES_INPUT_V2_4.zip,b613e6f6e75463d727437fdc3e7b451f594d7fc330ae30a2de614341d7d09c1d,b613e6f6e75463d727437fdc3e7b451f594d7fc330ae30a2de614341d7d09c1d,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_09_IMAGES_INPUT_V2_4.zip,6e7559fce3f98885298240dee6b9857197785ef59c6dfa9632868bb2aa572298,6e7559fce3f98885298240dee6b9857197785ef59c6dfa9632868bb2aa572298,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_10_IMAGES_INPUT_V2_4.zip,e41e8926e4c9954799ccc7acaa04581d1d7760689f6a5a5667ab5cc1c69894f5,e41e8926e4c9954799ccc7acaa04581d1d7760689f6a5a5667ab5cc1c69894f5,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_11_IMAGES_INPUT_V2_4.zip,b3a1d049f22cb7147e9c4f0f88e1d8553533479200c8fe507e128658e0ec2d58,b3a1d049f22cb7147e9c4f0f88e1d8553533479200c8fe507e128658e0ec2d58,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_12_IMAGES_INPUT_V2_4.zip,9fe99b2fac2f103ec2de5d90fe2074f7a9fc32ff425a5f8933b7fbe1de90e202,9fe99b2fac2f103ec2de5d90fe2074f7a9fc32ff425a5f8933b7fbe1de90e202,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_13_IMAGES_INPUT_V2_4.zip,3601cf990e76e142a1f970b1a0231e59c637253a020305a0dca6553f6dd709b9,3601cf990e76e142a1f970b1a0231e59c637253a020305a0dca6553f6dd709b9,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_14_IMAGES_INPUT_V2_4.zip,0d4c4ef08f1e1f16ab1b93cbdd5f9c5ffa7d3587ca8d3bb306d8892fadbee61e,0d4c4ef08f1e1f16ab1b93cbdd5f9c5ffa7d3587ca8d3bb306d8892fadbee61e,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_15_IMAGES_INPUT_V2_4.zip,0e8a8fc2b6c3724ff3a09ea959092ba91c7c49d8f095977b9bfc259d919b7925,0e8a8fc2b6c3724ff3a09ea959092ba91c7c49d8f095977b9bfc259d919b7925,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_16_IMAGES_INPUT_V2_4.zip,0b586bfba4713d87745f66aa0844cc524530e1d34bcad80cbcbfda6d73eb3ba0,0b586bfba4713d87745f66aa0844cc524530e1d34bcad80cbcbfda6d73eb3ba0,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_17_IMAGES_INPUT_V2_4.zip,6a7fb8791df166b3e4f3085d02b2c3cf34b05be8490b258dd8b78be0c8252392,6a7fb8791df166b3e4f3085d02b2c3cf34b05be8490b258dd8b78be0c8252392,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_18_IMAGES_INPUT_V2_4.zip,5cc2ff3fd23eede6928d0db178a46fb0273d7406fe649365edcbde06b9204ffe,5cc2ff3fd23eede6928d0db178a46fb0273d7406fe649365edcbde06b9204ffe,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_19_IMAGES_INPUT_V2_4.zip,5577fd54205ef9e7d81a893a46744a58690e3649d48121c1f630fc57a1b2faf9,5577fd54205ef9e7d81a893a46744a58690e3649d48121c1f630fc57a1b2faf9,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_20_IMAGES_INPUT_V2_4.zip,71bb337b9929b2142a7b99d3472615a9851fd2221d258557c1dfecd23fb76d3e,71bb337b9929b2142a7b99d3472615a9851fd2221d258557c1dfecd23fb76d3e,True
D:\maplestory_levup\docs\art\images-input-packages\AREA_00_IMAGES_INPUT.zip,d1eb7b7f46061d3ef61c11781f0df0629d407d4415c8464f7567abea3a3dfdf7,d1eb7b7f46061d3ef61c11781f0df0629d407d4415c8464f7567abea3a3dfdf7,True
D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip,5271fa0682c4cc76caaf6f4e5627c5fbf3c70ec87fe911b9e5398afb770f6853,5271fa0682c4cc76caaf6f4e5627c5fbf3c70ec87fe911b9e5398afb770f6853,True
D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_RESOURCE_MAP.csv,954e62b64b9b45b9abf526a7e782512128e4519ab6a57494b8fbf8dbf8c66c3b,954e62b64b9b45b9abf526a7e782512128e4519ab6a57494b8fbf8dbf8c66c3b,True
D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_IMPORT_REPORT.md,101fdb83b0b1c4fe97ff9a6e4b1b300f7c875be61e49c2f7a28a72d7df696cd7,101fdb83b0b1c4fe97ff9a6e4b1b300f7c875be61e49c2f7a28a72d7df696cd7,True
D:\maplestory_levup\docs\art\images-input-packages-v2_4\INPUT_V2_4_VALIDATION.md,d1e5261d73b7b0f532ca953aee5f4dff84f86111d5402c5bdb4b84d4e7e28538,d1e5261d73b7b0f532ca953aee5f4dff84f86111d5402c5bdb4b84d4e7e28538,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_01_IMAGES_OUTPUT.zip,fe273429b4798491f02bf0274ba74214c8e1e28aca5b994c174bf77568d34023,fe273429b4798491f02bf0274ba74214c8e1e28aca5b994c174bf77568d34023,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_02_IMAGES_OUTPUT.zip,3961030e37ced705bc0a80d983e170da0e9f05fc8fe9f96df26f09944e40228d,3961030e37ced705bc0a80d983e170da0e9f05fc8fe9f96df26f09944e40228d,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_03_IMAGES_OUTPUT.zip,18dfd00a7a17d7aac7b0700ea558a04ecd8f5cb654ea5d111a8ff4611bbf638f,18dfd00a7a17d7aac7b0700ea558a04ecd8f5cb654ea5d111a8ff4611bbf638f,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_04_IMAGES_OUTPUT.zip,0749c2d0fae8966f748b8c62a6559612ea5d9572564c479b024f229405f31e10,0749c2d0fae8966f748b8c62a6559612ea5d9572564c479b024f229405f31e10,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_05_IMAGES_OUTPUT.zip,d8f29aca689b5969e528815fcdfcfad499dbdcc6ec11e75ad2a7b5edfabadb2d,d8f29aca689b5969e528815fcdfcfad499dbdcc6ec11e75ad2a7b5edfabadb2d,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_07_IMAGES_OUTPUT.zip,8af08f4a2d8cc1d187ceb4566820b0d6e31423cb60d3c2eb53a1c9021a821fa1,8af08f4a2d8cc1d187ceb4566820b0d6e31423cb60d3c2eb53a1c9021a821fa1,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_08_IMAGES_OUTPUT.zip,deb1e6180851f0de755b157cbca863c01612c129148f66b38c1462d3328ac6b7,deb1e6180851f0de755b157cbca863c01612c129148f66b38c1462d3328ac6b7,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_09_IMAGES_OUTPUT.zip,5492ea6aa2f3fe761473f6cd96150d314127fbeea9232de8ca68b774c96f7fd8,5492ea6aa2f3fe761473f6cd96150d314127fbeea9232de8ca68b774c96f7fd8,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_10_IMAGES_OUTPUT.zip,68d6caaeb6a59f418e5e373b0b3990829c360d2aa6aaa824f9f29d6e29627973,68d6caaeb6a59f418e5e373b0b3990829c360d2aa6aaa824f9f29d6e29627973,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_13_IMAGES_OUTPUT.zip,667d3343bcfc5c6d214c484408e8bdd19afefd42776005a8c8b6659f3b29f116,667d3343bcfc5c6d214c484408e8bdd19afefd42776005a8c8b6659f3b29f116,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_14_IMAGES_OUTPUT.zip,a53e4b5603dcaf15e9818b70ef8022feee598d4e474fdce3034f144384914e5d,a53e4b5603dcaf15e9818b70ef8022feee598d4e474fdce3034f144384914e5d,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_15_IMAGES_OUTPUT.zip,d235e524a78c1ddfb22367876ce2ad4382e8b27c47e4f13e43f8201c32402c05,d235e524a78c1ddfb22367876ce2ad4382e8b27c47e4f13e43f8201c32402c05,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_16_IMAGES_OUTPUT.zip,68f6a09e25e8ddb2c69d0eef6b9ea07207738fbf18b441f9018f48d228a67886,68f6a09e25e8ddb2c69d0eef6b9ea07207738fbf18b441f9018f48d228a67886,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_17_IMAGES_OUTPUT.zip,aa91d2f2ca5767c074a7f3c7b97e4983894cbe2885b10e0969b6b11c604803ab,aa91d2f2ca5767c074a7f3c7b97e4983894cbe2885b10e0969b6b11c604803ab,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_18_IMAGES_OUTPUT.zip,ec606ee490ccb64a96f0619011b7b272f707d00f059660ed987b32c6a5846655,ec606ee490ccb64a96f0619011b7b272f707d00f059660ed987b32c6a5846655,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_19_IMAGES_OUTPUT.zip,69ac7d9eee96a3dfe869ff3bdfbf6ffd7cd122535fed7503029ff43423584c5b,69ac7d9eee96a3dfe869ff3bdfbf6ffd7cd122535fed7503029ff43423584c5b,True
D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_20_IMAGES_OUTPUT.zip,dc66834bba548fb5ed49c1460f73716d77041c2019c154d76d4ac3765f9a8434,dc66834bba548fb5ed49c1460f73716d77041c2019c154d76d4ac3765f9a8434,True
