board,type,entries,scale,files,baseline
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\BASELINE_m_snail_달팽이.png,AREA00_NATIVE_ALL_FRAMES,m_snail_달팽이,1:1,AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png|AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F00.png|AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F01.png|AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F02.png|AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F03.png|AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F04.png|AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F05.png|AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F06.png|AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F07.png,
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\BASELINE_m_blue_snail_파란_달팽이.png,AREA00_NATIVE_ALL_FRAMES,m_blue_snail_파란_달팽이,1:1,AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png|AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F00.png|AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F01.png|AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F02.png|AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F03.png|AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F04.png|AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F05.png|AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F06.png|AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F07.png,
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\BASELINE_m_red_snail_빨간_달팽이.png,AREA00_NATIVE_ALL_FRAMES,m_red_snail_빨간_달팽이,1:1,AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/ICON/003_m_red_snail_s_mon_red_snail_ICON.png|AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F00.png|AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F01.png|AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F02.png|AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F03.png|AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F04.png|AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F05.png|AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F06.png|AREA_00_IMAGES_OUTPUT/monsters/003_m_red_snail_빨간_달팽이/VFX/003_m_red_snail_s_mon_red_snail_F07.png,
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\BASELINE_m_mano_마노.png,AREA00_NATIVE_ALL_FRAMES,m_mano_마노,1:1,AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/ICON/004_m_mano_s_mon_mano_ICON.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F00.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F01.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F02.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F03.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F04.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F05.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F06.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F07.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F08.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F09.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F10.png|AREA_00_IMAGES_OUTPUT/monsters/004_m_mano_마노/VFX/004_m_mano_s_mon_mano_F11.png,
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\BASELINE_m_slime_슬라임.png,AREA00_NATIVE_ALL_FRAMES,m_slime_슬라임,1:1,AREA_00_IMAGES_OUTPUT/monsters/005_m_slime_슬라임/ICON/005_m_slime_s_mon_slime_ICON.png|AREA_00_IMAGES_OUTPUT/monsters/005_m_slime_슬라임/VFX/005_m_slime_s_mon_slime_F00.png|AREA_00_IMAGES_OUTPUT/monsters/005_m_slime_슬라임/VFX/005_m_slime_s_mon_slime_F01.png|AREA_00_IMAGES_OUTPUT/monsters/005_m_slime_슬라임/VFX/005_m_slime_s_mon_slime_F02.png|AREA_00_IMAGES_OUTPUT/monsters/005_m_slime_슬라임/VFX/005_m_slime_s_mon_slime_F03.png|AREA_00_IMAGES_OUTPUT/monsters/005_m_slime_슬라임/VFX/005_m_slime_s_mon_slime_F04.png|AREA_00_IMAGES_OUTPUT/monsters/005_m_slime_슬라임/VFX/005_m_slime_s_mon_slime_F05.png|AREA_00_IMAGES_OUTPUT/monsters/005_m_slime_슬라임/VFX/005_m_slime_s_mon_slime_F06.png|AREA_00_IMAGES_OUTPUT/monsters/005_m_slime_슬라임/VFX/005_m_slime_s_mon_slime_F07.png,
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_01_ICON_NATIVE.png,ICON_WITH_AREA00,m_snail|m_blue_snail|m_mushroom|m_mushmom|m_horny_mushroom,1:1; no crop,AREA_01_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png|AREA_01_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/ICON/002_m_blue_snail_s_mon_blue_snail_ICON.png|AREA_01_IMAGES_OUTPUT/ICON/003_m_mushroom_s_mon_mushroom_ICON.png|AREA_01_IMAGES_OUTPUT/ICON/004_m_mushmom_s_mon_mushmom_ICON.png|AREA_01_IMAGES_OUTPUT/ICON/005_m_horny_mushroom_s_mon_horny_mushroom_ICON.png,five approved AREA00 icons
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_02_ICON_NATIVE.png,ICON_WITH_AREA00,m_stone_golem|m_axe_stump|m_dark_axe_stump|m_wild_boar|m_iron_hog|m_skeleton_commander|m_fire_boar|m_stumpy,1:1; no crop,AREA_02_IMAGES_OUTPUT/ICON/001_m_stone_golem_s_mon_stone_ICON.png|AREA_02_IMAGES_OUTPUT/ICON/002_m_axe_stump_s_mon_axe_stump_ICON.png|AREA_02_IMAGES_OUTPUT/ICON/003_m_dark_axe_stump_s_mon_dark_axe_stump_ICON.png|AREA_02_IMAGES_OUTPUT/ICON/004_m_wild_boar_s_mon_wild_boar_ICON.png|AREA_02_IMAGES_OUTPUT/ICON/005_m_iron_hog_s_mon_iron_hog_ICON.png|AREA_02_IMAGES_OUTPUT/ICON/006_m_skeleton_commander_s_mon_skeleton_commander_ICON.png|AREA_02_IMAGES_OUTPUT/ICON/007_m_fire_boar_s_mon_fire_boar_ICON.png|AREA_02_IMAGES_OUTPUT/ICON/008_m_stumpy_s_mon_stumpy_ICON.png,five approved AREA00 icons
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_03_ICON_NATIVE.png,ICON_WITH_AREA00,m_slime|m_dark_stump|m_bubbling|m_fairy|m_faust,1:1; no crop,AREA_03_IMAGES_OUTPUT/monsters/001_m_slime_슬라임/ICON/001_m_slime_s_mon_slime_ICON.png|AREA_03_IMAGES_OUTPUT/ICON/002_m_dark_stump_s_mon_dark_stump_ICON.png|AREA_03_IMAGES_OUTPUT/ICON/003_m_bubbling_s_mon_bubbling_ICON.png|AREA_03_IMAGES_OUTPUT/ICON/004_m_fairy_s_mon_fairy_ICON.png|AREA_03_IMAGES_OUTPUT/ICON/005_m_faust_s_mon_faust_ICON.png,five approved AREA00 icons
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_04_ICON_NATIVE.png,ICON_WITH_AREA00,m_octopus|m_stirge|m_jr_wraith|m_wraith|m_shade,1:1; no crop,AREA_04_IMAGES_OUTPUT/ICON/001_m_octopus_s_mon_octopus_ICON.png|AREA_04_IMAGES_OUTPUT/ICON/002_m_stirge_s_mon_stirge_ICON.png|AREA_04_IMAGES_OUTPUT/ICON/003_m_jr_wraith_s_mon_jr_wraith_ICON.png|AREA_04_IMAGES_OUTPUT/ICON/004_m_wraith_s_mon_wraith_ICON.png|AREA_04_IMAGES_OUTPUT/ICON/005_m_shade_s_mon_shade_ICON.png,five approved AREA00 icons
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_05_ICON_NATIVE.png,ICON_WITH_AREA00,m_ribbon_pig|m_blue_pig|m_starfish|m_jellyfish|m_king_clang,1:1; no crop,AREA_05_IMAGES_OUTPUT/ICON/001_m_ribbon_pig_s_mon_ribbon_pig_ICON.png|AREA_05_IMAGES_OUTPUT/ICON/002_m_blue_pig_s_mon_blue_pig_ICON.png|AREA_05_IMAGES_OUTPUT/ICON/003_m_starfish_s_mon_starfish_ICON.png|AREA_05_IMAGES_OUTPUT/ICON/004_m_jellyfish_s_mon_jellyfish_ICON.png|AREA_05_IMAGES_OUTPUT/ICON/005_m_king_clang_s_mon_king_clang_ICON.png,five approved AREA00 icons
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_07_ICON_NATIVE.png,ICON_WITH_AREA00,m_zombie_mushroom|m_copper_drake|m_drake|m_wild_kargo|m_jr_balrog|m_tauromacis,1:1; no crop,AREA_07_IMAGES_OUTPUT/ICON/001_m_zombie_mushroom_s_mon_zombie_mushroom_ICON.png|AREA_07_IMAGES_OUTPUT/ICON/002_m_copper_drake_s_mon_copper_drake_ICON.png|AREA_07_IMAGES_OUTPUT/ICON/003_m_drake_s_mon_drake_ICON.png|AREA_07_IMAGES_OUTPUT/ICON/004_m_wild_kargo_s_mon_wild_kargo_ICON.png|AREA_07_IMAGES_OUTPUT/ICON/005_m_jr_balrog_s_mon_jr_balrog_ICON.png|AREA_07_IMAGES_OUTPUT/ICON/006_m_tauromacis_s_mon_tauromacis_ICON.png,five approved AREA00 icons
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_08_ICON_NATIVE.png,ICON_WITH_AREA00,m_star_pixie|m_jr_cellion|m_lunar_pixie|m_luster_pixie|m_eliza,1:1; no crop,AREA_08_IMAGES_OUTPUT/ICON/001_m_star_pixie_s_mon_star_pixie_ICON.png|AREA_08_IMAGES_OUTPUT/ICON/002_m_jr_cellion_s_mon_jr_cellion_ICON.png|AREA_08_IMAGES_OUTPUT/ICON/003_m_lunar_pixie_s_mon_lunar_pixie_ICON.png|AREA_08_IMAGES_OUTPUT/ICON/004_m_luster_pixie_s_mon_luster_pixie_ICON.png|AREA_08_IMAGES_OUTPUT/ICON/005_m_eliza_s_mon_eliza_ICON.png,five approved AREA00 icons
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_09_ICON_NATIVE.png,ICON_WITH_AREA00,m_jr_yeti|m_dark_jr_yeti|m_hector|m_white_fang|m_snow_witch,1:1; no crop,AREA_09_IMAGES_OUTPUT/ICON/001_m_jr_yeti_s_mon_jr_yeti_ICON.png|AREA_09_IMAGES_OUTPUT/ICON/002_m_dark_jr_yeti_s_mon_dark_jr_yeti_ICON.png|AREA_09_IMAGES_OUTPUT/ICON/003_m_hector_s_mon_hector_ICON.png|AREA_09_IMAGES_OUTPUT/ICON/004_m_white_fang_s_mon_white_fang_ICON.png|AREA_09_IMAGES_OUTPUT/ICON/005_m_snow_witch_s_mon_snow_witch_ICON.png,five approved AREA00 icons
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_10_ICON_NATIVE.png,ICON_WITH_AREA00,m_bubble_fish|m_mask_fish|m_squid|m_shark|m_pianus,1:1; no crop,AREA_10_IMAGES_OUTPUT/ICON/001_m_bubble_fish_s_mon_bubble_fish_ICON.png|AREA_10_IMAGES_OUTPUT/ICON/002_m_mask_fish_s_mon_mask_fish_ICON.png|AREA_10_IMAGES_OUTPUT/ICON/003_m_squid_s_mon_squid_ICON.png|AREA_10_IMAGES_OUTPUT/ICON/004_m_shark_s_mon_shark_ICON.png|AREA_10_IMAGES_OUTPUT/ICON/005_m_pianus_s_mon_pianus_ICON.png,five approved AREA00 icons
D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\CROSS_AREA_STYLE_BOARD\area_11_ICON_NATIVE.png,ICON_WITH_AREA00,m_ratz|m_drumming_bunny|m_bloctopus|m_king_bloctopus|m_rombot,1:1; no crop,AREA_11_IMAGES_OUTPUT/ICON/001_m_ratz_s_mon_ratz_ICON.png|AREA_11_IMAGES_OUTPUT/ICON/002_m_drumming_bunny_s_mon_drumming_bunny_ICON.png|AREA_11_IMAGES_OUTPUT/ICON/003_m_bloctopus_s_mon_bloctopus_ICON.png|AREA_11_IMAGES_OUTPUT/ICON/004_m_king_bloctopus_s_mon_king_bloctopus_ICON.png|AREA_11_IMAGES_OUTPUT/ICON/005_m_rombot_s_mon_rombot_ICON.png,five approved AREA00 icons
