area_id,output,preview,sha256,copy,dimensions,identity_and_assets,layout_finding,evidence
area_01,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_01_IMAGES_OUTPUT.zip,AREA_01_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,0c3235443a125c119d00bfff87c0fcc89438cff274acd9ac3b9235bd5c28733c,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_01_actual_overview.png,"(2200, 2715)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,확인 범위에서 명백한 라벨 오류 없음; 전수 OCR 검사 아님,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_01.png
area_02,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_02_IMAGES_OUTPUT.zip,AREA_02_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,703bf34d187746227e174489fa1ea44b7261c54bbfbb3ee0ed45f6391f85916c,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_02_actual_overview.png,"(2200, 4275)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,확인 범위에서 명백한 라벨 오류 없음; 전수 OCR 검사 아님,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_01.png
area_03,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_03_IMAGES_OUTPUT.zip,AREA_03_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,4effbc9e2c63c1c99c7f1005473c43570ae249cf9eb872767498a6c2c9ec2263,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_03_actual_overview.png,"(2200, 2715)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,확인 범위에서 명백한 라벨 오류 없음; 전수 OCR 검사 아님,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_01.png
area_04,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_04_IMAGES_OUTPUT.zip,AREA_04_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,129155fd112947e1874ba57211170169f4006fbc5917d5fa7f903af55478ab97,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_04_actual_overview.png,"(2200, 2715)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,확인 범위에서 명백한 라벨 오류 없음; 전수 OCR 검사 아님,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_01.png
area_05,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_05_IMAGES_OUTPUT.zip,AREA_05_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,8cfe27d6b5fbba1f334c51015e75e50209cafab8089b20da5afcea97f7c7d69d,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_05_actual_overview.png,"(2200, 2715)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,확인 범위에서 명백한 라벨 오류 없음; 전수 OCR 검사 아님,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_02.png
area_07,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_07_IMAGES_OUTPUT.zip,AREA_07_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,022965de681d92298eddb43c534a5a1f6889a21606ecaa2e21625eb9c7152c20,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_07_actual_overview.png,"(2200, 3235)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,확인 범위에서 명백한 라벨 오류 없음; 전수 OCR 검사 아님,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_02.png
area_08,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_08_IMAGES_OUTPUT.zip,AREA_08_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,9b4c55b4611717f6731a4ffe50728ec51091b05b65ca3addc34ab3c5c1042aab,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_08_actual_overview.png,"(2200, 2715)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,확인 범위에서 명백한 라벨 오류 없음; 전수 OCR 검사 아님,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_02.png
area_09,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_09_IMAGES_OUTPUT.zip,AREA_09_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,d43ab17fd84b623c24cfe82713d145792b9204215c711bb0633450f5f7c85d00,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_09_actual_overview.png,"(2200, 2715)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,확인 범위에서 명백한 라벨 오류 없음; 전수 OCR 검사 아님,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_02.png
area_10,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_10_IMAGES_OUTPUT.zip,AREA_10_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,3638d0c0e0fcf0b2ad0cca8992adc4e60e5adab8ed6aad0150cd84bd21e55f0b,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_10_actual_overview.png,"(2200, 2715)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,확인 범위에서 명백한 라벨 오류 없음; 전수 OCR 검사 아님,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_03.png
area_11,D:\maplestory_levup\docs\art\output\AREA_11_IMAGES_OUTPUT.zip,AREA_11_IMAGES_OUTPUT/AREA_OVERVIEW_PREVIEW.png,d5302e7145a45bdadc986441351348757538668514a5009808b62842cbb6cec4,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_11_actual_overview.png,"(1800, 1290)",NO_OBVIOUS_ISSUE: 실제 overview와 원본/납품 시트의 형상 대응,라벨/몬스터명/설명 겹침; 별도 기술 보정,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\preview_review_03.png
