area_id,monster_id,monster_name,project_model_id,project_model_path,model_sha256,sprite_animation_ruid,action_sheet,model_child_count,project_monster_name_match,project_skill_link_match,source_level,resource_type,resource_names,resource_query_endpoint,resource_query_at,resource_query_evidence,source_image_url,source_copy_path,source_copy_sha256,source_download_at,api_frame_count,gif_frame_count,api_frame_ruids,resource_version,input_zip,input_zip_sha256,input_image,input_image_sha256,identity_finding,visual_evidence,visual_frame_scope,unverified_reason
area_01,m_snail,달팽이,snail,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\Snail.model,4ed596eff73250dd4e4d58e54fd08952fb5d429af05a341282b8b56fe9fb7525,2db94405cf0445f5be2b60a02c21dda5,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""2db94405cf0445f5be2b60a02c21dda5"", ""move"": ""663faffc64194c08b9371439b1948eb8"", ""attack"": ""a8a1c54cb27f489da57db7cc7ba5db04"", ""hit"": ""a3feafdb656943baa3f8897a7042b21f"", ""die"": ""a25ed762135448ccb2307604f3179565""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""???"", ""달팽이"", ""추억의 달팽이""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/2db94405cf0445f5be2b60a02c21dda5.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\2db94405cf0445f5be2b60a02c21dda5.gif,c8cfd8e7659961405b523134a9b20cef7c30a92cc5133035e2ed5f2e4e714115,2026-09-12T07:30:18.382Z,1,1,2d4e2f4ae33e48ff9cf2dd0cf7e9cf16,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,AREA_01_IMAGES_INPUT_V2_4/monsters/001_m_snail_달팽이/MONSTER_IMAGE.png,da97ef20db013d41f9dd683c31fbce8aa579774446cd7893d93570958ca72fad,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_01_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
area_01,m_blue_snail,파란 달팽이,bluesnail,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\BlueSnail.model,9794deea2a3ba4f9b10ae05bb15dd4cb91f79a27d24e9926fa2e9ad945ee0d5a,0c69164656d24f64bd1a1f6ee4019dff,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""0c69164656d24f64bd1a1f6ee4019dff"", ""move"": ""ca6e5b65e1d643838ba920fbbeb32d8f"", ""attack"": ""781d08d159de4a4fb4d4d4435d2af300"", ""hit"": ""938c814d2142406c8a6480ee2b025ac3"", ""die"": ""af2e35a7899d4cc18e4f4aec7f8e9f06""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""???"", ""파란 달팽이""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/0c69164656d24f64bd1a1f6ee4019dff.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\0c69164656d24f64bd1a1f6ee4019dff.gif,42bd5c86f727418330d46d4cc2c8514b357da88cfc046581425b4748dc2b5549,2026-09-12T07:30:18.423Z,1,1,2f40053ed63e4b64938c8d9ed1837f89,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,AREA_01_IMAGES_INPUT_V2_4/monsters/002_m_blue_snail_파란_달팽이/MONSTER_IMAGE.png,813a6a78fed06176d0dd826370a3e2d8cbc36dc580973b6cc455f245bbd008ba,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_01_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
area_01,m_mushroom,주황 버섯,mushroom,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\Mushroom.model,defe1ced02eaafa44ca5603ff259a3bbd1686ffe1402d3b1ecc80f0e27046643,a95cfed2c8fe4d2cb64cbb62db051f92,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""a95cfed2c8fe4d2cb64cbb62db051f92"", ""move"": ""8257566e41aa4234929e81c6c2dab2e4"", ""hit"": ""5ebbdaf503964f3e87de155d16650805"", ""die"": ""dddbe2f162184ec89add7440da56eb75"", ""jump"": ""6df12df0c9ce4caea61385606a4d40d3"", ""attack"": ""6df12df0c9ce4caea61385606a4d40d3""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""주황버섯""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/a95cfed2c8fe4d2cb64cbb62db051f92.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\a95cfed2c8fe4d2cb64cbb62db051f92.gif,b636e918b34396bcb6a86027a2076b1a1287541ca2b68e2860a6c225796593b3,2026-09-12T07:30:18.396Z,2,2,ca3a6ed536d24949b79d3f7b430cb82a|d0ed64067c974ff0ac3788c3f0ec49e3,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,AREA_01_IMAGES_INPUT_V2_4/monsters/003_m_mushroom_주황_버섯/MONSTER_IMAGE.png,0e795f604587cf4f6a4ff0637e518469c8ef35473bcb21ae257d723fe3f8dc89,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_01_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
area_01,m_mushmom,머쉬맘,mushmom,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\Mushmom.model,5780c4e5d9b233920b077acaec713d8d4be9e55a9cec4f432d04f4e5ff3c0272,86015373d23b4b05bb8fcc6086354652,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""86015373d23b4b05bb8fcc6086354652"", ""move"": ""c745828d831b42739b9a58c07f334864"", ""attack"": ""90c5456e2a8a45478df02500797a9afd"", ""hit"": ""90fee9416184420a9796a679751d1ec5"", ""die"": ""ec90f0b64a814c4980de89f496d360ec"", ""jump"": ""5ecbcc4002a5491aafd7e1d3191c6ddc""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""돌아온 머쉬맘"", ""머쉬맘"", ""시스템 마스터 몬스터"", ""주황버섯""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/86015373d23b4b05bb8fcc6086354652.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\86015373d23b4b05bb8fcc6086354652.gif,c8fa21270a252a30eb40df0376e30f6fe67fe7ac6335b365781507ac9334be30,2026-09-12T07:30:18.427Z,1,1,00763612e00a41ec8574262fbe220f96,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,AREA_01_IMAGES_INPUT_V2_4/monsters/004_m_mushmom_머쉬맘/MONSTER_IMAGE.png,d475d084a2630c88270472a946ceb2603b0494efd1a9eb873d2b09fa7788991b,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_01_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
area_01,m_horny_mushroom,뿔버섯,hornymushroom,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\HornyMushroom.model,36336ffd8b6a39889ff8e6dd4126f95d0e006130ee0488c028aa782afef4a2db,574596d79f004965a293d2551343633f,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""574596d79f004965a293d2551343633f"", ""move"": ""d3c737e55d0d4405854ebf5be139ea02"", ""hit"": ""5007e0c04c374f2d9731c084f5a7f56e"", ""die"": ""0864ecd7c28144939c2ecd6abb33893b""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""뿔버섯"", ""지하철 뿔버섯"", ""추억의 뿔버섯""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/574596d79f004965a293d2551343633f.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\574596d79f004965a293d2551343633f.gif,d3c9fd60688f12a70ff02681fc2a45b170d1adf3745f66fe541b4145d26cf152,2026-09-12T07:30:18.453Z,3,3,aa8768833fa74140ad9d9ccca8dfa0e8|08f9ba5e46e6441d88fd4393e5b1a07c|c4c1dd3623db4d9f9f092d3d066f2b21,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip,7e33f787d2ab9cb1b5b47e41a11431c498eb2e35a18bce49b5c2a483f1c4fa1b,AREA_01_IMAGES_INPUT_V2_4/monsters/005_m_horny_mushroom_뿔버섯/MONSTER_IMAGE.png,b6b0a1b34bbf5f7ac0ffbb4e4179cb6bd7445a2ae45fbd235d661ac390f1db54,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_01_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
area_02,m_stone_golem,스톤골렘,stone_golem,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\StoneGolem.model,c1b7e26adb881e22dae2ae4d086d8ea65b0167ba743c58eb5617a9cb6ba8e09a,23761b84fca14bbfa671436791e4e0bb,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""23761b84fca14bbfa671436791e4e0bb"", ""move"": ""736ecda03d4444dea5f9089c02c54eb2"", ""hit"": ""9c7b36710c8542ac8aa2e93a43bee8fb"", ""die"": ""871de25edc28418c8fbfef5ea416f2d4"", ""attack"": ""28e55e44b6e34646b37f2fafef14a093""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""스톤골렘"", ""추억의 스톤골렘""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/23761b84fca14bbfa671436791e4e0bb.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\23761b84fca14bbfa671436791e4e0bb.gif,7a0c50d3f534c3f9b7711d77326d580a85db331b0f8ee50ec20cc10f190932ba,2026-09-12T07:30:18.417Z,3,3,2e477c29e6f6411ead7d0462a50f52df|3c27fbf72c4541639947047f94080734|6587976af96e490786d81a25363d546a,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_02_IMAGES_INPUT_V2_4.zip,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,AREA_02_IMAGES_INPUT_V2_4/monsters/001_m_stone_golem_스톤골렘/MONSTER_IMAGE.png,7cf9ac67709238b811d84b7a308bfa31822483745393c24d6559e2f7ac9549ff,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_02_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
area_02,m_axe_stump,엑스텀프,axestump,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\AxeStump.model,1c5020e1f286924303616346c069a8739e2487d6ddad891d9c9a1f69304e23ff,9d4f9e8f572548f692438ffa817eb52d,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""9d4f9e8f572548f692438ffa817eb52d"", ""move"": ""4d833dee5c1b4a2b9e5126a1d263e26d"", ""attack"": ""0ff26f307a2941ff9a581b06d6d25849"", ""hit"": ""dc128e1b65f64548841940cadd8e258d"", ""die"": ""8177fddafdcb4bee958ab1aee7a714cc""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""시스템 몬스터F1"", ""엑스텀프"", ""이상한 엑스텀프""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/9d4f9e8f572548f692438ffa817eb52d.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\9d4f9e8f572548f692438ffa817eb52d.gif,88106ccf44592247e8454cf527ea16fe9f1b4f6d850d0424e6e7c8b703bc67d6,2026-09-12T07:30:18.639Z,1,1,60c9ae060266479f904ba63fff1eb959,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_02_IMAGES_INPUT_V2_4.zip,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,AREA_02_IMAGES_INPUT_V2_4/monsters/002_m_axe_stump_엑스텀프/MONSTER_IMAGE.png,97f514160b2848d2a2352fa8b5ba0f0521df49f3edc99c7a4a47479b55b656e7,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_02_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
area_02,m_dark_axe_stump,다크 엑스텀프,darkaxestump,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\DarkAxeStump.model,45bc1aa1e85627e944eb1565e0b5c421db783563980d0d91c160cbabd6b914a4,fd35894dd92c4e3b8885e59b0f4d3394,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""fd35894dd92c4e3b8885e59b0f4d3394"", ""move"": ""0a698e6daa65430b87a0d1aa39b5c18b"", ""hit"": ""7d4a251e236c469db7394ee634112707"", ""die"": ""27372e87c20049419112e0468e90dbcb""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""다크 엑스텀프""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/fd35894dd92c4e3b8885e59b0f4d3394.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\fd35894dd92c4e3b8885e59b0f4d3394.gif,a5d8950ca6e792205a3bc28fe851a6a2f1cd0c2880838e94598d830b1d3a2450,2026-09-12T07:30:18.643Z,1,1,e500cb99331e4c1ba428cd81f632ff1e,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_02_IMAGES_INPUT_V2_4.zip,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,AREA_02_IMAGES_INPUT_V2_4/monsters/003_m_dark_axe_stump_다크_엑스텀프/MONSTER_IMAGE.png,bc28759834980bad44a132869de416eb5929df3b9ab777b42a5e4b0d14fa9671,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_02_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
area_02,m_wild_boar,와일드보어,wildboar,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\WildBoar.model,a75b750136f30e019f5054f4f2734fabef8ffeafd0ecbf4d7316ea7bf2a39d75,af64c62c1dcf427998c3c52f0a060fec,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""af64c62c1dcf427998c3c52f0a060fec"", ""move"": ""a11cef0c68bf47149f2f5703a04926fd"", ""hit"": ""76b4c7a5c6ec4a4eb3b08e23872f16a5"", ""die"": ""0211fb67c56b4a738b2de3810a7e4509"", ""jump"": ""dc89d27986204b4a970026e1fb174fde""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""와일드보어""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/af64c62c1dcf427998c3c52f0a060fec.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\af64c62c1dcf427998c3c52f0a060fec.gif,91cda798c8af25dcf4ecce5f08bfd62c9f30aa1721df8fb693eb47e3dcd8b9d4,2026-09-12T07:30:18.625Z,6,6,addb504c9e394b7f9148d60edbd7e6dd|8896dcf44350444b9f3db8a1751eae91|1bb9bf60235245a88d07d25a14c6d39c|66b0b544183f45a1aac3a339d537a4bc|06d6827ba84f44398dfdee4bfe6de8d5|2d8f1c2683574ea9a5848eaf0dc11d32,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_02_IMAGES_INPUT_V2_4.zip,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,AREA_02_IMAGES_INPUT_V2_4/monsters/004_m_wild_boar_와일드보어/MONSTER_IMAGE.png,f620027b677baa72da586d2a6b6447fdb2ad2ea055a9f2e062bba4e0588ff7da,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_02_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
area_02,m_iron_hog,아이언 호그,ironhog,D:\maplestory_levup\RootDesk\MyDesk\Models\Monsters\IronHog.model,bb72f0e956a31f70c22918c96469a271667dbb350d5382ca9530693ccb1f43a3,eadfe08070d343a9afafe0fd6290f1c6,"{""$type"": ""MOD.Core.MODSyncDictionary`2[[System.String, mscorlib],[System.String, mscorlib]], MOD.Core"", ""stand"": ""eadfe08070d343a9afafe0fd6290f1c6"", ""move"": ""c3a9242a15e949e29f7d552ed551ca06"", ""hit"": ""24d7017733b04d1c9de247fe5bd77bfd"", ""die"": ""af01ec8b8d19418e87158d5d596edbeb"", ""jump"": ""54b0debf02104f4db2ae346c1dbb9c44""}",0,True,True,MSW_ORIGINAL_CONFIRMED,animationclip,"{""ko"": [""아이언 호그"", ""추억의 아이언호그""]}",GET/POST MSW public v3 resources via validated wrapper,2026-09-12T07:29:16.326Z,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\resource_batch_0.json,https://mod-resource-search-images.dn.nexoncdn.co.kr/maplestory_world/eadfe08070d343a9afafe0fd6290f1c6.gif,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\source_copies\eadfe08070d343a9afafe0fd6290f1c6.gif,ec724ad06728fe326149e09ebf90498b62a0cdbbee9d86d5c1b51976d9f1806a,2026-09-12T07:30:18.686Z,3,3,759e69bf58dc43ad9defed90b48b9048|29e62535849442bf9e735da8051516e6|2b5984d8995047a49aad451051992b50,API does not expose immutable revision; query time + returned metadata + image SHA256 snapshot,D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_02_IMAGES_INPUT_V2_4.zip,d0932cfaa6ac29131c1ae081894030812d62b875c3e7863fcf3066fcf48d78ff,AREA_02_IMAGES_INPUT_V2_4/monsters/005_m_iron_hog_아이언_호그/MONSTER_IMAGE.png,e4e177dba66f1983033b94e7a3755c641e6d9e96eeeed54c358d651a482f8f10,공식 exact-RUID clip 영상과 INPUT의 실루엣·몸색·얼굴/장비 구성을 직접 대조. 동일 개체로 읽힘. 흰 배경/투명화·동작 프레임 차이는 정체성 불일치로 보지 않음.,D:\maplestory_levup\docs\art\output_audit\runs\20260912_162508_msw_origin_art_review\boards\area_02_source_and_all_frames.png,GIF 전체 프레임 접촉시트; 9f 이상은 source_detail_01..05에서 첫/중간/끝 확대 추가,없음(정체성 확인 범위). attack/hit/die의 모든 별도 clip 및 엔진 렌더 검증은 범위 밖
