area_id,pairs,roles,CONSISTENT_WITH_REFERENCE,STYLE_OUTLIER,NEEDS_USER_REVIEW,NOT_CHECKED
area_01,5,10,10,0,0,0
area_02,8,16,9,0,7,0
area_03,5,11,11,0,0,0
area_04,5,10,10,0,0,0
area_05,5,10,3,7,0,0
area_07,6,12,12,0,0,0
area_08,5,12,10,0,2,0
area_09,5,10,10,0,0,0
area_10,5,11,11,0,0,0
area_11,5,11,8,3,0,0
area_12,5,10,7,3,0,0
area_13,5,10,9,1,0,0
area_14,5,12,0,12,0,0
area_15,5,12,11,0,1,0
area_16,5,10,10,0,0,0
area_17,5,11,11,0,0,0
area_18,5,11,0,11,0,0
area_19,5,10,10,0,0,0
area_20,5,10,10,0,0,0
