info_path,image_path,image_sha256,classification_record,review_use,visual_basis,temporal_limit
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0001_미니_블루_드래곤/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0001_미니_블루_드래곤/preview.png,612f2ddc68a0a306389bcddeea52ae7d300c226cebec7b8b6aa0838beb43b4b5,# 미니 블루 드래곤- RUID: `01663ed8b2a94562956e8029a79c03b5`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **UNKNOWN**- 시기 근거: 리소스 API에 출시 시기 메타데이터 없음- 시기 확신도: NONE- 효과 계열: projectile- 프리뷰: 확보- 사용 연결: s_mon_blue_wyvern:빙룡 숨결:layer_ruids이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `01663ed8b2a94562956e8029a79c03b5`- reference_role: `VFX`- style_priority: `UNKNOWN`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,VISIBLE_VFX_SECONDARY_REFERENCE,실제 효과의 별형 충격/고리/먹물/전격/불꽃을 식별. 몬스터 본체나 빈 썸네일을 근거로 쓰지 않음.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0002_animationclip-655540/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0002_animationclip-655540/preview.png,b16984ef17ed9e34a82bafc1fbfe994fc9a3dcc478cd13eb168f60de59f18429,# animationclip-655540- RUID: `01dbde634dd944e685b45727289bd9b8`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **UNKNOWN**- 시기 근거: 리소스 API에 출시 시기 메타데이터 없음- 시기 확신도: NONE- 효과 계열: impact/explosion- 프리뷰: 확보- 사용 연결: s_mon_jr_wraith:망령 충격:layer_ruids이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `01dbde634dd944e685b45727289bd9b8`- reference_role: `VFX`- style_priority: `UNKNOWN`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,VISIBLE_VFX_SECONDARY_REFERENCE,실제 효과의 별형 충격/고리/먹물/전격/불꽃을 식별. 몬스터 본체나 빈 썸네일을 근거로 쓰지 않음.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0003_animationclip-655555/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0003_animationclip-655555/preview.png,008ba0ba3f0ba7d838e52d75f7486f896089ab7de30bc4fc9f5a58f29dcf1e46,# animationclip-655555- RUID: `01f39ee5971246ed8306bc471d44a1fd`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **LEGACY_REFERENCE**- 시기 근거: 프로젝트 T16-3a의 모험가 계보 자료; 자산 자체 개정일 미확인- 시기 확신도: MEDIUM- 효과 계열: layered VFX- 프리뷰: 확보- 사용 연결: s_bow_02:바람의 시:effect_ruid이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `01f39ee5971246ed8306bc471d44a1fd`- reference_role: `VFX`- style_priority: `LEGACY_REFERENCE`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,EXCLUDED_INSUFFICIENT_VISIBLE_DETAIL_IN_THIS_SAMPLE,이 접촉시트 표본은 흰 배경과 희미한 잔상 위주라 이번 마감 비교의 주 근거에서 제외.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0004_animationclip-655557/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0004_animationclip-655557/preview.png,26cce608f4e2d9718a7c265e9fda7a35cb4a13824e0c92da396b7fb88a15a1fe,# animationclip-655557- RUID: `0207c85c05dd4c4eac12f9ee735d0545`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **UNKNOWN**- 시기 근거: 리소스 API에 출시 시기 메타데이터 없음- 시기 확신도: NONE- 효과 계열: dash- 프리뷰: 확보- 사용 연결: s_mon_axe_stump:도끼 휘두르기:layer_ruids; s_mon_fire_boar:화염 돌풍:layer_ruids; s_mon_red_snail:붉은 껍질 돌진:layer_ruids; s_mon_ribbon_pig:리본 돌진:layer_ruids; s_mon_snail:몸통 박치기:layer_ruids; s_mon_wild_boar:저돌 맹진:layer_ruids; s_mon_wild_kargo:야수의 그림자 돌진:layer_ruids이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `0207c85c05dd4c4eac12f9ee735d0545`- reference_role: `VFX`- style_priority: `UNKNOWN`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,EXCLUDED_INSUFFICIENT_VISIBLE_DETAIL_IN_THIS_SAMPLE,이 접촉시트 표본은 흰 배경과 희미한 잔상 위주라 이번 마감 비교의 주 근거에서 제외.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0006_animationclip-1041550/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0006_animationclip-1041550/preview.png,7184b723b679bf375f1a6644adeefdbec49dbcd6ec47547f1e15c44d14781a6c,# animationclip-1041550- RUID: `057c2da13da2492c95cb92db424803db`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **UNKNOWN**- 시기 근거: 리소스 API에 출시 시기 메타데이터 없음- 시기 확신도: NONE- 효과 계열: dash- 프리뷰: 확보- 사용 연결: s_mon_red_snail:붉은 껍질 돌진:layer_ruids; s_mon_ribbon_pig:리본 돌진:layer_ruids; s_mon_wild_kargo:야수의 그림자 돌진:layer_ruids이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `057c2da13da2492c95cb92db424803db`- reference_role: `VFX`- style_priority: `UNKNOWN`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,EXCLUDED_INSUFFICIENT_VISIBLE_DETAIL_IN_THIS_SAMPLE,이 접촉시트 표본은 흰 배경과 희미한 잔상 위주라 이번 마감 비교의 주 근거에서 제외.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0008_설산의_마녀/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0008_설산의_마녀/preview.png,71db6a2eebf8523205c9fb858d25633bf047b9575f00adce43e4e7f756e747fa,# 설산의 마녀- RUID: `0719861214fa45578488a1083f49df5a`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **UNKNOWN**- 시기 근거: 리소스 API에 출시 시기 메타데이터 없음- 시기 확신도: NONE- 효과 계열: wave/area- 프리뷰: 확보- 사용 연결: s_mon_snow_witch:추방자의 눈보라:layer_ruids이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `0719861214fa45578488a1083f49df5a`- reference_role: `VFX`- style_priority: `UNKNOWN`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,EXCLUDED_INSUFFICIENT_VISIBLE_DETAIL_IN_THIS_SAMPLE,이 접촉시트 표본은 흰 배경과 희미한 잔상 위주라 이번 마감 비교의 주 근거에서 제외.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0009_스퀴드/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0009_스퀴드/preview.png,05a09b201c679613558ae824022f771f94dfb11deb12bfb58a32a08f99f305c4,# 스퀴드- RUID: `0906c3a7455940ce9e9db0b0f0278741`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **UNKNOWN**- 시기 근거: 리소스 API에 출시 시기 메타데이터 없음- 시기 확신도: NONE- 효과 계열: impact/explosion- 프리뷰: 확보- 사용 연결: s_mon_squid:심해 먹물 폭발:layer_ruids이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `0906c3a7455940ce9e9db0b0f0278741`- reference_role: `VFX`- style_priority: `UNKNOWN`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,VISIBLE_VFX_SECONDARY_REFERENCE,실제 효과의 별형 충격/고리/먹물/전격/불꽃을 식별. 몬스터 본체나 빈 썸네일을 근거로 쓰지 않음.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0014_능력의_다크_와이번/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0014_능력의_다크_와이번/preview.png,5510dc640bff008b9524dec2d57f82c2d946bc4b314864ab5b1bec568b95c934,# 능력의 다크 와이번- RUID: `1215ca4153664cb18a207cddcc5ab22c`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **UNKNOWN**- 시기 근거: 리소스 API에 출시 시기 메타데이터 없음- 시기 확신도: NONE- 효과 계열: projectile- 프리뷰: 확보- 사용 연결: s_mon_blue_wyvern:빙룡 숨결:layer_ruids이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `1215ca4153664cb18a207cddcc5ab22c`- reference_role: `VFX`- style_priority: `UNKNOWN`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,EXCLUDED_INSUFFICIENT_VISIBLE_DETAIL_IN_THIS_SAMPLE,이 접촉시트 표본은 흰 배경과 희미한 잔상 위주라 이번 마감 비교의 주 근거에서 제외.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0015_키메라/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0015_키메라/preview.png,9ff035fcbf10e7e71822205648b605cec29db893e3b3eb5500ec58f544084b2d,# 키메라- RUID: `127defcb953144368b79da1417f8b4b4`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **UNKNOWN**- 시기 근거: 리소스 API에 출시 시기 메타데이터 없음- 시기 확신도: NONE- 효과 계열: projectile- 프리뷰: 확보- 사용 연결: s_mon_chimera:융합체의 산성 포격:layer_ruids; s_mon_homun:플라스크 독무:layer_ruids이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `127defcb953144368b79da1417f8b4b4`- reference_role: `VFX`- style_priority: `UNKNOWN`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,EXCLUDED_INSUFFICIENT_VISIBLE_DETAIL_IN_THIS_SAMPLE,이 접촉시트 표본은 흰 배경과 희미한 잔상 위주라 이번 마감 비교의 주 근거에서 제외.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
D:\maplestory_levup\docs\art\images-input-packages-v2_4\AREA_01_IMAGES_INPUT_V2_4.zip::AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0016_마뇽/info.md,AREA_01_IMAGES_INPUT_V2_4/global_skill_style_library/skills/0016_마뇽/preview.png,9130e1fedd3a8815f85057f98bea0d2be60d9a09852da553913333a43dbca4d3,# 마뇽- RUID: `128fe611ea9347aab589c5b5d4d8fc5b`- 출처: MSW 공식 리소스 검색 API thumbnail- 스타일 우선순위: **UNKNOWN**- 시기 근거: 리소스 API에 출시 시기 메타데이터 없음- 시기 확신도: NONE- 효과 계열: layered VFX- 프리뷰: 확보- 사용 연결: s_mon_manon:마뇽의 용화염:layer_ruids이 자료는 **시각 문법 분석용**이며 기능·무기·실루엣 복제용이 아니다.## V2.1 synchronized classification- RUID: `128fe611ea9347aab589c5b5d4d8fc5b`- reference_role: `VFX`- style_priority: `UNKNOWN`- role_basis: preview 시각 검수 + SkillTable 시각 필드 사용처- preview_usable: `true`- preview_unusable_reason: 없음- 적용 규칙: preview_usable=false이거나 style_priority=EXCLUDE_STYLE이면 주 스타일 판단에서 제외한다.,VISIBLE_VFX_SECONDARY_REFERENCE,실제 효과의 별형 충격/고리/먹물/전격/불꽃을 식별. 몬스터 본체나 빈 썸네일을 근거로 쓰지 않음.,출시/개정 시점 미확인. 최신 공식 스킬 아트로 주장하지 않음.
