monster_id,label,source,box,scale,resampling
m_snail,참고 95,sources/ref_095.png,"[76, 69, 204, 197]",2,NEAREST
m_snail,실제 VFX F05,sources/m_snail/001_m_snail_s_mon_snail_dew_trail_F05.png,"[138, 164, 266, 292]",2,NEAREST
m_snail,실제 ICON,sources/m_snail/001_m_snail_s_mon_snail_dew_trail_ICON.png,"[68, 66, 196, 194]",2,NEAREST
m_blue_snail,참고 178,sources/ref_178.png,"[98, 56, 226, 184]",2,NEAREST
m_blue_snail,실제 VFX F04,sources/m_blue_snail/002_m_blue_snail_s_mon_blue_snail_F04.png,"[64, 62, 192, 190]",2,NEAREST
m_blue_snail,실제 ICON,sources/m_blue_snail/002_m_blue_snail_s_mon_blue_snail_ICON.png,"[69, 60, 197, 188]",2,NEAREST
m_red_snail,참고 67,sources/ref_067.png,"[95, 63, 223, 191]",2,NEAREST
m_red_snail,실제 VFX F03,sources/m_red_snail/003_m_red_snail_s_mon_red_snail_F03.png,"[46, 100, 174, 228]",2,NEAREST
m_red_snail,실제 ICON,sources/m_red_snail/003_m_red_snail_s_mon_red_snail_ICON.png,"[65, 64, 193, 192]",2,NEAREST
m_mano,참고 100,sources/ref_100.png,"[94, 51, 222, 179]",2,NEAREST
m_mano,실제 VFX F06,sources/m_mano/004_m_mano_s_mon_mano_F06.png,"[191, 224, 319, 352]",2,NEAREST
m_mano,실제 ICON,sources/m_mano/004_m_mano_s_mon_mano_ICON.png,"[68, 57, 196, 185]",2,NEAREST
m_slime,참고 95,sources/ref_095.png,"[76, 69, 204, 197]",2,NEAREST
m_slime,실제 VFX F04,sources/m_slime/005_m_slime_s_mon_slime_F04.png,"[69, 57, 197, 185]",2,NEAREST
m_slime,실제 ICON,sources/m_slime/005_m_slime_s_mon_slime_ICON.png,"[75, 69, 203, 197]",2,NEAREST
