area_id,monster_id,skill_id,effect_role,production_decision,relative_path,frame_index,size,frame_count_contract,frame_seconds,total_seconds,playback_mode,runtime_use,source_sheet,split_box,validation_mode,validation_alpha,validation_transparent_corners,validation_edge_touch,user_art_approval
area_05,m_ribbon_pig,s_mon_ribbon_pig,ICON,NEW_ART,ICON/001_m_ribbon_pig_s_mon_ribbon_pig_ICON.png,0,256x256,1,static,static,static,ui,SOURCE_SHEETS/icons_SOURCE_SHEET.png,"(0, 0, 256, 256)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_ribbon_pig,s_mon_ribbon_pig,CAST_VFX,NEW_ART,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F00.png,0,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/ribbon_cast_SOURCE_SHEET.png,"(0, 0, 384, 384)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_ribbon_pig,s_mon_ribbon_pig,CAST_VFX,NEW_ART,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F01.png,1,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/ribbon_cast_SOURCE_SHEET.png,"(384, 0, 768, 384)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_ribbon_pig,s_mon_ribbon_pig,CAST_VFX,NEW_ART,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F02.png,2,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/ribbon_cast_SOURCE_SHEET.png,"(768, 0, 1152, 384)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_ribbon_pig,s_mon_ribbon_pig,CAST_VFX,NEW_ART,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F03.png,3,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/ribbon_cast_SOURCE_SHEET.png,"(1152, 0, 1536, 384)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_ribbon_pig,s_mon_ribbon_pig,CAST_VFX,NEW_ART,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F04.png,4,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/ribbon_cast_SOURCE_SHEET.png,"(0, 384, 384, 768)",PASS,PASS,WARN,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_ribbon_pig,s_mon_ribbon_pig,CAST_VFX,NEW_ART,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F05.png,5,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/ribbon_cast_SOURCE_SHEET.png,"(384, 384, 768, 768)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_ribbon_pig,s_mon_ribbon_pig,CAST_VFX,NEW_ART,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F06.png,6,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/ribbon_cast_SOURCE_SHEET.png,"(768, 384, 1152, 768)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_ribbon_pig,s_mon_ribbon_pig,CAST_VFX,NEW_ART,CAST/001_m_ribbon_pig_s_mon_ribbon_pig_CAST_F07.png,7,384x384,8,0.10,0.8,non-loop one-shot,true,SOURCE_SHEETS/ribbon_cast_SOURCE_SHEET.png,"(1152, 384, 1536, 768)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
area_05,m_blue_pig,s_mon_blue_pig,ICON,NEW_ART,ICON/002_m_blue_pig_s_mon_blue_pig_ICON.png,0,256x256,1,static,static,static,ui,SOURCE_SHEETS/icons_SOURCE_SHEET.png,"(256, 0, 512, 256)",PASS,PASS,PASS,SUSPECT_TOUCHING_EDGE,PENDING
