area_id,monster_order,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,relative_paths,frame_count,canvas,frame_seconds,total_seconds,playback_mode,source_sheet,split_coords,monster_image,source_origin,validation_mode,alpha_min,alpha_max,blank_frame_count,edge_touch_suspect,user_art_approval
area_04,001,m_octopus,옥토퍼스,s_mon_octopus,먹물 폭발,액티브,ICON,NEW_ART,ui,ICON/001_m_octopus_s_mon_octopus_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/001_m_octopus_s_mon_octopus_ICON_source.png,full image scaled to 256x256,monsters/001_m_octopus_옥토퍼스/MONSTER_IMAGE.png,generated original icon source,RGBA,0,255,0,NO,PENDING
area_04,001,m_octopus,옥토퍼스,s_mon_octopus,먹물 폭발,액티브,CAST_VFX,NEW_ART,true,CAST/001_m_octopus_s_mon_octopus_CAST_F00.png|CAST/001_m_octopus_s_mon_octopus_CAST_F01.png|CAST/001_m_octopus_s_mon_octopus_CAST_F02.png|CAST/001_m_octopus_s_mon_octopus_CAST_F03.png|CAST/001_m_octopus_s_mon_octopus_CAST_F04.png|CAST/001_m_octopus_s_mon_octopus_CAST_F05.png|CAST/001_m_octopus_s_mon_octopus_CAST_F06.png|CAST/001_m_octopus_s_mon_octopus_CAST_F07.png,8,384x384 RGBA,0.1,0.8,non-loop one-shot,SOURCE_SHEETS/001_m_octopus_s_mon_octopus_CAST_sheet.png,"F00:0,0,444,444 | F01:444,0,887,444 | F02:887,0,1330,444 | F03:1330,0,1774,444 | F04:0,444,444,887 | F05:444,444,887,887 | F06:887,444,1330,887 | F07:1330,444,1774,887",monsters/001_m_octopus_옥토퍼스/MONSTER_IMAGE.png,generated original sprite sheet source,RGBA,see frame rows,see frame rows,0,YES,PENDING
area_04,002,m_stirge,스티지,s_mon_stirge,밤의 감각,패시브,ICON,NEW_ART,ui,ICON/002_m_stirge_s_mon_stirge_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/002_m_stirge_s_mon_stirge_ICON_source.png,full image scaled to 256x256,monsters/002_m_stirge_스티지/MONSTER_IMAGE.png,generated original icon source,RGBA,0,255,0,NO,PENDING
area_04,002,m_stirge,스티지,s_mon_stirge,밤의 감각,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/002_m_stirge_s_mon_stirge_REFERENCE_F00.png|REFERENCE/002_m_stirge_s_mon_stirge_REFERENCE_F01.png|REFERENCE/002_m_stirge_s_mon_stirge_REFERENCE_F02.png|REFERENCE/002_m_stirge_s_mon_stirge_REFERENCE_F03.png|REFERENCE/002_m_stirge_s_mon_stirge_REFERENCE_F04.png|REFERENCE/002_m_stirge_s_mon_stirge_REFERENCE_F05.png,6,256x256 RGBA,0.1,0.6,preview-only non-loop,SOURCE_SHEETS/002_m_stirge_s_mon_stirge_REFERENCE_sheet.png,"F00:0,0,512,512 | F01:512,0,1024,512 | F02:1024,0,1536,512 | F03:0,512,512,1024 | F04:512,512,1024,1024 | F05:1024,512,1536,1024",monsters/002_m_stirge_스티지/MONSTER_IMAGE.png,generated original sprite sheet source,RGBA,see frame rows,see frame rows,0,NO,PENDING
area_04,003,m_jr_wraith,주니어 레이스,s_mon_jr_wraith,망령 충격,액티브,ICON,NEW_ART,ui,ICON/003_m_jr_wraith_s_mon_jr_wraith_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/003_m_jr_wraith_s_mon_jr_wraith_ICON_source.png,full image scaled to 256x256,monsters/003_m_jr_wraith_주니어_레이스/MONSTER_IMAGE.png,generated original icon source,RGBA,0,255,0,YES,PENDING
area_04,003,m_jr_wraith,주니어 레이스,s_mon_jr_wraith,망령 충격,액티브,CAST_VFX,NEW_ART,true,CAST/003_m_jr_wraith_s_mon_jr_wraith_CAST_F00.png|CAST/003_m_jr_wraith_s_mon_jr_wraith_CAST_F01.png|CAST/003_m_jr_wraith_s_mon_jr_wraith_CAST_F02.png|CAST/003_m_jr_wraith_s_mon_jr_wraith_CAST_F03.png|CAST/003_m_jr_wraith_s_mon_jr_wraith_CAST_F04.png|CAST/003_m_jr_wraith_s_mon_jr_wraith_CAST_F05.png|CAST/003_m_jr_wraith_s_mon_jr_wraith_CAST_F06.png|CAST/003_m_jr_wraith_s_mon_jr_wraith_CAST_F07.png,8,384x384 RGBA,0.1,0.8,non-loop one-shot,SOURCE_SHEETS/003_m_jr_wraith_s_mon_jr_wraith_CAST_sheet.png,"F00:0,0,444,444 | F01:444,0,887,444 | F02:887,0,1330,444 | F03:1330,0,1774,444 | F04:0,444,444,887 | F05:444,444,887,887 | F06:887,444,1330,887 | F07:1330,444,1774,887",monsters/003_m_jr_wraith_주니어_레이스/MONSTER_IMAGE.png,generated original sprite sheet source,RGBA,see frame rows,see frame rows,0,YES,PENDING
area_04,004,m_wraith,레이스,s_mon_wraith,원혼의 기운,패시브,ICON,NEW_ART,ui,ICON/004_m_wraith_s_mon_wraith_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/004_m_wraith_s_mon_wraith_ICON_source.png,full image scaled to 256x256,monsters/004_m_wraith_레이스/MONSTER_IMAGE.png,generated original icon source,RGBA,0,255,0,NO,PENDING
area_04,004,m_wraith,레이스,s_mon_wraith,원혼의 기운,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/004_m_wraith_s_mon_wraith_REFERENCE_F00.png|REFERENCE/004_m_wraith_s_mon_wraith_REFERENCE_F01.png|REFERENCE/004_m_wraith_s_mon_wraith_REFERENCE_F02.png|REFERENCE/004_m_wraith_s_mon_wraith_REFERENCE_F03.png|REFERENCE/004_m_wraith_s_mon_wraith_REFERENCE_F04.png|REFERENCE/004_m_wraith_s_mon_wraith_REFERENCE_F05.png,6,256x256 RGBA,0.1,0.6,preview-only non-loop,SOURCE_SHEETS/004_m_wraith_s_mon_wraith_REFERENCE_sheet.png,"F00:0,0,512,512 | F01:512,0,1024,512 | F02:1024,0,1536,512 | F03:0,512,512,1024 | F04:512,512,1024,1024 | F05:1024,512,1536,1024",monsters/004_m_wraith_레이스/MONSTER_IMAGE.png,generated original sprite sheet source,RGBA,see frame rows,see frame rows,0,YES,PENDING
area_04,005,m_shade,셰이드,s_mon_shade,심연의 장막,액티브,ICON,NEW_ART,ui,ICON/005_m_shade_s_mon_shade_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/005_m_shade_s_mon_shade_ICON_source.png,full image scaled to 256x256,monsters/005_m_shade_셰이드/MONSTER_IMAGE.png,generated original icon source,RGBA,0,255,0,NO,PENDING
area_04,005,m_shade,셰이드,s_mon_shade,심연의 장막,액티브,CAST_VFX,NEW_ART,true,CAST/005_m_shade_s_mon_shade_CAST_F00.png|CAST/005_m_shade_s_mon_shade_CAST_F01.png|CAST/005_m_shade_s_mon_shade_CAST_F02.png|CAST/005_m_shade_s_mon_shade_CAST_F03.png|CAST/005_m_shade_s_mon_shade_CAST_F04.png|CAST/005_m_shade_s_mon_shade_CAST_F05.png|CAST/005_m_shade_s_mon_shade_CAST_F06.png|CAST/005_m_shade_s_mon_shade_CAST_F07.png|CAST/005_m_shade_s_mon_shade_CAST_F08.png|CAST/005_m_shade_s_mon_shade_CAST_F09.png|CAST/005_m_shade_s_mon_shade_CAST_F10.png|CAST/005_m_shade_s_mon_shade_CAST_F11.png,12,512x512 RGBA,0.08,0.96,non-loop one-shot,SOURCE_SHEETS/005_m_shade_s_mon_shade_CAST_sheet.png,"F00:0,0,362,362 | F01:362,0,724,362 | F02:724,0,1086,362 | F03:1086,0,1448,362 | F04:0,362,362,724 | F05:362,362,724,724 | F06:724,362,1086,724 | F07:1086,362,1448,724 | F08:0,724,362,1086 | F09:362,724,724,1086 | F10:724,724,1086,1086 | F11:1086,724,1448,1086",monsters/005_m_shade_셰이드/MONSTER_IMAGE.png,generated original sprite sheet source,RGBA,see frame rows,see frame rows,0,YES,PENDING
