area_id,area_name,work_order,monster_id,monster_name,skill_id,skill_name,skill_type,role,production_decision,runtime_use,output_rel_path,frame_index,frame_count_total,width,height,mode,frame_seconds,playback_mode,source_monster_image_rel,source_monster_ruid,source_monster_sha256,sheet_original_rel,sheet_normalized_rel,split_box,alpha_min,alpha_max,nonzero_alpha_pixels,border_alpha_pixels,validation_presence,validation_size,validation_mode,validation_transparency,validation_empty_frame,validation_crop_risk,user_art_approval
area_07,슬리피우드,1,m_zombie_mushroom,좀비버섯,s_mon_zombie_mushroom,죽은 포자의 끈기,패시브,ICON,NEW_ART,true,ICON/001_m_zombie_mushroom_s_mon_zombie_mushroom_ICON.png,0,1,256,256,RGBA,static,static,SOURCE_MONSTERS/001_m_zombie_mushroom_MONSTER_IMAGE.png,3ee3fc0f4d2e443cbb9ec424dd2c012f,9325d54b671ddc5204146a4d3572e7a16a45ccce8c5e30c23727efd7a7fc1f69,SOURCE_SHEETS/original/icons_sheet_original.png,SOURCE_SHEETS/normalized/icons_sheet_normalized.png,"(0, 0, 256, 256)",0,255,40133,0,PASS,PASS,PASS,PASS,PASS,PASS,PENDING
area_07,슬리피우드,1,m_zombie_mushroom,좀비버섯,s_mon_zombie_mushroom,죽은 포자의 끈기,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_zombie_mushroom_s_mon_zombie_mushroom_REFERENCE_F00.png,0,6,256,256,RGBA,0.10,preview-only non-loop,SOURCE_MONSTERS/001_m_zombie_mushroom_MONSTER_IMAGE.png,3ee3fc0f4d2e443cbb9ec424dd2c012f,9325d54b671ddc5204146a4d3572e7a16a45ccce8c5e30c23727efd7a7fc1f69,SOURCE_SHEETS/original/001_m_zombie_mushroom_REFERENCE_sheet_original.png,SOURCE_SHEETS/normalized/001_m_zombie_mushroom_REFERENCE_sheet_normalized.png,"(0, 0, 256, 256)",0,255,8992,6,PASS,PASS,PASS,PASS,PASS,PASS,PENDING
area_07,슬리피우드,1,m_zombie_mushroom,좀비버섯,s_mon_zombie_mushroom,죽은 포자의 끈기,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_zombie_mushroom_s_mon_zombie_mushroom_REFERENCE_F01.png,1,6,256,256,RGBA,0.10,preview-only non-loop,SOURCE_MONSTERS/001_m_zombie_mushroom_MONSTER_IMAGE.png,3ee3fc0f4d2e443cbb9ec424dd2c012f,9325d54b671ddc5204146a4d3572e7a16a45ccce8c5e30c23727efd7a7fc1f69,SOURCE_SHEETS/original/001_m_zombie_mushroom_REFERENCE_sheet_original.png,SOURCE_SHEETS/normalized/001_m_zombie_mushroom_REFERENCE_sheet_normalized.png,"(256, 0, 512, 256)",0,255,16393,32,PASS,PASS,PASS,PASS,PASS,WARN,PENDING
area_07,슬리피우드,1,m_zombie_mushroom,좀비버섯,s_mon_zombie_mushroom,죽은 포자의 끈기,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_zombie_mushroom_s_mon_zombie_mushroom_REFERENCE_F02.png,2,6,256,256,RGBA,0.10,preview-only non-loop,SOURCE_MONSTERS/001_m_zombie_mushroom_MONSTER_IMAGE.png,3ee3fc0f4d2e443cbb9ec424dd2c012f,9325d54b671ddc5204146a4d3572e7a16a45ccce8c5e30c23727efd7a7fc1f69,SOURCE_SHEETS/original/001_m_zombie_mushroom_REFERENCE_sheet_original.png,SOURCE_SHEETS/normalized/001_m_zombie_mushroom_REFERENCE_sheet_normalized.png,"(512, 0, 768, 256)",0,255,18852,29,PASS,PASS,PASS,PASS,PASS,WARN,PENDING
area_07,슬리피우드,1,m_zombie_mushroom,좀비버섯,s_mon_zombie_mushroom,죽은 포자의 끈기,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_zombie_mushroom_s_mon_zombie_mushroom_REFERENCE_F03.png,3,6,256,256,RGBA,0.10,preview-only non-loop,SOURCE_MONSTERS/001_m_zombie_mushroom_MONSTER_IMAGE.png,3ee3fc0f4d2e443cbb9ec424dd2c012f,9325d54b671ddc5204146a4d3572e7a16a45ccce8c5e30c23727efd7a7fc1f69,SOURCE_SHEETS/original/001_m_zombie_mushroom_REFERENCE_sheet_original.png,SOURCE_SHEETS/normalized/001_m_zombie_mushroom_REFERENCE_sheet_normalized.png,"(0, 256, 256, 512)",0,255,19720,7,PASS,PASS,PASS,PASS,PASS,PASS,PENDING
area_07,슬리피우드,1,m_zombie_mushroom,좀비버섯,s_mon_zombie_mushroom,죽은 포자의 끈기,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_zombie_mushroom_s_mon_zombie_mushroom_REFERENCE_F04.png,4,6,256,256,RGBA,0.10,preview-only non-loop,SOURCE_MONSTERS/001_m_zombie_mushroom_MONSTER_IMAGE.png,3ee3fc0f4d2e443cbb9ec424dd2c012f,9325d54b671ddc5204146a4d3572e7a16a45ccce8c5e30c23727efd7a7fc1f69,SOURCE_SHEETS/original/001_m_zombie_mushroom_REFERENCE_sheet_original.png,SOURCE_SHEETS/normalized/001_m_zombie_mushroom_REFERENCE_sheet_normalized.png,"(256, 256, 512, 512)",0,255,16765,12,PASS,PASS,PASS,PASS,PASS,WARN,PENDING
area_07,슬리피우드,1,m_zombie_mushroom,좀비버섯,s_mon_zombie_mushroom,죽은 포자의 끈기,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/001_m_zombie_mushroom_s_mon_zombie_mushroom_REFERENCE_F05.png,5,6,256,256,RGBA,0.10,preview-only non-loop,SOURCE_MONSTERS/001_m_zombie_mushroom_MONSTER_IMAGE.png,3ee3fc0f4d2e443cbb9ec424dd2c012f,9325d54b671ddc5204146a4d3572e7a16a45ccce8c5e30c23727efd7a7fc1f69,SOURCE_SHEETS/original/001_m_zombie_mushroom_REFERENCE_sheet_original.png,SOURCE_SHEETS/normalized/001_m_zombie_mushroom_REFERENCE_sheet_normalized.png,"(512, 256, 768, 512)",0,255,10255,5,PASS,PASS,PASS,PASS,PASS,PASS,PENDING
area_07,슬리피우드,2,m_copper_drake,코퍼드레이크,s_mon_copper_drake,청동 비늘,패시브,ICON,NEW_ART,true,ICON/002_m_copper_drake_s_mon_copper_drake_ICON.png,0,1,256,256,RGBA,static,static,SOURCE_MONSTERS/002_m_copper_drake_MONSTER_IMAGE.png,da160cd4b78c479ab8dfaa225b2dcd47,a59b934824fc81a8ab2e38e430edaaf8269eae45c443d1652c5bc2ca692884c7,SOURCE_SHEETS/original/icons_sheet_original.png,SOURCE_SHEETS/normalized/icons_sheet_normalized.png,"(256, 0, 512, 256)",0,255,37353,30,PASS,PASS,PASS,PASS,PASS,WARN,PENDING
area_07,슬리피우드,2,m_copper_drake,코퍼드레이크,s_mon_copper_drake,청동 비늘,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/002_m_copper_drake_s_mon_copper_drake_REFERENCE_F00.png,0,6,256,256,RGBA,0.10,preview-only non-loop,SOURCE_MONSTERS/002_m_copper_drake_MONSTER_IMAGE.png,da160cd4b78c479ab8dfaa225b2dcd47,a59b934824fc81a8ab2e38e430edaaf8269eae45c443d1652c5bc2ca692884c7,SOURCE_SHEETS/original/002_m_copper_drake_REFERENCE_sheet_original.png,SOURCE_SHEETS/normalized/002_m_copper_drake_REFERENCE_sheet_normalized.png,"(0, 0, 256, 256)",0,255,15725,4,PASS,PASS,PASS,PASS,PASS,PASS,PENDING
area_07,슬리피우드,2,m_copper_drake,코퍼드레이크,s_mon_copper_drake,청동 비늘,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/002_m_copper_drake_s_mon_copper_drake_REFERENCE_F01.png,1,6,256,256,RGBA,0.10,preview-only non-loop,SOURCE_MONSTERS/002_m_copper_drake_MONSTER_IMAGE.png,da160cd4b78c479ab8dfaa225b2dcd47,a59b934824fc81a8ab2e38e430edaaf8269eae45c443d1652c5bc2ca692884c7,SOURCE_SHEETS/original/002_m_copper_drake_REFERENCE_sheet_original.png,SOURCE_SHEETS/normalized/002_m_copper_drake_REFERENCE_sheet_normalized.png,"(256, 0, 512, 256)",0,255,20752,16,PASS,PASS,PASS,PASS,PASS,WARN,PENDING
