area_id,area_name,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,frame_count,canvas,frame_seconds,total_seconds,playback_mode,source_sheet,split_meta,output_files,validation,user_art_approval,preview
area_17,시간의 신전,m_memory_monk,추억의 사제,s_mon_memory_monk,추억의 묵상,패시브,ICON,NEW_ART,ui,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/icon_sheet_A.png,SOURCE_SHEETS/icon_sheet_A_split_coords.json,ICON/001_m_memory_monk_s_mon_memory_monk_ICON.png,PASS,PENDING,monsters/001_m_memory_monk/PREVIEW/labeled_preview.png
area_17,시간의 신전,m_memory_monk,추억의 사제,s_mon_memory_monk,추억의 묵상,패시브,REFERENCE_VFX,NEW_ART,false,6,256x256 RGBA,0.10,0.6000000000000001,preview-only non-loop,SOURCE_SHEETS/001_m_memory_monk_s_mon_memory_monk_REFERENCE_sheet.png,SOURCE_SHEETS/001_m_memory_monk_s_mon_memory_monk_REFERENCE_split_coords.json,REFERENCE/001_m_memory_monk_s_mon_memory_monk_REFERENCE_F00.png;REFERENCE/001_m_memory_monk_s_mon_memory_monk_REFERENCE_F01.png;REFERENCE/001_m_memory_monk_s_mon_memory_monk_REFERENCE_F02.png;REFERENCE/001_m_memory_monk_s_mon_memory_monk_REFERENCE_F03.png;REFERENCE/001_m_memory_monk_s_mon_memory_monk_REFERENCE_F04.png;REFERENCE/001_m_memory_monk_s_mon_memory_monk_REFERENCE_F05.png,PASS,PENDING,monsters/001_m_memory_monk/PREVIEW/labeled_preview.png
area_17,시간의 신전,m_memory_monk_trainee,추억의 신관,s_mon_memory_monk_trainee,추억의 기도파,액티브,ICON,NEW_ART,ui,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/icon_sheet_A.png,SOURCE_SHEETS/icon_sheet_A_split_coords.json,ICON/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_ICON.png,PASS,PENDING,monsters/002_m_memory_monk_trainee/PREVIEW/labeled_preview.png
area_17,시간의 신전,m_memory_monk_trainee,추억의 신관,s_mon_memory_monk_trainee,추억의 기도파,액티브,CAST_VFX,NEW_ART,true,8,384x384 RGBA,0.10,0.8,non-loop one-shot,SOURCE_SHEETS/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_sheet.png,SOURCE_SHEETS/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_split_coords.json,CAST/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_F00.png;CAST/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_F01.png;CAST/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_F02.png;CAST/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_F03.png;CAST/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_F04.png;CAST/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_F05.png;CAST/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_F06.png;CAST/002_m_memory_monk_trainee_s_mon_memory_monk_trainee_CAST_F07.png,PASS,PENDING,monsters/002_m_memory_monk_trainee/PREVIEW/labeled_preview.png
area_17,시간의 신전,m_memory_guardian,추억의 수호병,s_mon_memory_guardian,수호병의 기억갑주,패시브,ICON,NEW_ART,ui,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/icon_sheet_A.png,SOURCE_SHEETS/icon_sheet_A_split_coords.json,ICON/003_m_memory_guardian_s_mon_memory_guardian_ICON.png,PASS,PENDING,monsters/003_m_memory_guardian/PREVIEW/labeled_preview.png
area_17,시간의 신전,m_memory_guardian,추억의 수호병,s_mon_memory_guardian,수호병의 기억갑주,패시브,REFERENCE_VFX,NEW_ART,false,6,256x256 RGBA,0.10,0.6000000000000001,preview-only non-loop,SOURCE_SHEETS/003_m_memory_guardian_s_mon_memory_guardian_REFERENCE_sheet.png,SOURCE_SHEETS/003_m_memory_guardian_s_mon_memory_guardian_REFERENCE_split_coords.json,REFERENCE/003_m_memory_guardian_s_mon_memory_guardian_REFERENCE_F00.png;REFERENCE/003_m_memory_guardian_s_mon_memory_guardian_REFERENCE_F01.png;REFERENCE/003_m_memory_guardian_s_mon_memory_guardian_REFERENCE_F02.png;REFERENCE/003_m_memory_guardian_s_mon_memory_guardian_REFERENCE_F03.png;REFERENCE/003_m_memory_guardian_s_mon_memory_guardian_REFERENCE_F04.png;REFERENCE/003_m_memory_guardian_s_mon_memory_guardian_REFERENCE_F05.png,PASS,PENDING,monsters/003_m_memory_guardian/PREVIEW/labeled_preview.png
area_17,시간의 신전,m_chief_memory_guardian,추억의 수호대장,s_mon_chief_memory_guardian,시간 수호진,액티브,ICON,NEW_ART,ui,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/icon_sheet_B.png,SOURCE_SHEETS/icon_sheet_B_split_coords.json,ICON/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_ICON.png,PASS,PENDING,monsters/004_m_chief_memory_guardian/PREVIEW/labeled_preview.png
area_17,시간의 신전,m_chief_memory_guardian,추억의 수호대장,s_mon_chief_memory_guardian,시간 수호진,액티브,CAST_VFX,NEW_ART,true,8,384x384 RGBA,0.10,0.8,non-loop one-shot,SOURCE_SHEETS/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_sheet.png,SOURCE_SHEETS/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_split_coords.json,CAST/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_F00.png;CAST/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_F01.png;CAST/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_F02.png;CAST/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_F03.png;CAST/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_F04.png;CAST/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_F05.png;CAST/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_F06.png;CAST/004_m_chief_memory_guardian_s_mon_chief_memory_guardian_CAST_F07.png,PASS,PENDING,monsters/004_m_chief_memory_guardian/PREVIEW/labeled_preview.png
area_17,시간의 신전,m_dodo,도도,s_mon_dodo,기억 포식,액티브,ICON,NEW_ART,ui,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/icon_sheet_B.png,SOURCE_SHEETS/icon_sheet_B_split_coords.json,ICON/005_m_dodo_s_mon_dodo_ICON.png,PASS,PENDING,monsters/005_m_dodo/PREVIEW/labeled_preview.png
area_17,시간의 신전,m_dodo,도도,s_mon_dodo,기억 포식,액티브,CAST_VFX,NEW_ART,true,12,512x512 RGBA,0.08,0.96,non-loop one-shot,SOURCE_SHEETS/005_m_dodo_s_mon_dodo_CAST_sheet.png,SOURCE_SHEETS/005_m_dodo_s_mon_dodo_CAST_split_coords.json,CAST/005_m_dodo_s_mon_dodo_CAST_F00.png;CAST/005_m_dodo_s_mon_dodo_CAST_F01.png;CAST/005_m_dodo_s_mon_dodo_CAST_F02.png;CAST/005_m_dodo_s_mon_dodo_CAST_F03.png;CAST/005_m_dodo_s_mon_dodo_CAST_F04.png;CAST/005_m_dodo_s_mon_dodo_CAST_F05.png;CAST/005_m_dodo_s_mon_dodo_CAST_F06.png;CAST/005_m_dodo_s_mon_dodo_CAST_F07.png;CAST/005_m_dodo_s_mon_dodo_CAST_F08.png;CAST/005_m_dodo_s_mon_dodo_CAST_F09.png;CAST/005_m_dodo_s_mon_dodo_CAST_F10.png;CAST/005_m_dodo_s_mon_dodo_CAST_F11.png,PASS,PENDING,monsters/005_m_dodo/PREVIEW/labeled_preview.png
