work_order,monster_id,skill_id,effect_role,production_decision,relative_path,frame_index,frame_count,canvas,frame_seconds,total_seconds,playback_mode,runtime_use,source_type,source_sheet,split_coords,sha256,validation,auto_validation,user_art_approval
1,m_stone_golem,s_mon_stone,CAST_VFX,NEW_ART,CAST/001_m_stone_golem_s_mon_stone_CAST_F00.png,F00,8,256x256 RGBA,0.10,0.8,non-loop one-shot,true,generated_sheet_split,monsters/001_m_stone_golem_스톤골렘/SOURCE_SHEETS/cast_vfx_sheet.png,"0,0,444,444",c382e0399b443795c1edcb818e142c6499e70a8f78a78bc859eee027c324a08c,"{""size"": ""256x256"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.7394, ""nonzero_pixels"": 17077, ""empty_frame"": false, ""bbox"": [19, 19, 256, 256], ""touches_edge"": {""left"": false, ""top"": false, ""right"": true, ""bottom"": true}}",PASS,PENDING
1,m_stone_golem,s_mon_stone,CAST_VFX,NEW_ART,CAST/001_m_stone_golem_s_mon_stone_CAST_F01.png,F01,8,256x256 RGBA,0.10,0.8,non-loop one-shot,true,generated_sheet_split,monsters/001_m_stone_golem_스톤골렘/SOURCE_SHEETS/cast_vfx_sheet.png,"444,0,887,444",e64725abc356a8477921c2c45759e68c56a76e400fcb006bf0c963401922823e,"{""size"": ""256x256"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.6226, ""nonzero_pixels"": 24736, ""empty_frame"": false, ""bbox"": [0, 12, 256, 256], ""touches_edge"": {""left"": true, ""top"": false, ""right"": true, ""bottom"": true}}",PASS,PENDING
1,m_stone_golem,s_mon_stone,CAST_VFX,NEW_ART,CAST/001_m_stone_golem_s_mon_stone_CAST_F02.png,F02,8,256x256 RGBA,0.10,0.8,non-loop one-shot,true,generated_sheet_split,monsters/001_m_stone_golem_스톤골렘/SOURCE_SHEETS/cast_vfx_sheet.png,"887,0,1330,444",f0ff864e47ad3365f6ec7310f27e58683870316d53a23500d3b30266b744bb12,"{""size"": ""256x256"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.5748, ""nonzero_pixels"": 27869, ""empty_frame"": false, ""bbox"": [4, 13, 256, 256], ""touches_edge"": {""left"": false, ""top"": false, ""right"": true, ""bottom"": true}}",PASS,PENDING
1,m_stone_golem,s_mon_stone,CAST_VFX,NEW_ART,CAST/001_m_stone_golem_s_mon_stone_CAST_F03.png,F03,8,256x256 RGBA,0.10,0.8,non-loop one-shot,true,generated_sheet_split,monsters/001_m_stone_golem_스톤골렘/SOURCE_SHEETS/cast_vfx_sheet.png,"1330,0,1774,444",43ad84ead0b070d894cf559ea3276e36d7389006fb27024e742d71ff2a464893,"{""size"": ""256x256"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.5777, ""nonzero_pixels"": 27675, ""empty_frame"": false, ""bbox"": [0, 13, 248, 245], ""touches_edge"": {""left"": true, ""top"": false, ""right"": false, ""bottom"": false}}",PASS,PENDING
1,m_stone_golem,s_mon_stone,CAST_VFX,NEW_ART,CAST/001_m_stone_golem_s_mon_stone_CAST_F04.png,F04,8,256x256 RGBA,0.10,0.8,non-loop one-shot,true,generated_sheet_split,monsters/001_m_stone_golem_스톤골렘/SOURCE_SHEETS/cast_vfx_sheet.png,"0,444,444,887",ab45b156bda57c38854b72523293752a41ea2bd39819394ef95dc239632061fa,"{""size"": ""256x256"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.4191, ""nonzero_pixels"": 38072, ""empty_frame"": false, ""bbox"": [0, 0, 256, 256], ""touches_edge"": {""left"": true, ""top"": true, ""right"": true, ""bottom"": true}}",PASS,PENDING
1,m_stone_golem,s_mon_stone,CAST_VFX,NEW_ART,CAST/001_m_stone_golem_s_mon_stone_CAST_F05.png,F05,8,256x256 RGBA,0.10,0.8,non-loop one-shot,true,generated_sheet_split,monsters/001_m_stone_golem_스톤골렘/SOURCE_SHEETS/cast_vfx_sheet.png,"444,444,887,887",8683b08231953685668c3a83af175ea424ec63c94fd3ec0fcc86357a62fdf838,"{""size"": ""256x256"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.5725, ""nonzero_pixels"": 28016, ""empty_frame"": false, ""bbox"": [0, 0, 256, 241], ""touches_edge"": {""left"": true, ""top"": true, ""right"": true, ""bottom"": false}}",PASS,PENDING
1,m_stone_golem,s_mon_stone,CAST_VFX,NEW_ART,CAST/001_m_stone_golem_s_mon_stone_CAST_F06.png,F06,8,256x256 RGBA,0.10,0.8,non-loop one-shot,true,generated_sheet_split,monsters/001_m_stone_golem_스톤골렘/SOURCE_SHEETS/cast_vfx_sheet.png,"887,444,1330,887",b14214f8b6fa00febb47ab833d5d2c85622ea4041723b02b99bcc21505b923e9,"{""size"": ""256x256"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.64, ""nonzero_pixels"": 23594, ""empty_frame"": false, ""bbox"": [1, 0, 256, 256], ""touches_edge"": {""left"": false, ""top"": true, ""right"": true, ""bottom"": true}}",PASS,PENDING
1,m_stone_golem,s_mon_stone,CAST_VFX,NEW_ART,CAST/001_m_stone_golem_s_mon_stone_CAST_F07.png,F07,8,256x256 RGBA,0.10,0.8,non-loop one-shot,true,generated_sheet_split,monsters/001_m_stone_golem_스톤골렘/SOURCE_SHEETS/cast_vfx_sheet.png,"1330,444,1774,887",adf92c1b55b5e7b30b1ca0a8b867be6a32bb70e1e0f0f169ccf8681010a691bf,"{""size"": ""256x256"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.7762, ""nonzero_pixels"": 14666, ""empty_frame"": false, ""bbox"": [3, 14, 247, 256], ""touches_edge"": {""left"": false, ""top"": false, ""right"": false, ""bottom"": true}}",PASS,PENDING
1,m_stone_golem,s_mon_stone,ICON,NEW_ART,ICON/001_m_stone_golem_s_mon_stone_ICON.png,ICON,1,256x256 RGBA,static,static,static,ui,generated_sheet_split,monsters/001_m_stone_golem_스톤골렘/SOURCE_SHEETS/icon_sheet.png,"0,0,444,444",c5a45e3b3d1a0752a958e495426b0725edc2fef4b6369dd7c701b1e8f7c939dc,"{""size"": ""256x256"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.3634, ""nonzero_pixels"": 41722, ""empty_frame"": false, ""bbox"": [11, 27, 254, 253], ""touches_edge"": {""left"": false, ""top"": false, ""right"": false, ""bottom"": false}}",PASS,PENDING
2,m_axe_stump,s_mon_axe_stump,CAST_VFX,NEW_ART,CAST/002_m_axe_stump_s_mon_axe_stump_CAST_F00.png,F00,8,384x384 RGBA,0.10,0.8,non-loop one-shot,true,generated_sheet_split,monsters/002_m_axe_stump_엑스텀프/SOURCE_SHEETS/cast_vfx_sheet.png,"0,0,444,444",097e383f6b9c6bc0067e19712b9b4bf2af0289dca4882a31f7c4d521a629ea36,"{""size"": ""384x384"", ""mode"": ""RGBA"", ""alpha_min"": 0, ""alpha_max"": 255, ""transparent_pixel_ratio"": 0.7899, ""nonzero_pixels"": 30986, ""empty_frame"": false, ""bbox"": [20, 18, 384, 384], ""touches_edge"": {""left"": false, ""top"": false, ""right"": true, ""bottom"": true}}",PASS,PENDING
