monster_id,monster_name,skill_id,skill_name,skill_type,role,decision,runtime_use,relative_path,frame_index,frame_count,canvas,frame_seconds,playback_mode,source_sheet,split_coordinates,check_mode,check_size,check_alpha,check_empty,check_text,check_crop,user_art_approval
m_blue_flower_serpent,청화사,s_mon_blue_flower_serpent,청화 비늘,패시브,ICON,NEW_ART,True,ICON/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_ICON.png,ICON,1,256x256 RGBA,static,static,SOURCE_SHEETS/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_ICON_SOURCE.png,resized whole image to 256x256,RGBA,256x256,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
m_blue_flower_serpent,청화사,s_mon_blue_flower_serpent,청화 비늘,패시브,REFERENCE,NEW_ART,True,REFERENCE/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_F00.png,F00,6,256x256 RGBA,0.10,preview-only non-loop,SOURCE_SHEETS/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_SOURCE.png,"(0, 0, 256, 256)",RGBA,256x256,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
m_blue_flower_serpent,청화사,s_mon_blue_flower_serpent,청화 비늘,패시브,REFERENCE,NEW_ART,True,REFERENCE/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_F01.png,F01,6,256x256 RGBA,0.10,preview-only non-loop,SOURCE_SHEETS/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_SOURCE.png,"(256, 0, 512, 256)",RGBA,256x256,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
m_blue_flower_serpent,청화사,s_mon_blue_flower_serpent,청화 비늘,패시브,REFERENCE,NEW_ART,True,REFERENCE/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_F02.png,F02,6,256x256 RGBA,0.10,preview-only non-loop,SOURCE_SHEETS/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_SOURCE.png,"(512, 0, 768, 256)",RGBA,256x256,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
m_blue_flower_serpent,청화사,s_mon_blue_flower_serpent,청화 비늘,패시브,REFERENCE,NEW_ART,True,REFERENCE/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_F03.png,F03,6,256x256 RGBA,0.10,preview-only non-loop,SOURCE_SHEETS/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_SOURCE.png,"(0, 256, 256, 512)",RGBA,256x256,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
m_blue_flower_serpent,청화사,s_mon_blue_flower_serpent,청화 비늘,패시브,REFERENCE,NEW_ART,True,REFERENCE/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_F04.png,F04,6,256x256 RGBA,0.10,preview-only non-loop,SOURCE_SHEETS/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_SOURCE.png,"(256, 256, 512, 512)",RGBA,256x256,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
m_blue_flower_serpent,청화사,s_mon_blue_flower_serpent,청화 비늘,패시브,REFERENCE,NEW_ART,True,REFERENCE/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_F05.png,F05,6,256x256 RGBA,0.10,preview-only non-loop,SOURCE_SHEETS/004_m_blue_flower_serpent_s_mon_blue_flower_serpent_REFERENCE_SOURCE.png,"(512, 256, 768, 512)",RGBA,256x256,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
m_peach_monkey,원공,s_mon_peach_monkey,천도 투척,액티브,CAST,NEW_ART,True,CAST/003_m_peach_monkey_s_mon_peach_monkey_CAST_F00.png,F00,8,384x384 RGBA,0.10,non-loop one-shot,SOURCE_SHEETS/003_m_peach_monkey_s_mon_peach_monkey_CAST_SOURCE.png,"(0, 0, 384, 384)",RGBA,384x384,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
m_peach_monkey,원공,s_mon_peach_monkey,천도 투척,액티브,CAST,NEW_ART,True,CAST/003_m_peach_monkey_s_mon_peach_monkey_CAST_F01.png,F01,8,384x384 RGBA,0.10,non-loop one-shot,SOURCE_SHEETS/003_m_peach_monkey_s_mon_peach_monkey_CAST_SOURCE.png,"(384, 0, 768, 384)",RGBA,384x384,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
m_peach_monkey,원공,s_mon_peach_monkey,천도 투척,액티브,CAST,NEW_ART,True,CAST/003_m_peach_monkey_s_mon_peach_monkey_CAST_F02.png,F02,8,384x384 RGBA,0.10,non-loop one-shot,SOURCE_SHEETS/003_m_peach_monkey_s_mon_peach_monkey_CAST_SOURCE.png,"(768, 0, 1152, 384)",RGBA,384x384,PASS,PASS,VISUAL_PASS,VISUAL_PASS,PENDING
