work_order,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,output_files,frame_count,canvas,frame_seconds,total_seconds,playback_mode,source_sheet,split_coordinates,auto_validation,user_art_approval,notes
001,m_official_knight_c,정식기사 C,s_mon_official_knight_c,기사단 뇌전 연각,액티브,CAST_VFX,NEW_ART,true,CAST/001_m_official_knight_c_s_mon_official_knight_c_CAST_F00.png | CAST/001_m_official_knight_c_s_mon_official_knight_c_CAST_F01.png | CAST/001_m_official_knight_c_s_mon_official_knight_c_CAST_F02.png | CAST/001_m_official_knight_c_s_mon_official_knight_c_CAST_F03.png | CAST/001_m_official_knight_c_s_mon_official_knight_c_CAST_F04.png | CAST/001_m_official_knight_c_s_mon_official_knight_c_CAST_F05.png | CAST/001_m_official_knight_c_s_mon_official_knight_c_CAST_F06.png | CAST/001_m_official_knight_c_s_mon_official_knight_c_CAST_F07.png,8,384x384 RGBA,0.1,0.8,non-loop one-shot,SOURCE_SHEETS/001_m_official_knight_c_s_mon_official_knight_c_SOURCE_SHEET.png,"[[0, 0, 418, 418], [418, 0, 836, 418], [836, 0, 1254, 418], [0, 418, 418, 836], [418, 418, 836, 836], [836, 418, 1254, 836], [0, 836, 418, 1254], [418, 836, 836, 1254]]",PASS,PENDING,Generated from combined source sheet and split proportionally by grid.
001,m_official_knight_c,정식기사 C,s_mon_official_knight_c,기사단 뇌전 연각,액티브,ICON,NEW_ART,ui,ICON/001_m_official_knight_c_s_mon_official_knight_c_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/001_m_official_knight_c_s_mon_official_knight_c_SOURCE_SHEET.png,"[[836, 836, 1254, 1254]]",PASS,PENDING,Generated from combined source sheet and downscaled to 256x256.
002,m_official_knight_d,정식기사 D,s_mon_official_knight_d,기사단의 바람 조준,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/002_m_official_knight_d_s_mon_official_knight_d_REFERENCE_F00.png | REFERENCE/002_m_official_knight_d_s_mon_official_knight_d_REFERENCE_F01.png | REFERENCE/002_m_official_knight_d_s_mon_official_knight_d_REFERENCE_F02.png | REFERENCE/002_m_official_knight_d_s_mon_official_knight_d_REFERENCE_F03.png | REFERENCE/002_m_official_knight_d_s_mon_official_knight_d_REFERENCE_F04.png | REFERENCE/002_m_official_knight_d_s_mon_official_knight_d_REFERENCE_F05.png,6,256x256 RGBA,0.1,0.6,preview-only non-loop,SOURCE_SHEETS/002_m_official_knight_d_s_mon_official_knight_d_SOURCE_SHEET.png,"[[0, 0, 444, 444], [444, 0, 887, 444], [887, 0, 1330, 444], [1330, 0, 1774, 444], [0, 444, 444, 887], [444, 444, 887, 887]]",PASS,PENDING,Generated from combined source sheet and split proportionally by grid.
002,m_official_knight_d,정식기사 D,s_mon_official_knight_d,기사단의 바람 조준,패시브,ICON,NEW_ART,ui,ICON/002_m_official_knight_d_s_mon_official_knight_d_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/002_m_official_knight_d_s_mon_official_knight_d_SOURCE_SHEET.png,"[[887, 444, 1330, 887]]",PASS,PENDING,Generated from combined source sheet and downscaled to 256x256.
003,m_advanced_knight_a,상급기사 A,s_mon_advanced_knight_a,그림자 기사의 민첩,패시브,REFERENCE_VFX,NEW_ART,false,REFERENCE/003_m_advanced_knight_a_s_mon_advanced_knight_a_REFERENCE_F00.png | REFERENCE/003_m_advanced_knight_a_s_mon_advanced_knight_a_REFERENCE_F01.png | REFERENCE/003_m_advanced_knight_a_s_mon_advanced_knight_a_REFERENCE_F02.png | REFERENCE/003_m_advanced_knight_a_s_mon_advanced_knight_a_REFERENCE_F03.png | REFERENCE/003_m_advanced_knight_a_s_mon_advanced_knight_a_REFERENCE_F04.png | REFERENCE/003_m_advanced_knight_a_s_mon_advanced_knight_a_REFERENCE_F05.png,6,256x256 RGBA,0.1,0.6,preview-only non-loop,SOURCE_SHEETS/003_m_advanced_knight_a_s_mon_advanced_knight_a_SOURCE_SHEET.png,"[[0, 0, 444, 444], [444, 0, 887, 444], [887, 0, 1330, 444], [1330, 0, 1774, 444], [0, 444, 444, 887], [444, 444, 887, 887]]",PASS,PENDING,Generated from combined source sheet and split proportionally by grid.
003,m_advanced_knight_a,상급기사 A,s_mon_advanced_knight_a,그림자 기사의 민첩,패시브,ICON,NEW_ART,ui,ICON/003_m_advanced_knight_a_s_mon_advanced_knight_a_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/003_m_advanced_knight_a_s_mon_advanced_knight_a_SOURCE_SHEET.png,"[[887, 444, 1330, 887]]",PASS,PENDING,Generated from combined source sheet and downscaled to 256x256.
004,m_advanced_knight_b,상급기사 B,s_mon_advanced_knight_b,상급기사의 이프리트 화염,액티브,CAST_VFX,NEW_ART,true,CAST/004_m_advanced_knight_b_s_mon_advanced_knight_b_CAST_F00.png | CAST/004_m_advanced_knight_b_s_mon_advanced_knight_b_CAST_F01.png | CAST/004_m_advanced_knight_b_s_mon_advanced_knight_b_CAST_F02.png | CAST/004_m_advanced_knight_b_s_mon_advanced_knight_b_CAST_F03.png | CAST/004_m_advanced_knight_b_s_mon_advanced_knight_b_CAST_F04.png | CAST/004_m_advanced_knight_b_s_mon_advanced_knight_b_CAST_F05.png | CAST/004_m_advanced_knight_b_s_mon_advanced_knight_b_CAST_F06.png | CAST/004_m_advanced_knight_b_s_mon_advanced_knight_b_CAST_F07.png,8,384x384 RGBA,0.1,0.8,non-loop one-shot,SOURCE_SHEETS/004_m_advanced_knight_b_s_mon_advanced_knight_b_SOURCE_SHEET.png,"[[0, 0, 418, 418], [418, 0, 836, 418], [836, 0, 1254, 418], [0, 418, 418, 836], [418, 418, 836, 836], [836, 418, 1254, 836], [0, 836, 418, 1254], [418, 836, 836, 1254]]",PASS,PENDING,Generated from combined source sheet and split proportionally by grid.
004,m_advanced_knight_b,상급기사 B,s_mon_advanced_knight_b,상급기사의 이프리트 화염,액티브,ICON,NEW_ART,ui,ICON/004_m_advanced_knight_b_s_mon_advanced_knight_b_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/004_m_advanced_knight_b_s_mon_advanced_knight_b_SOURCE_SHEET.png,"[[836, 836, 1254, 1254]]",PASS,PENDING,Generated from combined source sheet and downscaled to 256x256.
005,m_cygnus,시그너스,s_mon_cygnus,타락한 여제의 정원,액티브,CAST_VFX,NEW_ART,true,CAST/005_m_cygnus_s_mon_cygnus_CAST_F00.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F01.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F02.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F03.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F04.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F05.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F06.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F07.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F08.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F09.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F10.png | CAST/005_m_cygnus_s_mon_cygnus_CAST_F11.png,12,512x512 RGBA,0.08,0.96,non-loop one-shot,SOURCE_SHEETS/005_m_cygnus_s_mon_cygnus_SOURCE_SHEET.png,"[[0, 0, 324, 324], [324, 0, 648, 324], [648, 0, 971, 324], [971, 0, 1295, 324], [1295, 0, 1619, 324], [0, 324, 324, 647], [324, 324, 648, 647], [648, 324, 971, 647], [971, 324, 1295, 647], [1295, 324, 1619, 647], [0, 647, 324, 971], [324, 647, 648, 971]]",PASS,PENDING,Generated from combined source sheet and split proportionally by grid.
005,m_cygnus,시그너스,s_mon_cygnus,타락한 여제의 정원,액티브,ICON,NEW_ART,ui,ICON/005_m_cygnus_s_mon_cygnus_ICON.png,1,256x256 RGBA,static,static,static,SOURCE_SHEETS/005_m_cygnus_s_mon_cygnus_SOURCE_SHEET.png,"[[648, 647, 971, 971]]",PASS,PENDING,Generated from combined source sheet and downscaled to 256x256.
