area_id,area_name,work_order,monster_id,monster_name,skill_id,skill_name,skill_type,role,production_decision,relative_path,frame_index,frame_count,width,height,frame_seconds,playback,runtime_use,source_sheet,split_box,validation,user_art_approval
area_13,니할 사막,001,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,액티브,ICON,NEW_ART,ICON/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_ICON.png,ICON,1,256,256,static,static,ui,,,PASS,PENDING
area_13,니할 사막,001,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,액티브,CAST_VFX,NEW_ART,CAST/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_F00.png,F00,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_SOURCE_SHEET.png,"[0, 0, 384, 384]",PASS,PENDING
area_13,니할 사막,001,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,액티브,CAST_VFX,NEW_ART,CAST/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_F01.png,F01,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_SOURCE_SHEET.png,"[384, 0, 768, 384]",PASS,PENDING
area_13,니할 사막,001,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,액티브,CAST_VFX,NEW_ART,CAST/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_F02.png,F02,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_SOURCE_SHEET.png,"[768, 0, 1152, 384]",PASS,PENDING
area_13,니할 사막,001,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,액티브,CAST_VFX,NEW_ART,CAST/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_F03.png,F03,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_SOURCE_SHEET.png,"[1152, 0, 1536, 384]",PASS,PENDING
area_13,니할 사막,001,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,액티브,CAST_VFX,NEW_ART,CAST/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_F04.png,F04,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_SOURCE_SHEET.png,"[0, 384, 384, 768]",PASS,PENDING
area_13,니할 사막,001,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,액티브,CAST_VFX,NEW_ART,CAST/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_F05.png,F05,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_SOURCE_SHEET.png,"[384, 384, 768, 768]",PASS,PENDING
area_13,니할 사막,001,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,액티브,CAST_VFX,NEW_ART,CAST/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_F06.png,F06,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_SOURCE_SHEET.png,"[768, 384, 1152, 768]",PASS,PENDING
area_13,니할 사막,001,m_white_sand_rabbit,흰 모래토끼,s_mon_white_sand_rabbit,사막 굴착탄,액티브,CAST_VFX,NEW_ART,CAST/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_F07.png,F07,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/001_m_white_sand_rabbit_s_mon_white_sand_rabbit_CAST_SOURCE_SHEET.png,"[1152, 384, 1536, 768]",PASS,PENDING
area_13,니할 사막,002,m_scarf_plead,목도리 프릴드,s_mon_scarf_plead,목도리의 사막감각,패시브,ICON,NEW_ART,ICON/002_m_scarf_plead_s_mon_scarf_plead_ICON.png,ICON,1,256,256,static,static,ui,,,PASS,PENDING
area_13,니할 사막,002,m_scarf_plead,목도리 프릴드,s_mon_scarf_plead,목도리의 사막감각,패시브,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_F00.png,F00,6,256,256,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_SOURCE_SHEET.png,"[0, 0, 256, 256]",PASS,PENDING
area_13,니할 사막,002,m_scarf_plead,목도리 프릴드,s_mon_scarf_plead,목도리의 사막감각,패시브,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_F01.png,F01,6,256,256,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_SOURCE_SHEET.png,"[256, 0, 512, 256]",PASS,PENDING
area_13,니할 사막,002,m_scarf_plead,목도리 프릴드,s_mon_scarf_plead,목도리의 사막감각,패시브,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_F02.png,F02,6,256,256,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_SOURCE_SHEET.png,"[512, 0, 768, 256]",PASS,PENDING
area_13,니할 사막,002,m_scarf_plead,목도리 프릴드,s_mon_scarf_plead,목도리의 사막감각,패시브,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_F03.png,F03,6,256,256,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_SOURCE_SHEET.png,"[0, 256, 256, 512]",PASS,PENDING
area_13,니할 사막,002,m_scarf_plead,목도리 프릴드,s_mon_scarf_plead,목도리의 사막감각,패시브,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_F04.png,F04,6,256,256,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_SOURCE_SHEET.png,"[256, 256, 512, 512]",PASS,PENDING
area_13,니할 사막,002,m_scarf_plead,목도리 프릴드,s_mon_scarf_plead,목도리의 사막감각,패시브,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_F05.png,F05,6,256,256,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_scarf_plead_s_mon_scarf_plead_REFERENCE_SOURCE_SHEET.png,"[512, 256, 768, 512]",PASS,PENDING
area_13,니할 사막,003,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,액티브,ICON,NEW_ART,ICON/003_m_meercat_s_mon_meercat_ICON.png,ICON,1,256,256,static,static,ui,,,PASS,PENDING
area_13,니할 사막,003,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,액티브,CAST_VFX,NEW_ART,CAST/003_m_meercat_s_mon_meercat_CAST_F00.png,F00,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/003_m_meercat_s_mon_meercat_CAST_SOURCE_SHEET.png,"[0, 0, 384, 384]",PASS,PENDING
area_13,니할 사막,003,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,액티브,CAST_VFX,NEW_ART,CAST/003_m_meercat_s_mon_meercat_CAST_F01.png,F01,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/003_m_meercat_s_mon_meercat_CAST_SOURCE_SHEET.png,"[384, 0, 768, 384]",PASS,PENDING
area_13,니할 사막,003,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,액티브,CAST_VFX,NEW_ART,CAST/003_m_meercat_s_mon_meercat_CAST_F02.png,F02,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/003_m_meercat_s_mon_meercat_CAST_SOURCE_SHEET.png,"[768, 0, 1152, 384]",PASS,PENDING
area_13,니할 사막,003,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,액티브,CAST_VFX,NEW_ART,CAST/003_m_meercat_s_mon_meercat_CAST_F03.png,F03,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/003_m_meercat_s_mon_meercat_CAST_SOURCE_SHEET.png,"[1152, 0, 1536, 384]",PASS,PENDING
area_13,니할 사막,003,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,액티브,CAST_VFX,NEW_ART,CAST/003_m_meercat_s_mon_meercat_CAST_F04.png,F04,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/003_m_meercat_s_mon_meercat_CAST_SOURCE_SHEET.png,"[0, 384, 384, 768]",PASS,PENDING
area_13,니할 사막,003,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,액티브,CAST_VFX,NEW_ART,CAST/003_m_meercat_s_mon_meercat_CAST_F05.png,F05,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/003_m_meercat_s_mon_meercat_CAST_SOURCE_SHEET.png,"[384, 384, 768, 768]",PASS,PENDING
area_13,니할 사막,003,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,액티브,CAST_VFX,NEW_ART,CAST/003_m_meercat_s_mon_meercat_CAST_F06.png,F06,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/003_m_meercat_s_mon_meercat_CAST_SOURCE_SHEET.png,"[768, 384, 1152, 768]",PASS,PENDING
area_13,니할 사막,003,m_meercat,미요캐츠,s_mon_meercat,미요캐츠의 모래매복,액티브,CAST_VFX,NEW_ART,CAST/003_m_meercat_s_mon_meercat_CAST_F07.png,F07,8,384,384,0.10,non-loop one-shot,true,SOURCE_SHEETS/003_m_meercat_s_mon_meercat_CAST_SOURCE_SHEET.png,"[1152, 384, 1536, 768]",PASS,PENDING
area_13,니할 사막,004,m_sand_dwarf,모래난쟁이,s_mon_sand_dwarf,사막 대장장이의 체력,패시브,ICON,NEW_ART,ICON/004_m_sand_dwarf_s_mon_sand_dwarf_ICON.png,ICON,1,256,256,static,static,ui,,,PASS,PENDING
area_13,니할 사막,004,m_sand_dwarf,모래난쟁이,s_mon_sand_dwarf,사막 대장장이의 체력,패시브,REFERENCE_VFX,NEW_ART,REFERENCE/004_m_sand_dwarf_s_mon_sand_dwarf_REFERENCE_F00.png,F00,6,256,256,0.10,preview-only non-loop,false,SOURCE_SHEETS/004_m_sand_dwarf_s_mon_sand_dwarf_REFERENCE_SOURCE_SHEET.png,"[0, 0, 256, 256]",PASS,PENDING
area_13,니할 사막,004,m_sand_dwarf,모래난쟁이,s_mon_sand_dwarf,사막 대장장이의 체력,패시브,REFERENCE_VFX,NEW_ART,REFERENCE/004_m_sand_dwarf_s_mon_sand_dwarf_REFERENCE_F01.png,F01,6,256,256,0.10,preview-only non-loop,false,SOURCE_SHEETS/004_m_sand_dwarf_s_mon_sand_dwarf_REFERENCE_SOURCE_SHEET.png,"[256, 0, 512, 256]",PASS,PENDING
area_13,니할 사막,004,m_sand_dwarf,모래난쟁이,s_mon_sand_dwarf,사막 대장장이의 체력,패시브,REFERENCE_VFX,NEW_ART,REFERENCE/004_m_sand_dwarf_s_mon_sand_dwarf_REFERENCE_F02.png,F02,6,256,256,0.10,preview-only non-loop,false,SOURCE_SHEETS/004_m_sand_dwarf_s_mon_sand_dwarf_REFERENCE_SOURCE_SHEET.png,"[512, 0, 768, 256]",PASS,PENDING
