area_id,area_name,monster_order,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,relative_file_path,frame_index,width,height,mode,alpha_min,alpha_max,nonzero_alpha_pixels,playback_mode,frame_seconds,source_type,source_monster_image,user_art_approval,sha256
area_16,미나르숲,1,m_harp,하프,s_mon_harp,하늘 둥지의 날갯결,패시브,ICON,NEW_ART,ui,ICON/001_m_harp_s_mon_harp_ICON.png,0,256,256,RGBA,0,255,44490,static,static,generated_source_sheet_split,monsters/001_m_harp_하프/MONSTER_IMAGE.png,PENDING,7b20fbc2b41b839d6c2a73da318f3ece4c6a72d917c04d04858f005399dae89b
area_16,미나르숲,1,m_harp,하프,s_mon_harp,하늘 둥지의 날갯결,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_harp_s_mon_harp_REFERENCE_F00.png,0,256,256,RGBA,0,255,14054,preview-only non-loop,0.10,generated_source_sheet_split,monsters/001_m_harp_하프/MONSTER_IMAGE.png,PENDING,a4b74ad36d59edd739027c8eb79333a734634c7700d9961c5fdd3e8870ff9fd5
area_16,미나르숲,1,m_harp,하프,s_mon_harp,하늘 둥지의 날갯결,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_harp_s_mon_harp_REFERENCE_F01.png,1,256,256,RGBA,0,255,20206,preview-only non-loop,0.10,generated_source_sheet_split,monsters/001_m_harp_하프/MONSTER_IMAGE.png,PENDING,f0a5c22b0c616af2be0278ca50024ec8336ed01645ed73a4e927fde0fe9c38ad
area_16,미나르숲,1,m_harp,하프,s_mon_harp,하늘 둥지의 날갯결,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_harp_s_mon_harp_REFERENCE_F02.png,2,256,256,RGBA,0,255,30134,preview-only non-loop,0.10,generated_source_sheet_split,monsters/001_m_harp_하프/MONSTER_IMAGE.png,PENDING,50db79c0f37a927f80503be37b49c0cd47e37b2fb857d32162dac235933aaf99
area_16,미나르숲,1,m_harp,하프,s_mon_harp,하늘 둥지의 날갯결,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_harp_s_mon_harp_REFERENCE_F03.png,3,256,256,RGBA,0,255,23405,preview-only non-loop,0.10,generated_source_sheet_split,monsters/001_m_harp_하프/MONSTER_IMAGE.png,PENDING,f0cf2cb244a12d87954296555edeabef7c8073bbcac811e8fddb06f5017ebcfd
area_16,미나르숲,1,m_harp,하프,s_mon_harp,하늘 둥지의 날갯결,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_harp_s_mon_harp_REFERENCE_F04.png,4,256,256,RGBA,0,255,18854,preview-only non-loop,0.10,generated_source_sheet_split,monsters/001_m_harp_하프/MONSTER_IMAGE.png,PENDING,e59732adc1080f75ae53ba6ce0363ad462eda727d7d8963a5ae44957effcd079
area_16,미나르숲,1,m_harp,하프,s_mon_harp,하늘 둥지의 날갯결,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_harp_s_mon_harp_REFERENCE_F05.png,5,256,256,RGBA,0,255,15523,preview-only non-loop,0.10,generated_source_sheet_split,monsters/001_m_harp_하프/MONSTER_IMAGE.png,PENDING,7cd6dbb381c4170880529af745efaf7e5558a895c23a09d316ba511f0ad89072
area_16,미나르숲,2,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,액티브,ICON,NEW_ART,ui,ICON/002_m_blood_harp_s_mon_blood_harp_ICON.png,0,256,256,RGBA,0,255,43006,static,static,generated_source_sheet_split,monsters/002_m_blood_harp_블러드_하프/MONSTER_IMAGE.png,PENDING,f65f6a57d2f99ad5f36df111e619c567dfcc9cf008f28f229ccefaf47b4a76fa
area_16,미나르숲,2,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,액티브,CAST,NEW_ART,true,CAST/002_m_blood_harp_s_mon_blood_harp_CAST_F00.png,0,384,384,RGBA,0,253,23261,non-loop one-shot,0.10,generated_source_sheet_split,monsters/002_m_blood_harp_블러드_하프/MONSTER_IMAGE.png,PENDING,563d8f7ebb971ef2c84c3e50e04673aebb352905ddbc9962edf9e2404938e729
area_16,미나르숲,2,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,액티브,CAST,NEW_ART,true,CAST/002_m_blood_harp_s_mon_blood_harp_CAST_F01.png,1,384,384,RGBA,0,254,53442,non-loop one-shot,0.10,generated_source_sheet_split,monsters/002_m_blood_harp_블러드_하프/MONSTER_IMAGE.png,PENDING,4f9b142aff8ab46b22d5b209625233e8da8821351720d77e4915241b4f92d82f
area_16,미나르숲,2,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,액티브,CAST,NEW_ART,true,CAST/002_m_blood_harp_s_mon_blood_harp_CAST_F02.png,2,384,384,RGBA,0,253,68820,non-loop one-shot,0.10,generated_source_sheet_split,monsters/002_m_blood_harp_블러드_하프/MONSTER_IMAGE.png,PENDING,60353851b5a8184d00a573d3eb2eeb51c2039b43887221597e8a4a2c4da8accc
area_16,미나르숲,2,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,액티브,CAST,NEW_ART,true,CAST/002_m_blood_harp_s_mon_blood_harp_CAST_F03.png,3,384,384,RGBA,0,253,100495,non-loop one-shot,0.10,generated_source_sheet_split,monsters/002_m_blood_harp_블러드_하프/MONSTER_IMAGE.png,PENDING,dfad8711001336b8d884d18dde892b1e8cdca5c11c289b4ef1694dba0e9c9353
area_16,미나르숲,2,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,액티브,CAST,NEW_ART,true,CAST/002_m_blood_harp_s_mon_blood_harp_CAST_F04.png,4,384,384,RGBA,0,253,110154,non-loop one-shot,0.10,generated_source_sheet_split,monsters/002_m_blood_harp_블러드_하프/MONSTER_IMAGE.png,PENDING,eedd087cebd262913834e0d41064d55c1b90f27126a4d2172663b6dd596ee05a
area_16,미나르숲,2,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,액티브,CAST,NEW_ART,true,CAST/002_m_blood_harp_s_mon_blood_harp_CAST_F05.png,5,384,384,RGBA,0,253,103184,non-loop one-shot,0.10,generated_source_sheet_split,monsters/002_m_blood_harp_블러드_하프/MONSTER_IMAGE.png,PENDING,27ed10ecd935828c51a88df016bbc86852fa5bc0994749db434a9b5f2fe1016a
area_16,미나르숲,2,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,액티브,CAST,NEW_ART,true,CAST/002_m_blood_harp_s_mon_blood_harp_CAST_F06.png,6,384,384,RGBA,0,253,91734,non-loop one-shot,0.10,generated_source_sheet_split,monsters/002_m_blood_harp_블러드_하프/MONSTER_IMAGE.png,PENDING,7f9c0801b92c7775b9455f02829d9c56bb0e63568b5cf2175529192c5df6e0e5
area_16,미나르숲,2,m_blood_harp,블러드 하프,s_mon_blood_harp,핏빛 깃울림,액티브,CAST,NEW_ART,true,CAST/002_m_blood_harp_s_mon_blood_harp_CAST_F07.png,7,384,384,RGBA,0,252,61561,non-loop one-shot,0.10,generated_source_sheet_split,monsters/002_m_blood_harp_블러드_하프/MONSTER_IMAGE.png,PENDING,ab4ea37523fc0ab2fb0ffd2900a80079a4ce4e020a9d662bbab62a2754c73023
area_16,미나르숲,3,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,액티브,ICON,NEW_ART,ui,ICON/003_m_blue_wyvern_s_mon_blue_wyvern_ICON.png,0,256,256,RGBA,0,255,45570,static,static,generated_source_sheet_split,monsters/003_m_blue_wyvern_블루_와이번/MONSTER_IMAGE.png,PENDING,021f6b4b500ac3e886370546180235e14ba6727ffcd52e46193f5c7f1c348730
area_16,미나르숲,3,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,액티브,CAST,NEW_ART,true,CAST/003_m_blue_wyvern_s_mon_blue_wyvern_CAST_F00.png,0,384,384,RGBA,0,252,31328,non-loop one-shot,0.10,generated_source_sheet_split,monsters/003_m_blue_wyvern_블루_와이번/MONSTER_IMAGE.png,PENDING,fee1c2272f74e7a7188f182a10793b9d1f42e48281d1e15427c1dd1e2477788b
area_16,미나르숲,3,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,액티브,CAST,NEW_ART,true,CAST/003_m_blue_wyvern_s_mon_blue_wyvern_CAST_F01.png,1,384,384,RGBA,0,255,56425,non-loop one-shot,0.10,generated_source_sheet_split,monsters/003_m_blue_wyvern_블루_와이번/MONSTER_IMAGE.png,PENDING,b4548788abf4547280d6c2038b8bbb0c27d4cad2a662d429ae0460dc186c3c83
area_16,미나르숲,3,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,액티브,CAST,NEW_ART,true,CAST/003_m_blue_wyvern_s_mon_blue_wyvern_CAST_F02.png,2,384,384,RGBA,0,255,72839,non-loop one-shot,0.10,generated_source_sheet_split,monsters/003_m_blue_wyvern_블루_와이번/MONSTER_IMAGE.png,PENDING,a80067c70e579ff3dd7cc313b928d9fa212616ba35c832729825702342dea4a9
area_16,미나르숲,3,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,액티브,CAST,NEW_ART,true,CAST/003_m_blue_wyvern_s_mon_blue_wyvern_CAST_F03.png,3,384,384,RGBA,0,255,89975,non-loop one-shot,0.10,generated_source_sheet_split,monsters/003_m_blue_wyvern_블루_와이번/MONSTER_IMAGE.png,PENDING,8de09e2594db71c3afd657c2354b0f8b3ebe7e0089def40d7f916f02160e8970
area_16,미나르숲,3,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,액티브,CAST,NEW_ART,true,CAST/003_m_blue_wyvern_s_mon_blue_wyvern_CAST_F04.png,4,384,384,RGBA,0,255,107587,non-loop one-shot,0.10,generated_source_sheet_split,monsters/003_m_blue_wyvern_블루_와이번/MONSTER_IMAGE.png,PENDING,a241ab35013190a69098001fd5ff22428522dd1b214839d5b4614dcd8e72135b
area_16,미나르숲,3,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,액티브,CAST,NEW_ART,true,CAST/003_m_blue_wyvern_s_mon_blue_wyvern_CAST_F05.png,5,384,384,RGBA,0,255,92888,non-loop one-shot,0.10,generated_source_sheet_split,monsters/003_m_blue_wyvern_블루_와이번/MONSTER_IMAGE.png,PENDING,8a7949ce75b9f7bd144d78593584bffa9473443c5e067a0d5772d697053e129d
area_16,미나르숲,3,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,액티브,CAST,NEW_ART,true,CAST/003_m_blue_wyvern_s_mon_blue_wyvern_CAST_F06.png,6,384,384,RGBA,0,255,74756,non-loop one-shot,0.10,generated_source_sheet_split,monsters/003_m_blue_wyvern_블루_와이번/MONSTER_IMAGE.png,PENDING,f3b6f5ab3578a26ca9285da840441301156acfbb897698b94c22056c2d4e8260
area_16,미나르숲,3,m_blue_wyvern,블루 와이번,s_mon_blue_wyvern,빙룡 숨결,액티브,CAST,NEW_ART,true,CAST/003_m_blue_wyvern_s_mon_blue_wyvern_CAST_F07.png,7,384,384,RGBA,0,252,59445,non-loop one-shot,0.10,generated_source_sheet_split,monsters/003_m_blue_wyvern_블루_와이번/MONSTER_IMAGE.png,PENDING,bf35326f94c3a18eaf3b715f857f52e37d1780adf2d6c0420787ca71a7906f0e
area_16,미나르숲,4,m_dark_wyvern,다크 와이번,s_mon_dark_wyvern,검은 비늘의 근력,패시브,ICON,NEW_ART,ui,ICON/004_m_dark_wyvern_s_mon_dark_wyvern_ICON.png,0,256,256,RGBA,0,255,42103,static,static,generated_source_sheet_split,monsters/004_m_dark_wyvern_다크_와이번/MONSTER_IMAGE.png,PENDING,f24e5b091b998e63d2ab8c436e02c12d86023e02cf11fedaed5843086707a7f0
area_16,미나르숲,4,m_dark_wyvern,다크 와이번,s_mon_dark_wyvern,검은 비늘의 근력,패시브,REFERENCE,NEW_ART,false,REFERENCE/004_m_dark_wyvern_s_mon_dark_wyvern_REFERENCE_F00.png,0,256,256,RGBA,0,255,11142,preview-only non-loop,0.10,generated_source_sheet_split,monsters/004_m_dark_wyvern_다크_와이번/MONSTER_IMAGE.png,PENDING,4ceba203b5b64577447c433d0319ae3256115f268416c5e1b852c596d9fbf82b
area_16,미나르숲,4,m_dark_wyvern,다크 와이번,s_mon_dark_wyvern,검은 비늘의 근력,패시브,REFERENCE,NEW_ART,false,REFERENCE/004_m_dark_wyvern_s_mon_dark_wyvern_REFERENCE_F01.png,1,256,256,RGBA,0,255,18295,preview-only non-loop,0.10,generated_source_sheet_split,monsters/004_m_dark_wyvern_다크_와이번/MONSTER_IMAGE.png,PENDING,e1e734db5bc7546bb67d652efe511e905f18314caf021a275d7a5325ac8e7d5b
area_16,미나르숲,4,m_dark_wyvern,다크 와이번,s_mon_dark_wyvern,검은 비늘의 근력,패시브,REFERENCE,NEW_ART,false,REFERENCE/004_m_dark_wyvern_s_mon_dark_wyvern_REFERENCE_F02.png,2,256,256,RGBA,0,255,29531,preview-only non-loop,0.10,generated_source_sheet_split,monsters/004_m_dark_wyvern_다크_와이번/MONSTER_IMAGE.png,PENDING,6b2e15e6391364c3e6702d6fb089f39d48f49b150c8356b3e36a6481f28c81a9
area_16,미나르숲,4,m_dark_wyvern,다크 와이번,s_mon_dark_wyvern,검은 비늘의 근력,패시브,REFERENCE,NEW_ART,false,REFERENCE/004_m_dark_wyvern_s_mon_dark_wyvern_REFERENCE_F03.png,3,256,256,RGBA,0,255,30178,preview-only non-loop,0.10,generated_source_sheet_split,monsters/004_m_dark_wyvern_다크_와이번/MONSTER_IMAGE.png,PENDING,c0488e68c26bc32f976813338dc7844688d2b6505e70821513fd9438ef83d39c
area_16,미나르숲,4,m_dark_wyvern,다크 와이번,s_mon_dark_wyvern,검은 비늘의 근력,패시브,REFERENCE,NEW_ART,false,REFERENCE/004_m_dark_wyvern_s_mon_dark_wyvern_REFERENCE_F04.png,4,256,256,RGBA,0,255,20526,preview-only non-loop,0.10,generated_source_sheet_split,monsters/004_m_dark_wyvern_다크_와이번/MONSTER_IMAGE.png,PENDING,12d4ed7fe046c873d92743e47cc9c1d5b20ef08fb690e0a7b65d4e5dba69963f
