work_order,monster_id,monster_name,skill_id,skill_name,skill_type,effect_role,production_decision,runtime_use,file_rel_path,frame_index,frame_count,canvas,frame_seconds,total_seconds,playback_mode,alpha_extrema,transparent_pixels,nonzero_alpha_pixels,sha256,source_sheet_rel_path,split_box,inspection_mode,approval_status
001,m_mutant_dark_stump,변형된 다크 스텀프,s_mon_mutant_dark_stump,뒤틀린 고목의 껍질,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_F00.png,0,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",50809,14727,5f72302560ed427ccf33d4317fffff8f24cd337e508acc6010e32bbf6a098ff0,SOURCE_SHEETS/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_SOURCE_SHEET.png,"(0, 0, 512, 512)",AUTO+VISUAL,PENDING
001,m_mutant_dark_stump,변형된 다크 스텀프,s_mon_mutant_dark_stump,뒤틀린 고목의 껍질,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_F01.png,1,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",48394,17142,3eb5a7950b0526c0ffe8b64565e018af10c0b60bd8600beb465ed0738a60ce98,SOURCE_SHEETS/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_SOURCE_SHEET.png,"(512, 0, 1024, 512)",AUTO+VISUAL,PENDING
001,m_mutant_dark_stump,변형된 다크 스텀프,s_mon_mutant_dark_stump,뒤틀린 고목의 껍질,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_F02.png,2,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",47864,17672,dd842a1c3360ea73983dcfa5f5f10085e4377750056eb52dd467f9e65fe8b924,SOURCE_SHEETS/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_SOURCE_SHEET.png,"(1024, 0, 1536, 512)",AUTO+VISUAL,PENDING
001,m_mutant_dark_stump,변형된 다크 스텀프,s_mon_mutant_dark_stump,뒤틀린 고목의 껍질,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_F03.png,3,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",49416,16120,9f336566107999f34bd9782da9acfce1b0ef1d0a4e0fad6cd9dc48969588babd,SOURCE_SHEETS/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_SOURCE_SHEET.png,"(0, 512, 512, 1024)",AUTO+VISUAL,PENDING
001,m_mutant_dark_stump,변형된 다크 스텀프,s_mon_mutant_dark_stump,뒤틀린 고목의 껍질,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_F04.png,4,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",52633,12903,47a9f347d94fa27627f48efbf791e7e6b7b006b6252cd0051ae6b75211a21fd8,SOURCE_SHEETS/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_SOURCE_SHEET.png,"(512, 512, 1024, 1024)",AUTO+VISUAL,PENDING
001,m_mutant_dark_stump,변형된 다크 스텀프,s_mon_mutant_dark_stump,뒤틀린 고목의 껍질,패시브,REFERENCE,NEW_ART,false,REFERENCE/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_F05.png,5,6,256x256 RGBA,0.10,0.60,preview-only non-loop,"(0, 255)",55926,9610,e9eab114ddd09753b7f5956dd8b7814c7f22ed20e2fdf02aaab3fc2e478c9c20,SOURCE_SHEETS/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_REFERENCE_SOURCE_SHEET.png,"(1024, 512, 1536, 1024)",AUTO+VISUAL,PENDING
001,m_mutant_dark_stump,변형된 다크 스텀프,s_mon_mutant_dark_stump,뒤틀린 고목의 껍질,패시브,ICON,NEW_ART,ui,ICON/001_m_mutant_dark_stump_s_mon_mutant_dark_stump_ICON.png,static,1,256x256 RGBA,static,static,static,"(0, 255)",34564,30972,564d3c330e1483eae519ca463bf93b3c9846f212d2a6780be5ef6a6ec92ebe08,n/a,n/a,AUTO+VISUAL,PENDING
002,m_mutant_iron_hog,변형된 아이언호그,s_mon_mutant_iron_hog,황야의 철갑 돌진,액티브,CAST,NEW_ART,true,CAST/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_F00.png,0,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",96820,50636,4a3bf79b822071b736c7677e51682d280769fa1f9cecf21aaeb7f2225624d365,SOURCE_SHEETS/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_SOURCE_SHEET.png,"(0, 0, 444, 444)",AUTO+VISUAL,PENDING
002,m_mutant_iron_hog,변형된 아이언호그,s_mon_mutant_iron_hog,황야의 철갑 돌진,액티브,CAST,NEW_ART,true,CAST/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_F01.png,1,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",71001,76455,16f863d454b7a07d4d653ed95881991d41109e239f7bf90e2f797eb4b8fb44bd,SOURCE_SHEETS/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_SOURCE_SHEET.png,"(444, 0, 887, 444)",AUTO+VISUAL,PENDING
002,m_mutant_iron_hog,변형된 아이언호그,s_mon_mutant_iron_hog,황야의 철갑 돌진,액티브,CAST,NEW_ART,true,CAST/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_F02.png,2,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",55524,91932,1c2183d13f74f3cab379633219f3d77efd8cb8c7259e79885bd18d61fe732d7b,SOURCE_SHEETS/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_SOURCE_SHEET.png,"(887, 0, 1330, 444)",AUTO+VISUAL,PENDING
002,m_mutant_iron_hog,변형된 아이언호그,s_mon_mutant_iron_hog,황야의 철갑 돌진,액티브,CAST,NEW_ART,true,CAST/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_F03.png,3,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",72217,75239,cf9d5ca05b7aee012c11d2033f81e79f5e886da08f277bced7aebd345ac28428,SOURCE_SHEETS/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_SOURCE_SHEET.png,"(1330, 0, 1774, 444)",AUTO+VISUAL,PENDING
002,m_mutant_iron_hog,변형된 아이언호그,s_mon_mutant_iron_hog,황야의 철갑 돌진,액티브,CAST,NEW_ART,true,CAST/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_F04.png,4,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",67852,79604,87a3bc4e14b00b203bbe3677dbeab523bc52b9cf301385e986caa2b0162d0bcd,SOURCE_SHEETS/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_SOURCE_SHEET.png,"(0, 444, 444, 887)",AUTO+VISUAL,PENDING
002,m_mutant_iron_hog,변형된 아이언호그,s_mon_mutant_iron_hog,황야의 철갑 돌진,액티브,CAST,NEW_ART,true,CAST/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_F05.png,5,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",77449,70007,59e2559ea1a8b19fe9b2e48f054543497dc941361855c67a32528c84379b05c5,SOURCE_SHEETS/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_SOURCE_SHEET.png,"(444, 444, 887, 887)",AUTO+VISUAL,PENDING
002,m_mutant_iron_hog,변형된 아이언호그,s_mon_mutant_iron_hog,황야의 철갑 돌진,액티브,CAST,NEW_ART,true,CAST/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_F06.png,6,8,384x384 RGBA,0.10,0.80,non-loop one-shot,"(0, 255)",78680,68776,b1c7717049e6d15ea2aee7c49b5ccd7afbde2a8926522f0504c52cdb695dd30c,SOURCE_SHEETS/002_m_mutant_iron_hog_s_mon_mutant_iron_hog_CAST_SOURCE_SHEET.png,"(887, 444, 1330, 887)",AUTO+VISUAL,PENDING
