area_id,monster_id,monster_name,skill_id,skill_name,effect_role,production_decision,runtime_use,relative_path,frame_index,frame_count,canvas,frame_seconds,playback,source_monster_image,source_generated_sheet,split_coord,mode,alpha_bbox,visible_pixels,auto_validation,user_art_approval,notes
area_08,m_star_pixie,스타픽시,s_mon_star_pixie,별빛 탄환,ICON,NEW_ART,ui,ICON/001_m_star_pixie_s_mon_star_pixie_ICON.png,ICON,1,256x256,static,static,area08_input/ascii_refs2/m_star_pixie.png,SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,"(0, 0, 512, 512)",RGBA,"(0, 10, 256, 251)",37707,PASS,PENDING,Icon generated from shared icon sheet.
area_08,m_jr_cellion,주니어 샐리온,s_mon_jr_cellion,붉은 뿔의 기백,ICON,NEW_ART,ui,ICON/002_m_jr_cellion_s_mon_jr_cellion_ICON.png,ICON,1,256x256,static,static,area08_input/ascii_refs2/m_jr_cellion.png,SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,"(512, 0, 1024, 512)",RGBA,"(0, 5, 256, 256)",45264,PASS,PENDING,Icon generated from shared icon sheet.
area_08,m_lunar_pixie,루나픽시,s_mon_lunar_pixie,월광 구슬,ICON,NEW_ART,ui,ICON/003_m_lunar_pixie_s_mon_lunar_pixie_ICON.png,ICON,1,256x256,static,static,area08_input/ascii_refs2/m_lunar_pixie.png,SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,"(1024, 0, 1536, 512)",RGBA,"(0, 16, 256, 254)",44432,PASS,PENDING,Icon generated from shared icon sheet.
area_08,m_luster_pixie,러스터픽시,s_mon_luster_pixie,태양빛 잔상,ICON,NEW_ART,ui,ICON/004_m_luster_pixie_s_mon_luster_pixie_ICON.png,ICON,1,256x256,static,static,area08_input/ascii_refs2/m_luster_pixie.png,SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,"(0, 512, 512, 1024)",RGBA,"(0, 0, 256, 256)",52305,PASS,PENDING,Icon generated from shared icon sheet.
area_08,m_eliza,엘리쟈,s_mon_eliza,여신의 정원 폭풍,ICON,NEW_ART,ui,ICON/005_m_eliza_s_mon_eliza_ICON.png,ICON,1,256x256,static,static,area08_input/ascii_refs2/m_eliza.png,SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,"(512, 512, 1024, 1024)",RGBA,"(0, 0, 256, 251)",52111,PASS,PENDING,Icon generated from shared icon sheet.
area_08,m_star_pixie,스타픽시,s_mon_star_pixie,별빛 탄환,CAST_VFX,NEW_ART,true,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F00.png,F00,8,384x384,0.10,non-loop one-shot,area08_input/ascii_refs2/m_star_pixie.png,SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,"(0, 0, 444, 444)",RGBA,"(0, 15, 384, 384)",10500,PASS,PENDING,New art generated and split from source sheet.
area_08,m_star_pixie,스타픽시,s_mon_star_pixie,별빛 탄환,CAST_VFX,NEW_ART,true,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F01.png,F01,8,384x384,0.10,non-loop one-shot,area08_input/ascii_refs2/m_star_pixie.png,SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,"(444, 0, 887, 444)",RGBA,"(0, 11, 384, 384)",39509,PASS,PENDING,New art generated and split from source sheet.
area_08,m_star_pixie,스타픽시,s_mon_star_pixie,별빛 탄환,CAST_VFX,NEW_ART,true,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F02.png,F02,8,384x384,0.10,non-loop one-shot,area08_input/ascii_refs2/m_star_pixie.png,SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,"(887, 0, 1330, 444)",RGBA,"(0, 9, 384, 384)",59186,PASS,PENDING,New art generated and split from source sheet.
area_08,m_star_pixie,스타픽시,s_mon_star_pixie,별빛 탄환,CAST_VFX,NEW_ART,true,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F03.png,F03,8,384x384,0.10,non-loop one-shot,area08_input/ascii_refs2/m_star_pixie.png,SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,"(1330, 0, 1774, 444)",RGBA,"(0, 15, 372, 384)",56880,PASS,PENDING,New art generated and split from source sheet.
area_08,m_star_pixie,스타픽시,s_mon_star_pixie,별빛 탄환,CAST_VFX,NEW_ART,true,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F04.png,F04,8,384x384,0.10,non-loop one-shot,area08_input/ascii_refs2/m_star_pixie.png,SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,"(0, 444, 444, 887)",RGBA,"(13, 0, 384, 384)",75097,PASS,PENDING,New art generated and split from source sheet.
