area_id,monster_id,monster_name,skill_id,skill_name,effect_role,production_decision,approval_status,relative_path,frame_index,frame_count,canvas,frame_seconds,playback_mode,runtime_use,source_sheet,split_box,source_monster_image,source_provenance,preview_path
area_10,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,ICON,NEW_ART,PENDING,ICON/001_m_bubble_fish_s_mon_bubble_fish_ICON.png,0,1,256x256 RGBA,static,static,true,SOURCE_SHEETS/001_m_bubble_fish_sheet.png,"(0, 0, 444, 444)",monsters/001.../MONSTER_IMAGE.png,monsters/001.../SOURCE_PROVENANCE.md,PREVIEW/001_m_bubble_fish/labeled_preview.png
area_10,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,REFERENCE,NEW_ART,PENDING,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F00.png,0,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/001_m_bubble_fish_sheet.png,"(444, 0, 887, 444)",monsters/001.../MONSTER_IMAGE.png,monsters/001.../SOURCE_PROVENANCE.md,PREVIEW/001_m_bubble_fish/labeled_preview.png
area_10,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,REFERENCE,NEW_ART,PENDING,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F01.png,1,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/001_m_bubble_fish_sheet.png,"(887, 0, 1330, 444)",monsters/001.../MONSTER_IMAGE.png,monsters/001.../SOURCE_PROVENANCE.md,PREVIEW/001_m_bubble_fish/labeled_preview.png
area_10,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,REFERENCE,NEW_ART,PENDING,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F02.png,2,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/001_m_bubble_fish_sheet.png,"(1330, 0, 1774, 444)",monsters/001.../MONSTER_IMAGE.png,monsters/001.../SOURCE_PROVENANCE.md,PREVIEW/001_m_bubble_fish/labeled_preview.png
area_10,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,REFERENCE,NEW_ART,PENDING,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F03.png,3,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/001_m_bubble_fish_sheet.png,"(0, 444, 444, 887)",monsters/001.../MONSTER_IMAGE.png,monsters/001.../SOURCE_PROVENANCE.md,PREVIEW/001_m_bubble_fish/labeled_preview.png
area_10,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,REFERENCE,NEW_ART,PENDING,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F04.png,4,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/001_m_bubble_fish_sheet.png,"(444, 444, 887, 887)",monsters/001.../MONSTER_IMAGE.png,monsters/001.../SOURCE_PROVENANCE.md,PREVIEW/001_m_bubble_fish/labeled_preview.png
area_10,m_bubble_fish,버블피쉬,s_mon_bubble_fish,기포막,REFERENCE,NEW_ART,PENDING,REFERENCE/001_m_bubble_fish_s_mon_bubble_fish_REFERENCE_F05.png,5,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/001_m_bubble_fish_sheet.png,"(887, 444, 1330, 887)",monsters/001.../MONSTER_IMAGE.png,monsters/001.../SOURCE_PROVENANCE.md,PREVIEW/001_m_bubble_fish/labeled_preview.png
area_10,m_mask_fish,마스크피쉬,s_mon_mask_fish,가면 아래의 감각,ICON,NEW_ART,PENDING,ICON/002_m_mask_fish_s_mon_mask_fish_ICON.png,0,1,256x256 RGBA,static,static,true,SOURCE_SHEETS/002_m_mask_fish_sheet.png,"(0, 0, 444, 444)",monsters/002.../MONSTER_IMAGE.png,monsters/002.../SOURCE_PROVENANCE.md,PREVIEW/002_m_mask_fish/labeled_preview.png
area_10,m_mask_fish,마스크피쉬,s_mon_mask_fish,가면 아래의 감각,REFERENCE,NEW_ART,PENDING,REFERENCE/002_m_mask_fish_s_mon_mask_fish_REFERENCE_F00.png,0,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_mask_fish_sheet.png,"(444, 0, 887, 444)",monsters/002.../MONSTER_IMAGE.png,monsters/002.../SOURCE_PROVENANCE.md,PREVIEW/002_m_mask_fish/labeled_preview.png
area_10,m_mask_fish,마스크피쉬,s_mon_mask_fish,가면 아래의 감각,REFERENCE,NEW_ART,PENDING,REFERENCE/002_m_mask_fish_s_mon_mask_fish_REFERENCE_F01.png,1,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_mask_fish_sheet.png,"(887, 0, 1330, 444)",monsters/002.../MONSTER_IMAGE.png,monsters/002.../SOURCE_PROVENANCE.md,PREVIEW/002_m_mask_fish/labeled_preview.png
area_10,m_mask_fish,마스크피쉬,s_mon_mask_fish,가면 아래의 감각,REFERENCE,NEW_ART,PENDING,REFERENCE/002_m_mask_fish_s_mon_mask_fish_REFERENCE_F02.png,2,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_mask_fish_sheet.png,"(1330, 0, 1774, 444)",monsters/002.../MONSTER_IMAGE.png,monsters/002.../SOURCE_PROVENANCE.md,PREVIEW/002_m_mask_fish/labeled_preview.png
area_10,m_mask_fish,마스크피쉬,s_mon_mask_fish,가면 아래의 감각,REFERENCE,NEW_ART,PENDING,REFERENCE/002_m_mask_fish_s_mon_mask_fish_REFERENCE_F03.png,3,6,256x256 RGBA,0.10,preview-only non-loop,false,SOURCE_SHEETS/002_m_mask_fish_sheet.png,"(0, 444, 444, 887)",monsters/002.../MONSTER_IMAGE.png,monsters/002.../SOURCE_PROVENANCE.md,PREVIEW/002_m_mask_fish/labeled_preview.png
