source_sheet,output_file,coord,target_size
SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,ICON/001_m_star_pixie_s_mon_star_pixie_ICON.png,"(0, 0, 512, 512)",256x256
SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,ICON/002_m_jr_cellion_s_mon_jr_cellion_ICON.png,"(512, 0, 1024, 512)",256x256
SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,ICON/003_m_lunar_pixie_s_mon_lunar_pixie_ICON.png,"(1024, 0, 1536, 512)",256x256
SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,ICON/004_m_luster_pixie_s_mon_luster_pixie_ICON.png,"(0, 512, 512, 1024)",256x256
SOURCE_SHEETS/a_clean_transparent_background_png_style_game_asse_8_batch_8.png,ICON/005_m_eliza_s_mon_eliza_ICON.png,"(512, 512, 1024, 1024)",256x256
SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F00.png,"(0, 0, 444, 444)",384x384
SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F01.png,"(444, 0, 887, 444)",384x384
SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F02.png,"(887, 0, 1330, 444)",384x384
SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F03.png,"(1330, 0, 1774, 444)",384x384
SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F04.png,"(0, 444, 444, 887)",384x384
SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F05.png,"(444, 444, 887, 887)",384x384
SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F06.png,"(887, 444, 1330, 887)",384x384
SOURCE_SHEETS/wide_transparent_background_sprite_sheet_image_n_1_batch_1.png,CAST/001_m_star_pixie_s_mon_star_pixie_CAST_F07.png,"(1330, 444, 1774, 887)",384x384
SOURCE_SHEETS/a_clean_sprite_sheet_game_asset_image_with_a_tra_2_batch_2.png,PROJECTILE/001_m_star_pixie_s_mon_star_pixie_PROJECTILE_F00.png,"(0, 0, 627, 627)",384x384
SOURCE_SHEETS/a_clean_sprite_sheet_game_asset_image_with_a_tra_2_batch_2.png,PROJECTILE/001_m_star_pixie_s_mon_star_pixie_PROJECTILE_F01.png,"(627, 0, 1254, 627)",384x384
SOURCE_SHEETS/a_clean_sprite_sheet_game_asset_image_with_a_tra_2_batch_2.png,PROJECTILE/001_m_star_pixie_s_mon_star_pixie_PROJECTILE_F02.png,"(0, 627, 627, 1254)",384x384
SOURCE_SHEETS/a_clean_sprite_sheet_game_asset_image_with_a_tra_2_batch_2.png,PROJECTILE/001_m_star_pixie_s_mon_star_pixie_PROJECTILE_F03.png,"(627, 627, 1254, 1254)",384x384
SOURCE_SHEETS/a_clean_transparent_background_game_asset_sprite_s_6_batch_6.png,REFERENCE/002_m_jr_cellion_s_mon_jr_cellion_REFERENCE_F00.png,"(0, 0, 512, 512)",256x256
SOURCE_SHEETS/a_clean_transparent_background_game_asset_sprite_s_6_batch_6.png,REFERENCE/002_m_jr_cellion_s_mon_jr_cellion_REFERENCE_F01.png,"(512, 0, 1024, 512)",256x256
SOURCE_SHEETS/a_clean_transparent_background_game_asset_sprite_s_6_batch_6.png,REFERENCE/002_m_jr_cellion_s_mon_jr_cellion_REFERENCE_F02.png,"(1024, 0, 1536, 512)",256x256
SOURCE_SHEETS/a_clean_transparent_background_game_asset_sprite_s_6_batch_6.png,REFERENCE/002_m_jr_cellion_s_mon_jr_cellion_REFERENCE_F03.png,"(0, 512, 512, 1024)",256x256
SOURCE_SHEETS/a_clean_transparent_background_game_asset_sprite_s_6_batch_6.png,REFERENCE/002_m_jr_cellion_s_mon_jr_cellion_REFERENCE_F04.png,"(512, 512, 1024, 1024)",256x256
SOURCE_SHEETS/a_clean_transparent_background_game_asset_sprite_s_6_batch_6.png,REFERENCE/002_m_jr_cellion_s_mon_jr_cellion_REFERENCE_F05.png,"(1024, 512, 1536, 1024)",256x256
SOURCE_SHEETS/a_clean_digital_graphic_sprite_sheet_style_image_o_3_batch_3.png,CAST/003_m_lunar_pixie_s_mon_lunar_pixie_CAST_F00.png,"(0, 0, 444, 444)",384x384
SOURCE_SHEETS/a_clean_digital_graphic_sprite_sheet_style_image_o_3_batch_3.png,CAST/003_m_lunar_pixie_s_mon_lunar_pixie_CAST_F01.png,"(444, 0, 887, 444)",384x384
SOURCE_SHEETS/a_clean_digital_graphic_sprite_sheet_style_image_o_3_batch_3.png,CAST/003_m_lunar_pixie_s_mon_lunar_pixie_CAST_F02.png,"(887, 0, 1330, 444)",384x384
SOURCE_SHEETS/a_clean_digital_graphic_sprite_sheet_style_image_o_3_batch_3.png,CAST/003_m_lunar_pixie_s_mon_lunar_pixie_CAST_F03.png,"(1330, 0, 1774, 444)",384x384
SOURCE_SHEETS/a_clean_digital_graphic_sprite_sheet_style_image_o_3_batch_3.png,CAST/003_m_lunar_pixie_s_mon_lunar_pixie_CAST_F04.png,"(0, 444, 444, 887)",384x384
SOURCE_SHEETS/a_clean_digital_graphic_sprite_sheet_style_image_o_3_batch_3.png,CAST/003_m_lunar_pixie_s_mon_lunar_pixie_CAST_F05.png,"(444, 444, 887, 887)",384x384
SOURCE_SHEETS/a_clean_digital_graphic_sprite_sheet_style_image_o_3_batch_3.png,CAST/003_m_lunar_pixie_s_mon_lunar_pixie_CAST_F06.png,"(887, 444, 1330, 887)",384x384
SOURCE_SHEETS/a_clean_digital_graphic_sprite_sheet_style_image_o_3_batch_3.png,CAST/003_m_lunar_pixie_s_mon_lunar_pixie_CAST_F07.png,"(1330, 444, 1774, 887)",384x384
SOURCE_SHEETS/a_high_resolution_transparent_background_png_style_4_batch_4.png,PROJECTILE/003_m_lunar_pixie_s_mon_lunar_pixie_PROJECTILE_F00.png,"(0, 0, 627, 627)",384x384
SOURCE_SHEETS/a_high_resolution_transparent_background_png_style_4_batch_4.png,PROJECTILE/003_m_lunar_pixie_s_mon_lunar_pixie_PROJECTILE_F01.png,"(627, 0, 1254, 627)",384x384
SOURCE_SHEETS/a_high_resolution_transparent_background_png_style_4_batch_4.png,PROJECTILE/003_m_lunar_pixie_s_mon_lunar_pixie_PROJECTILE_F02.png,"(0, 627, 627, 1254)",384x384
