area_id,area_name,monster_order,monster_id,monster_name,skill_id,skill_name,skill_type,role,production_decision,runtime_use,file_count,output_files,canvas,frame_seconds,total_seconds,playback_mode,source_monster_image,source_sheet,split_coordinates,auto_validation,manual_semantic_review,user_art_approval
area_11,루더스 호수,001,m_ratz,라츠,s_mon_ratz,태엽쥐의 민첩,패시브,ICON,NEW_ART,ui,1,ICON/001_m_ratz_s_mon_ratz_ICON.png,256x256 RGBA,static,static,static,area11_safe_refs/ratz_MONSTER_IMAGE.png,SOURCE_SHEETS/ICON_master_sheet.png,"[{""file"": ""ICON/001_m_ratz_s_mon_ratz_ICON.png"", ""cell"": [0, 0], ""box"": [0, 0, 512, 512]}]",PASS,NOT_CHECKED,PENDING
area_11,루더스 호수,001,m_ratz,라츠,s_mon_ratz,태엽쥐의 민첩,패시브,REFERENCE_VFX,NEW_ART,false,6,REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F00.png ; REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F01.png ; REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F02.png ; REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F03.png ; REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F04.png ; REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F05.png,256x256 RGBA,0.10,0.60,preview-only non-loop,area11_safe_refs/ratz_MONSTER_IMAGE.png,SOURCE_SHEETS/001_m_ratz_s_mon_ratz_REFERENCE_sheet.png,"[{""file"": ""REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F00.png"", ""cell"": [0, 0], ""box"": [0, 0, 512, 512]}, {""file"": ""REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F01.png"", ""cell"": [1, 0], ""box"": [512, 0, 1024, 512]}, {""file"": ""REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F02.png"", ""cell"": [2, 0], ""box"": [1024, 0, 1536, 512]}, {""file"": ""REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F03.png"", ""cell"": [0, 1], ""box"": [0, 512, 512, 1024]}, {""file"": ""REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F04.png"", ""cell"": [1, 1], ""box"": [512, 512, 1024, 1024]}, {""file"": ""REFERENCE/001_m_ratz_s_mon_ratz_REFERENCE_F05.png"", ""cell"": [2, 1], ""box"": [1024, 512, 1536, 1024]}]",PASS,NOT_CHECKED,PENDING
area_11,루더스 호수,002,m_drumming_bunny,북치는 토끼,s_mon_drumming_bunny,태엽 북진동,액티브,ICON,NEW_ART,ui,1,ICON/002_m_drumming_bunny_s_mon_drumming_bunny_ICON.png,256x256 RGBA,static,static,static,area11_safe_refs/drumming_bunny_MONSTER_IMAGE.png,SOURCE_SHEETS/ICON_master_sheet.png,"[{""file"": ""ICON/002_m_drumming_bunny_s_mon_drumming_bunny_ICON.png"", ""cell"": [1, 0], ""box"": [512, 0, 1024, 512]}]",PASS,NOT_CHECKED,PENDING
area_11,루더스 호수,002,m_drumming_bunny,북치는 토끼,s_mon_drumming_bunny,태엽 북진동,액티브,CAST_VFX,NEW_ART,true,8,CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F00.png ; CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F01.png ; CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F02.png ; CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F03.png ; CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F04.png ; CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F05.png ; CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F06.png ; CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F07.png,384x384 RGBA,0.10,0.80,non-loop one-shot,area11_safe_refs/drumming_bunny_MONSTER_IMAGE.png,SOURCE_SHEETS/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_sheet.png,"[{""file"": ""CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F00.png"", ""cell"": [0, 0], ""box"": [0, 0, 444, 444]}, {""file"": ""CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F01.png"", ""cell"": [1, 0], ""box"": [444, 0, 887, 444]}, {""file"": ""CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F02.png"", ""cell"": [2, 0], ""box"": [887, 0, 1330, 444]}, {""file"": ""CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F03.png"", ""cell"": [3, 0], ""box"": [1330, 0, 1774, 444]}, {""file"": ""CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F04.png"", ""cell"": [0, 1], ""box"": [0, 444, 444, 887]}, {""file"": ""CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F05.png"", ""cell"": [1, 1], ""box"": [444, 444, 887, 887]}, {""file"": ""CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F06.png"", ""cell"": [2, 1], ""box"": [887, 444, 1330, 887]}, {""file"": ""CAST/002_m_drumming_bunny_s_mon_drumming_bunny_CAST_F07.png"", ""cell"": [3, 1], ""box"": [1330, 444, 1774, 887]}]",PASS,NOT_CHECKED,PENDING
area_11,루더스 호수,003,m_bloctopus,블록퍼스,s_mon_bloctopus,블록 위장,패시브,ICON,NEW_ART,ui,1,ICON/003_m_bloctopus_s_mon_bloctopus_ICON.png,256x256 RGBA,static,static,static,area11_safe_refs/bloctopus_MONSTER_IMAGE.png,SOURCE_SHEETS/ICON_master_sheet.png,"[{""file"": ""ICON/003_m_bloctopus_s_mon_bloctopus_ICON.png"", ""cell"": [2, 0], ""box"": [1024, 0, 1536, 512]}]",PASS,NOT_CHECKED,PENDING
area_11,루더스 호수,003,m_bloctopus,블록퍼스,s_mon_bloctopus,블록 위장,패시브,REFERENCE_VFX,NEW_ART,false,6,REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F00.png ; REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F01.png ; REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F02.png ; REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F03.png ; REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F04.png ; REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F05.png,256x256 RGBA,0.10,0.60,preview-only non-loop,area11_safe_refs/bloctopus_MONSTER_IMAGE.png,SOURCE_SHEETS/003_m_bloctopus_s_mon_bloctopus_REFERENCE_sheet.png,"[{""file"": ""REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F00.png"", ""cell"": [0, 0], ""box"": [0, 0, 512, 512]}, {""file"": ""REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F01.png"", ""cell"": [1, 0], ""box"": [512, 0, 1024, 512]}, {""file"": ""REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F02.png"", ""cell"": [2, 0], ""box"": [1024, 0, 1536, 512]}, {""file"": ""REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F03.png"", ""cell"": [0, 1], ""box"": [0, 512, 512, 1024]}, {""file"": ""REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F04.png"", ""cell"": [1, 1], ""box"": [512, 512, 1024, 1024]}, {""file"": ""REFERENCE/003_m_bloctopus_s_mon_bloctopus_REFERENCE_F05.png"", ""cell"": [2, 1], ""box"": [1024, 512, 1536, 1024]}]",PASS,NOT_CHECKED,PENDING
area_11,루더스 호수,004,m_king_bloctopus,킹 블록퍼스,s_mon_king_bloctopus,왕관 블록탄,액티브,ICON,NEW_ART,ui,1,ICON/004_m_king_bloctopus_s_mon_king_bloctopus_ICON.png,256x256 RGBA,static,static,static,area11_safe_refs/king_bloctopus_MONSTER_IMAGE.png,SOURCE_SHEETS/ICON_master_sheet.png,"[{""file"": ""ICON/004_m_king_bloctopus_s_mon_king_bloctopus_ICON.png"", ""cell"": [0, 1], ""box"": [0, 512, 512, 1024]}]",PASS,NOT_CHECKED,PENDING
area_11,루더스 호수,004,m_king_bloctopus,킹 블록퍼스,s_mon_king_bloctopus,왕관 블록탄,액티브,CAST_VFX,NEW_ART,true,8,CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F00.png ; CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F01.png ; CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F02.png ; CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F03.png ; CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F04.png ; CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F05.png ; CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F06.png ; CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F07.png,384x384 RGBA,0.10,0.80,non-loop one-shot,area11_safe_refs/king_bloctopus_MONSTER_IMAGE.png,SOURCE_SHEETS/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_sheet.png,"[{""file"": ""CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F00.png"", ""cell"": [0, 0], ""box"": [0, 0, 444, 444]}, {""file"": ""CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F01.png"", ""cell"": [1, 0], ""box"": [444, 0, 887, 444]}, {""file"": ""CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F02.png"", ""cell"": [2, 0], ""box"": [887, 0, 1330, 444]}, {""file"": ""CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F03.png"", ""cell"": [3, 0], ""box"": [1330, 0, 1774, 444]}, {""file"": ""CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F04.png"", ""cell"": [0, 1], ""box"": [0, 444, 444, 887]}, {""file"": ""CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F05.png"", ""cell"": [1, 1], ""box"": [444, 444, 887, 887]}, {""file"": ""CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F06.png"", ""cell"": [2, 1], ""box"": [887, 444, 1330, 887]}, {""file"": ""CAST/004_m_king_bloctopus_s_mon_king_bloctopus_CAST_F07.png"", ""cell"": [3, 1], ""box"": [1330, 444, 1774, 887]}]",PASS,NOT_CHECKED,PENDING
area_11,루더스 호수,004,m_king_bloctopus,킹 블록퍼스,s_mon_king_bloctopus,왕관 블록탄,액티브,PROJECTILE,NEW_ART,true,4,PROJECTILE/004_m_king_bloctopus_s_mon_king_bloctopus_PROJECTILE_F00.png ; PROJECTILE/004_m_king_bloctopus_s_mon_king_bloctopus_PROJECTILE_F01.png ; PROJECTILE/004_m_king_bloctopus_s_mon_king_bloctopus_PROJECTILE_F02.png ; PROJECTILE/004_m_king_bloctopus_s_mon_king_bloctopus_PROJECTILE_F03.png,384x384 RGBA,0.08,0.32,non-loop one-shot,area11_safe_refs/king_bloctopus_MONSTER_IMAGE.png,SOURCE_SHEETS/004_m_king_bloctopus_s_mon_king_bloctopus_PROJECTILE_sheet.png,"[{""file"": ""PROJECTILE/004_m_king_bloctopus_s_mon_king_bloctopus_PROJECTILE_F00.png"", ""cell"": [0, 0], ""box"": [0, 0, 627, 627]}, {""file"": ""PROJECTILE/004_m_king_bloctopus_s_mon_king_bloctopus_PROJECTILE_F01.png"", ""cell"": [1, 0], ""box"": [627, 0, 1254, 627]}, {""file"": ""PROJECTILE/004_m_king_bloctopus_s_mon_king_bloctopus_PROJECTILE_F02.png"", ""cell"": [0, 1], ""box"": [0, 627, 627, 1254]}, {""file"": ""PROJECTILE/004_m_king_bloctopus_s_mon_king_bloctopus_PROJECTILE_F03.png"", ""cell"": [1, 1], ""box"": [627, 627, 1254, 1254]}]",PASS,NOT_CHECKED,PENDING
area_11,루더스 호수,005,m_rombot,롬바드,s_mon_rombot,에오스 중력파,액티브,ICON,NEW_ART,ui,1,ICON/005_m_rombot_s_mon_rombot_ICON.png,256x256 RGBA,static,static,static,area11_safe_refs/rombot_MONSTER_IMAGE.png,SOURCE_SHEETS/ICON_master_sheet.png,"[{""file"": ""ICON/005_m_rombot_s_mon_rombot_ICON.png"", ""cell"": [1, 1], ""box"": [512, 512, 1024, 1024]}]",PASS,NOT_CHECKED,PENDING
