monster_order,monster_id,monster_name,skill_id,skill_name,role,production_decision,file_relative_path,frame_index,frame_count,size,playback,runtime_use,source_monster_image,source_generated_asset,source_sheet_relative,split_coords,rgba_check,alpha_check,blank_check,edge_touch_check,text_intrusion_check,role_match_check,user_art_approval
001,m_jr_yeti,주니어 예티,s_mon_jr_yeti,설인의 체온,ICON,NEW_ART,ICON/001_m_jr_yeti_s_mon_jr_yeti_ICON.png,,1,256x256,static,ui,../clean_refs/monster_jr_yeti.png,ghostwriter_images/generated/a_clean_high_resolution_fantasy_game_ui_icon_on_a_6_batch_1.png,none,none,PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
001,m_jr_yeti,주니어 예티,s_mon_jr_yeti,설인의 체온,REFERENCE_VFX,NEW_ART,REFERENCE/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_F00.png,0,6,256x256,0.10s non-loop preview-only,false,../clean_refs/monster_jr_yeti.png,ghostwriter_images/generated/a_clean_transparent_background_graphic_design_sp_1_batch_1.png,SOURCE_SHEETS/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_SHEET.png,"(0, 0, 512, 512)",PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
001,m_jr_yeti,주니어 예티,s_mon_jr_yeti,설인의 체온,REFERENCE_VFX,NEW_ART,REFERENCE/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_F01.png,1,6,256x256,0.10s non-loop preview-only,false,../clean_refs/monster_jr_yeti.png,ghostwriter_images/generated/a_clean_transparent_background_graphic_design_sp_1_batch_1.png,SOURCE_SHEETS/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_SHEET.png,"(512, 0, 1024, 512)",PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
001,m_jr_yeti,주니어 예티,s_mon_jr_yeti,설인의 체온,REFERENCE_VFX,NEW_ART,REFERENCE/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_F02.png,2,6,256x256,0.10s non-loop preview-only,false,../clean_refs/monster_jr_yeti.png,ghostwriter_images/generated/a_clean_transparent_background_graphic_design_sp_1_batch_1.png,SOURCE_SHEETS/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_SHEET.png,"(1024, 0, 1536, 512)",PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
001,m_jr_yeti,주니어 예티,s_mon_jr_yeti,설인의 체온,REFERENCE_VFX,NEW_ART,REFERENCE/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_F03.png,3,6,256x256,0.10s non-loop preview-only,false,../clean_refs/monster_jr_yeti.png,ghostwriter_images/generated/a_clean_transparent_background_graphic_design_sp_1_batch_1.png,SOURCE_SHEETS/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_SHEET.png,"(0, 512, 512, 1024)",PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
001,m_jr_yeti,주니어 예티,s_mon_jr_yeti,설인의 체온,REFERENCE_VFX,NEW_ART,REFERENCE/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_F04.png,4,6,256x256,0.10s non-loop preview-only,false,../clean_refs/monster_jr_yeti.png,ghostwriter_images/generated/a_clean_transparent_background_graphic_design_sp_1_batch_1.png,SOURCE_SHEETS/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_SHEET.png,"(512, 512, 1024, 1024)",PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
001,m_jr_yeti,주니어 예티,s_mon_jr_yeti,설인의 체온,REFERENCE_VFX,NEW_ART,REFERENCE/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_F05.png,5,6,256x256,0.10s non-loop preview-only,false,../clean_refs/monster_jr_yeti.png,ghostwriter_images/generated/a_clean_transparent_background_graphic_design_sp_1_batch_1.png,SOURCE_SHEETS/001_m_jr_yeti_s_mon_jr_yeti_REFERENCE_SHEET.png,"(1024, 512, 1536, 1024)",PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
002,m_dark_jr_yeti,다크 주니어 예티,s_mon_dark_jr_yeti,검은 설원의 은폐,ICON,NEW_ART,ICON/002_m_dark_jr_yeti_s_mon_dark_jr_yeti_ICON.png,,1,256x256,static,ui,../clean_refs/monster_dark_jr_yeti.png,ghostwriter_images/generated/a_high_resolution_digital_fantasy_icon_style_illus_7_batch_2.png,none,none,PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
002,m_dark_jr_yeti,다크 주니어 예티,s_mon_dark_jr_yeti,검은 설원의 은폐,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_dark_jr_yeti_s_mon_dark_jr_yeti_REFERENCE_F00.png,0,6,256x256,0.10s non-loop preview-only,false,../clean_refs/monster_dark_jr_yeti.png,ghostwriter_images/generated/a_clean_transparent_background_sprite_sheet_game_2_batch_2.png,SOURCE_SHEETS/002_m_dark_jr_yeti_s_mon_dark_jr_yeti_REFERENCE_SHEET.png,"(0, 0, 512, 512)",PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
002,m_dark_jr_yeti,다크 주니어 예티,s_mon_dark_jr_yeti,검은 설원의 은폐,REFERENCE_VFX,NEW_ART,REFERENCE/002_m_dark_jr_yeti_s_mon_dark_jr_yeti_REFERENCE_F01.png,1,6,256x256,0.10s non-loop preview-only,false,../clean_refs/monster_dark_jr_yeti.png,ghostwriter_images/generated/a_clean_transparent_background_sprite_sheet_game_2_batch_2.png,SOURCE_SHEETS/002_m_dark_jr_yeti_s_mon_dark_jr_yeti_REFERENCE_SHEET.png,"(512, 0, 1024, 512)",PASS,PASS,PASS,WARN_EDGE_TOUCH,NOT_CHECKED,PASS_MANUAL,PENDING
