area_id,repack_status,revalidation_status,zip_path,png_count,png_bytes_changed,issues
area_01,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_01_IMAGES_OUTPUT.zip,47,0,
area_02,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_02_IMAGES_OUTPUT.zip,66,0,
area_03,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_03_IMAGES_OUTPUT.zip,51,0,
area_04,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_04_IMAGES_OUTPUT.zip,45,0,
area_05,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_05_IMAGES_OUTPUT.zip,45,0,
area_07,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_07_IMAGES_OUTPUT.zip,54,0,
area_08,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_08_IMAGES_OUTPUT.zip,53,0,
area_09,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_09_IMAGES_OUTPUT.zip,45,0,
area_10,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_10_IMAGES_OUTPUT.zip,49,0,
area_11,HELD,UNRESOLVED,,0,0,m_king_bloctopus CAST_VFX|PROJECTILE REGENERATE_CANDIDATE; see HOLD_AREA_11_12.md
area_12,HELD,UNRESOLVED,,0,0,m_toy_trojan CAST_VFX USER_REVIEW; see HOLD_AREA_11_12.md
area_13,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_13_IMAGES_OUTPUT.zip,45,0,
area_14,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_14_IMAGES_OUTPUT.zip,53,0,
area_15,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_15_IMAGES_OUTPUT.zip,53,0,
area_16,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_16_IMAGES_OUTPUT.zip,45,0,
area_17,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_17_IMAGES_OUTPUT.zip,49,0,
area_18,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_18_IMAGES_OUTPUT.zip,49,0,
area_19,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_19_IMAGES_OUTPUT.zip,45,0,
area_20,COMPLETE,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_20_IMAGES_OUTPUT.zip,45,0,
