area_id,status,zip_path,issues
area_01,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_01_IMAGES_OUTPUT.zip,
area_02,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_02_IMAGES_OUTPUT.zip,
area_03,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_03_IMAGES_OUTPUT.zip,
area_04,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_04_IMAGES_OUTPUT.zip,
area_05,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_05_IMAGES_OUTPUT.zip,
area_07,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_07_IMAGES_OUTPUT.zip,
area_08,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_08_IMAGES_OUTPUT.zip,
area_09,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_09_IMAGES_OUTPUT.zip,
area_10,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_10_IMAGES_OUTPUT.zip,
area_11,UNRESOLVED,,m_king_bloctopus CAST_VFX|PROJECTILE REGENERATE_CANDIDATE; see HOLD_AREA_11_12.md
area_12,UNRESOLVED,,m_toy_trojan CAST_VFX USER_REVIEW; see HOLD_AREA_11_12.md
area_13,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_13_IMAGES_OUTPUT.zip,
area_14,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_14_IMAGES_OUTPUT.zip,
area_15,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_15_IMAGES_OUTPUT.zip,
area_16,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_16_IMAGES_OUTPUT.zip,
area_17,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_17_IMAGES_OUTPUT.zip,
area_18,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_18_IMAGES_OUTPUT.zip,
area_19,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_19_IMAGES_OUTPUT.zip,
area_20,PASS,D:\maplestory_levup\docs\art\output_repacked\20260912_153221_v24_repack\AREA_20_IMAGES_OUTPUT.zip,
