generation_run,tool_log_line,reference_path,sha256,reference_role,actual_tool_input,polarity
AREA00_REFINEMENT,206,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\work\BLACK_004_m_mano_s_mon_mano_F06.png,3deb9f89949eaf7ae6388683e2a2ad9d058dcc1e799aa2f39ac154136df09e17,EDIT_TARGET,YES,positive
AREA00_REFINEMENT,206,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\work\BLACK_004_m_mano_s_mon_mano_F05.png,474798370ae5f7001898479a224974014e9554301047fcd98085c6ac28f404c5,TEMPORAL_NEIGHBOR,YES,positive
AREA00_REFINEMENT,206,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\work\BLACK_004_m_mano_s_mon_mano_F07.png,1b70b6be8cb5151990d900a600d6b1f77340caa53902dadc1058a4aa5cd1d6ae,TEMPORAL_NEIGHBOR,YES,positive
AREA00_REFINEMENT,227,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\work\BLACK_004_m_mano_s_mon_mano_F05.png,474798370ae5f7001898479a224974014e9554301047fcd98085c6ac28f404c5,EDIT_TARGET,YES,positive
AREA00_REFINEMENT,227,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\work\BLACK_004_m_mano_s_mon_mano_F06.png,3deb9f89949eaf7ae6388683e2a2ad9d058dcc1e799aa2f39ac154136df09e17,TEMPORAL_NEIGHBOR,YES,positive
AREA00_REFINEMENT,166,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\work\EDIT_004_m_mano_s_mon_mano_F05.png,9ba0cd38c16c1a5402605eb29066a931150dbde93c5489e0355f819b82bb963d,EDIT_TARGET,YES,positive
AREA00_REFINEMENT,166,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\evidence\m_mano_frames_04_07.png,814e8b8b1155cac987d20343e41c1c5aa429f00987fda9ed4831aa5886c914cd,TEMPORAL_REVIEW_BOARD,YES,positive
AREA00_REFINEMENT,211,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\work\BLACK_004_m_mano_s_mon_mano_F07.png,1b70b6be8cb5151990d900a600d6b1f77340caa53902dadc1058a4aa5cd1d6ae,EDIT_TARGET,YES,positive
AREA00_REFINEMENT,211,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\work\BLACK_004_m_mano_s_mon_mano_F06.png,3deb9f89949eaf7ae6388683e2a2ad9d058dcc1e799aa2f39ac154136df09e17,TEMPORAL_NEIGHBOR,YES,positive
AREA00_REFINEMENT,211,D:\maplestory_levup\docs\art\output_audit\runs\20260912_192803_area00_intent_quality_review\sources\m_mano\004_m_mano_s_mon_mano_F08.png,097503c7e5fb8b13debcfe2e6dba312428ff0c2761e0c8fdc705be54c7185626,TEMPORAL_NEIGHBOR,YES,positive
