skill,role,frame,original_path,original_sha256,candidate_path,candidate_sha256,method,reason
m_snail,VFX,F00,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F00.png,b7e74d47734d5b6bbcdbe3c68d99ed67b360eff4c6c73bcf4b141ba69b4d3525,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\001_m_snail_달팽이\VFX\001_m_snail_s_mon_snail_dew_trail_F00.png,756e65c25f43cbb5069236744cd6d14723d6b83dd313c16b3c2ba0957f99fb33,공통 크기 보정,프레임별 크기 흔들림 없이 85% 여백 확보
m_snail,VFX,F01,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F01.png,41302b32898fa0136beeba6c6959da7694f35bab7bf6c63a4f6b0f9a45e94b7b,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\001_m_snail_달팽이\VFX\001_m_snail_s_mon_snail_dew_trail_F01.png,f1d4cebec9f2a8c7a2e6fdddaada51f40315705e198c919d22183d4dee41394f,공통 크기 보정,프레임별 크기 흔들림 없이 85% 여백 확보
m_snail,VFX,F02,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F02.png,3e4aec6879b1765ebe8a38bdc3caf37b17cb412d113d5b3272e125f39ced6df8,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\001_m_snail_달팽이\VFX\001_m_snail_s_mon_snail_dew_trail_F02.png,ef7e5058584b23db9566e455c7f140bee6c31be0903dd1f6f6b7b25a3a157390,공통 크기 보정,프레임별 크기 흔들림 없이 85% 여백 확보
m_snail,VFX,F03,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F03.png,f9d41b208b4b5211ec7192e517b63e83b9584c97a27140e408efc1381954ba0b,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\001_m_snail_달팽이\VFX\001_m_snail_s_mon_snail_dew_trail_F03.png,7ca3e8538804bf2fa539e02cb1a24f762d34049614b268f7a6b45cd093ed613c,공통 크기 보정,프레임별 크기 흔들림 없이 85% 여백 확보
m_snail,VFX,F04,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F04.png,f74cc1f1679ee8075bb00b561de00036e26927f29630e28641ab8cb550dcf873,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\001_m_snail_달팽이\VFX\001_m_snail_s_mon_snail_dew_trail_F04.png,a46b6437edb4492c67e2c6e03d5be428dd698e2abd70c048a63f4f2a570e78d5,공통 크기 보정,프레임별 크기 흔들림 없이 85% 여백 확보
m_snail,VFX,F05,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F05.png,e42797fa98dd5ebd9ece312428850a4d002758e900040402c20a9a3c67b7e006,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\001_m_snail_달팽이\VFX\001_m_snail_s_mon_snail_dew_trail_F05.png,e1bca5361f367c3198cfada4bc11095adbce8f37341ca03308492655f26134bf,공통 크기 보정,프레임별 크기 흔들림 없이 85% 여백 확보
m_snail,VFX,F06,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F06.png,6fcb2783109b7be3a201ced278d107019a85b1b508ff10f9e8db2b8ef80d5f7f,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\001_m_snail_달팽이\VFX\001_m_snail_s_mon_snail_dew_trail_F06.png,67ea6e26e1a9c9a87daa97974bd3bac662d0f05a365bb2fabddd9b07d7e7bda7,공통 크기 보정,프레임별 크기 흔들림 없이 85% 여백 확보
m_snail,VFX,F07,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/VFX/001_m_snail_s_mon_snail_dew_trail_F07.png,a10fa4be7113d815469390317d352bf33593777576ef66f81ebeae5055159c9a,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\001_m_snail_달팽이\VFX\001_m_snail_s_mon_snail_dew_trail_F07.png,fc49f018921ebc88c65c594de93328ae4ab51b9288bb26c4a5701f771fe2cf11,공통 크기 보정,프레임별 크기 흔들림 없이 85% 여백 확보
m_snail,ICON,ICON,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/001_m_snail_달팽이/ICON/001_m_snail_s_mon_snail_dew_trail_ICON.png,9e4c5c2bf3f0edd39e3de4855d0eb2c16a049d879a88fe104fb91e5eb76a5446,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\001_m_snail_달팽이\ICON\001_m_snail_s_mon_snail_dew_trail_ICON.png,9e4c5c2bf3f0edd39e3de4855d0eb2c16a049d879a88fe104fb91e5eb76a5446,변경 없음,기존 정상 파일 바이트 보존
m_blue_snail,VFX,F00,D:\maplestory_levup\docs\art\area00-images-output\AREA_00_IMAGES_OUTPUT_ORIGINAL.zip!/AREA_00_IMAGES_OUTPUT/monsters/002_m_blue_snail_파란_달팽이/VFX/002_m_blue_snail_s_mon_blue_snail_F00.png,d7b55014803cf9feed39d079ceb5deef7bf7f2780bfbbca351f8b3f6c00d8b7c,D:\maplestory_levup\docs\art\area00_refinement\20260912_203404\AREA_00_IMAGES_INPUT_IMAGES_OUTPUT\monsters\002_m_blue_snail_파란_달팽이\VFX\002_m_blue_snail_s_mon_blue_snail_F00.png,d7b55014803cf9feed39d079ceb5deef7bf7f2780bfbbca351f8b3f6c00d8b7c,변경 없음,기존 정상 파일 바이트 보존
