AreaID,SortOrder,AreaName,Theme,RoomPoolCount,MapRoomPool,StartRoom,StartMap,FinalRoomRule,FinalRoomExample,FinalMapExample,BossRoom,BossMonster,MonsterPoolCount,MonsterPool,ObjectiveType,RunNormalHP1P,RunNormalATK,RunNormalDEF,RunBossHP1P,RuntimeStatus,RuntimeSeed,RuntimeEvidence,RuntimeCaveat
area_00,1,메이플 아일랜드·리스항구,메이플 아일랜드·리스항구,8,r_001:map001|r_002:map002|r_003:map003|r_004:map004|r_005:map005|r_006:map006|r_007:map007|r_00a:map00a,r_001,map001,비보스 단말 Room,r_00a,map00a,r_005,m_mano:마노,5,m_snail:달팽이|m_blue_snail:파란 달팽이|m_red_snail:빨간 달팽이|m_mano:마노|m_slime:슬라임,reach_exit,240,24,6,960,PASS_RUNTIME,9091,Maker runtime session; seed-v2-reproduction-final.json provides deterministic reference,fresh solo traversal without repeated HP assistance; final reset observed
area_01,2,헤네시스 근교,헤네시스 근교,5,r_01:map01|r_02:map02|r_03:map03|r_04:map04|r_05:map05,r_01,map01,비보스 단말 Room,r_03,map03,r_05,m_mushmom:머쉬맘,5,m_snail:달팽이|m_blue_snail:파란 달팽이|m_mushroom:주황 버섯|m_horny_mushroom:뿔버섯|m_mushmom:머쉬맘,reach_exit,268,27,7,1072,PASS_RUNTIME_CORE,9092/9093,Maker runtime session; seed-v2-reproduction-final.json,actual room transition cleared pending; lethal PlayerHit caused fail; town reset and clean next run verified
area_03,3,엘리니아,엘리니아,8,r_21:map21|r_22:map22|r_23:map23|r_24:map24|r_25:map25|r_26:map26|r_27:map27|r_29:map29,r_21,map21,Area의 boss Room,r_25,map25,r_25,m_faust:파우스트,5,m_slime:슬라임|m_dark_stump:다크 스텀프|m_bubbling:버블링|m_fairy:페어리|m_faust:파우스트,defeat_final_guardian,296,30,8,1184,PASS_RUNTIME_ASSISTED,2026,area-03-runtime-assisted.json,heals=35; completion and lobby move logged
area_02,4,페리온,페리온,8,r_11:map11|r_12:map12|r_13:map13|r_14:map14|r_15:map15|r_16:map16|r_17:map17|r_1a:map1a,r_11,map11,Area의 boss Room,r_15,map15,r_15,m_stumpy:스텀피,8,m_axe_stump:엑스텀프|m_dark_axe_stump:다크 엑스텀프|m_wild_boar:와일드보어|m_stone_golem:스톤골렘|m_stumpy:스텀피|m_iron_hog:아이언 호그|m_fire_boar:파이어보어|m_skeleton_commander:스켈레톤 지휘관,defeat_final_guardian,324,33,9,1296,PASS_RUNTIME_ASSISTED,2026,area-02-runtime-assisted.json,server HP replenishment used; structural completion not balance certification
area_04,5,커닝시티,커닝시티,8,r_041:map041|r_042:map042|r_043:map043|r_044:map044|r_045:map045|r_046:map046|r_047:map047|r_04a:map04a,r_041,map041,Area의 boss Room,r_045,map045,r_045,m_shade:셰이드,5,m_octopus:옥토퍼스|m_stirge:스티지|m_jr_wraith:주니어 레이스|m_wraith:레이스|m_shade:셰이드,defeat_final_guardian,352,36,10,1408,PASS_RUNTIME_ASSISTED,2026,area-04-runtime-assisted.json,heals=65; completion and lobby move logged
area_05,6,노틸러스,노틸러스,8,r_051:map051|r_052:map052|r_053:map053|r_054:map054|r_055:map055|r_056:map056|r_057:map057|r_05a:map05a,r_051,map051,Area의 boss Room,r_055,map055,r_055,m_king_clang:킹크랑,5,m_ribbon_pig:리본 돼지|m_blue_pig:파란 리본돼지|m_starfish:불가사리|m_jellyfish:쿨 젤리피쉬|m_king_clang:킹크랑,defeat_final_guardian,380,39,11,1520,PASS_RUNTIME_ASSISTED,2026,area-05-runtime-assisted.json,tile BFS superseded failed straight-line QA route; heals=34
area_07,7,슬리피우드,슬리피우드,8,r_071:map071|r_072:map072|r_073:map073|r_074:map074|r_075:map075|r_076:map076|r_077:map077|r_07a:map07a,r_071,map071,Area의 boss Room,r_075,map075,r_075,m_jr_balrog:주니어 발록,6,m_zombie_mushroom:좀비버섯|m_copper_drake:카파 드레이크|m_drake:드레이크|m_tauromacis:타우로마시스|m_jr_balrog:주니어 발록|m_wild_kargo:와일드카고,defeat_final_guardian,408,42,12,1632,PASS_RUNTIME_ASSISTED,2026,batch-area_07-runtime-assisted.json,heals=70; completion and lobby reset logged
area_08,8,오르비스,오르비스,8,r_081:map081|r_082:map082|r_083:map083|r_084:map084|r_085:map085|r_086:map086|r_087:map087|r_08a:map08a,r_081,map081,Area의 boss Room,r_085,map085,r_085,m_eliza:엘리쟈,5,m_star_pixie:스타픽시|m_jr_cellion:주니어 샐리온|m_lunar_pixie:루나픽시|m_luster_pixie:러스터픽시|m_eliza:엘리쟈,defeat_final_guardian,436,45,13,1744,PASS_RUNTIME_ASSISTED,2026,batch-area_08-runtime-assisted.json,HP assist; errors=0
area_09,9,엘나스 산맥,엘나스 산맥,8,r_091:map091|r_092:map092|r_093:map093|r_094:map094|r_095:map095|r_096:map096|r_097:map097|r_09a:map09a,r_091,map091,Area의 boss Room,r_095,map095,r_095,m_snow_witch:설산의 마녀,5,m_jr_yeti:주니어 예티|m_dark_jr_yeti:다크 주니어 예티|m_hector:헥터|m_white_fang:화이트팽|m_snow_witch:설산의 마녀,defeat_final_guardian,464,48,14,1856,PASS_RUNTIME_ASSISTED,2026,batch-area_09-runtime-assisted.json,HP assist; errors=0
area_10,10,아쿠아로드,아쿠아로드,8,r_101:map101|r_102:map102|r_103:map103|r_104:map104|r_105:map105|r_106:map106|r_107:map107|r_10a:map10a,r_101,map101,Area의 boss Room,r_105,map105,r_105,m_pianus:피아누스,5,m_bubble_fish:버블피쉬|m_mask_fish:마스크피쉬|m_squid:스퀴드|m_shark:샤크|m_pianus:피아누스,defeat_final_guardian,492,51,15,1968,PASS_RUNTIME_ASSISTED,2026,batch-area_10-runtime-assisted.json,HP assist; errors=0
area_11,11,루더스 호수,루더스 호수,8,r_111:map111|r_112:map112|r_113:map113|r_114:map114|r_115:map115|r_116:map116|r_117:map117|r_11a:map11a,r_111,map111,Area의 boss Room,r_115,map115,r_115,m_rombot:롬바드,5,m_ratz:라츠|m_drumming_bunny:북치는 토끼|m_bloctopus:블록퍼스|m_king_bloctopus:킹 블록퍼스|m_rombot:롬바드,defeat_final_guardian,520,54,16,2080,PASS_RUNTIME_ASSISTED,2026,batch-area_11-runtime-assisted.json,HP assist; errors=0
area_12,12,루디브리엄,루디브리엄,8,r_121:map121|r_122:map122|r_123:map123|r_124:map124|r_125:map125|r_126:map126|r_127:map127|r_12a:map12a,r_121,map121,Area의 boss Room,r_125,map125,r_125,m_timer:타이머,5,m_brown_teddy:브라운테니|m_toy_trojan:장난감 목마|m_master_robo:마스터 로보|m_chronos:크로노스|m_timer:타이머,defeat_final_guardian,548,57,17,2192,PASS_RUNTIME_ASSISTED,2026,batch-area_12-runtime-assisted.json,HP assist; errors=0
area_13,13,니할 사막,니할 사막,8,r_131:map131|r_132:map132|r_133:map133|r_134:map134|r_135:map135|r_136:map136|r_137:map137|r_13a:map13a,r_131,map131,Area의 boss Room,r_135,map135,r_135,m_deo:데우,5,m_white_sand_rabbit:흰 모래토끼|m_scarf_plead:목도리 프릴드|m_meercat:미요캐츠|m_sand_dwarf:모래난쟁이|m_deo:데우,defeat_final_guardian,576,60,18,2304,PASS_RUNTIME_ASSISTED,2026,batch-area_13-runtime-assisted.json,HP assist; errors=0
