AreaID,AreaName,AreaPoolSpecies,AreaPoolMonsterIDs,RoomPoolCount,SpeciesPerRoomStatic,MaxSpeciesPerRoomStatic,MaxSpeciesPerRoomRuntimeObserved,BaseMonsterCountRange,OptionalRiskCountRule,FinalCountRule,MaxConcurrentMonstersByConfig,SpeciesSelection,SelectionFrequency,SpawnPosition,SpawnTiming,RespawnInRun,Seed2026MainPath,Seed2026MainPathDistinctSpecies,Seed2026MainPathMonsterIDs,Evidence
area_00,메이플 아일랜드·리스항구,5,m_snail|m_blue_snail|m_red_snail|m_mano|m_slime,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_001>r_003>r_007>r_00a,3,m_snail|m_red_snail|m_slime,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_01,헤네시스 근교,5,m_snail|m_blue_snail|m_mushroom|m_horny_mushroom|m_mushmom,5,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_01>r_04>r_02>r_03,4,m_snail|m_horny_mushroom|m_blue_snail|m_mushroom,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_03,엘리니아,5,m_slime|m_dark_stump|m_bubbling|m_fairy|m_faust,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_21>r_22>r_23>r_25,4,m_slime|m_dark_stump|m_bubbling|m_faust,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_02,페리온,8,m_axe_stump|m_dark_axe_stump|m_wild_boar|m_stone_golem|m_stumpy|m_iron_hog|m_fire_boar|m_skeleton_commander,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_11>r_12>r_17>r_14>r_15,5,m_axe_stump|m_dark_axe_stump|m_fire_boar|m_stone_golem|m_stumpy,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_04,커닝시티,5,m_octopus|m_stirge|m_jr_wraith|m_wraith|m_shade,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_041>r_042>r_047>r_044>r_045,5,m_octopus|m_stirge|m_jr_wraith|m_wraith|m_shade,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_05,노틸러스,5,m_ribbon_pig|m_blue_pig|m_starfish|m_jellyfish|m_king_clang,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_051>r_056>r_053>r_055,3,m_ribbon_pig|m_starfish|m_king_clang,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_07,슬리피우드,6,m_zombie_mushroom|m_copper_drake|m_drake|m_tauromacis|m_jr_balrog|m_wild_kargo,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_071>r_076>r_073>r_075,3,m_zombie_mushroom|m_drake|m_jr_balrog,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_08,오르비스,5,m_star_pixie|m_jr_cellion|m_lunar_pixie|m_luster_pixie|m_eliza,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_081>r_086>r_083>r_085,3,m_star_pixie|m_lunar_pixie|m_eliza,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_09,엘나스 산맥,5,m_jr_yeti|m_dark_jr_yeti|m_hector|m_white_fang|m_snow_witch,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_091>r_096>r_093>r_095,3,m_jr_yeti|m_hector|m_snow_witch,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_10,아쿠아로드,5,m_bubble_fish|m_mask_fish|m_squid|m_shark|m_pianus,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_101>r_106>r_103>r_105,3,m_bubble_fish|m_squid|m_pianus,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_11,루더스 호수,5,m_ratz|m_drumming_bunny|m_bloctopus|m_king_bloctopus|m_rombot,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_111>r_116>r_113>r_115,3,m_ratz|m_bloctopus|m_rombot,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_12,루디브리엄,5,m_brown_teddy|m_toy_trojan|m_master_robo|m_chronos|m_timer,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_121>r_126>r_123>r_125,3,m_brown_teddy|m_master_robo|m_timer,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_13,니할 사막,5,m_white_sand_rabbit|m_scarf_plead|m_meercat|m_sand_dwarf|m_deo,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_131>r_136>r_133>r_135,3,m_white_sand_rabbit|m_meercat|m_deo,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_14,마가티아,5,m_cube_slime|m_mithril_mutae|m_homun|m_roid|m_chimera,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_141>r_146>r_143>r_145,3,m_cube_slime|m_homun|m_chimera,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_15,무릉도원,5,m_straw_dummy|m_wooden_dummy|m_peach_monkey|m_blue_flower_serpent|m_tae_roon,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_151>r_156>r_153>r_155,3,m_straw_dummy|m_peach_monkey|m_tae_roon,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_16,미나르숲,5,m_harp|m_blood_harp|m_blue_wyvern|m_dark_wyvern|m_manon,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_161>r_166>r_163>r_165,3,m_harp|m_blue_wyvern|m_manon,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_17,시간의 신전,5,m_memory_monk|m_memory_monk_trainee|m_memory_guardian|m_chief_memory_guardian|m_dodo,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_171>r_176>r_173>r_175,3,m_memory_monk|m_memory_guardian|m_dodo,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_18,지구방위본부,5,m_mateon|m_plateon|m_mecateon|m_chief_gray|m_zeno,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_181>r_186>r_183>r_185,3,m_mateon|m_mecateon|m_zeno,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_19,미래의 문,5,m_official_knight_c|m_official_knight_d|m_advanced_knight_a|m_advanced_knight_b|m_cygnus,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_191>r_196>r_193>r_195,3,m_official_knight_c|m_advanced_knight_a|m_cygnus,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
area_20,황혼의 페리온,5,m_mutant_dark_stump|m_mutant_iron_hog|m_mutant_stone_mask|m_ancient_dark_golem|m_mutant_stumpy,8,1,1,1,1-5,RoomTable.monster_count+1 (최소 1),1,6,선택된 RoomTemplate의 고정 monster_id,Run graph에서 Room 선택 시 간접 결정; Room/Spawn마다 재추첨 없음,Room별 파생 Seed로 개체마다 좌표 추첨,Room 로드/최종 Room 입장 시 1회,없음,r_201>r_206>r_203>r_205,3,m_mutant_dark_stump|m_mutant_stone_mask|m_mutant_stumpy,"RoomTable.csv; GameData.mlua:1456-1558; RoomSpawner.mlua:63-133,203-231,378-385"
