map_name,map_file,room_id,area_id,mega_area,room_type,classification,in_room_table,map_parse,tile_map_mode,is_instance_map,tile_count,min_x,min_y,max_x,max_y,spawn_x,spawn_y,portal_count,portal_directions,notes
map001,map001.map,r_001,area_00,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,east|west,
map002,map002.map,r_002,area_00,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,3,west|south|east,
map003,map003.map,r_003,area_00,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,4,west|north|east|south,
map003_p4b,map003_p4b.map,,,,,UNUSED,NO,YES,1,NO,286,-11,-6,10,6,0,0,4,west|north|east|south,
map003_p4c,map003_p4c.map,,,,,UNUSED,NO,YES,1,NO,350,-12,-6,12,7,0,0,4,west|north|east|south,
map004,map004.map,r_004,area_00,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,east|west,
map005,map005.map,r_005,area_00,mega_01,boss,SPECIAL_ENCOUNTER,YES,YES,1,YES,448,-14,-7,13,8,0,0,1,west,
map006,map006.map,r_006,area_00,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,east|north,
map007,map007.map,r_007,area_00,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,west|north,
map00a,map00a.map,r_00a,area_00,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,1,south,
map01,map01.map,r_01,area_01,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,east|west,
map02,map02.map,r_02,area_01,mega_01,gate,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,3,west|north|east,
map03,map03.map,r_03,area_01,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,1,south,
map04,map04.map,r_04,area_01,mega_01,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,west|east,
map041,map041.map,r_041,area_04,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,east|west,
map042,map042.map,r_042,area_04,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,east|west,
map043,map043.map,r_043,area_04,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,4,west|north|east|south,
map044,map044.map,r_044,area_04,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,3,west|south|east,
map045,map045.map,r_045,area_04,mega_02,boss,SPECIAL_ENCOUNTER,YES,YES,1,YES,448,-14,-7,13,8,0,0,1,west,
map046,map046.map,r_046,area_04,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,east|north,
map047,map047.map,r_047,area_04,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,west|north,
map04a,map04a.map,r_04a,area_04,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,1,south,
map05,map05.map,r_05,area_01,mega_01,boss,SPECIAL_ENCOUNTER,YES,YES,1,YES,448,-14,-7,13,8,0,0,1,west,
map051,map051.map,r_051,area_05,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,east|west,
map052,map052.map,r_052,area_05,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,3,west|south|east,
map053,map053.map,r_053,area_05,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,4,west|north|east|south,
map054,map054.map,r_054,area_05,mega_02,hunt,RUN_ROOM_SOURCE,YES,YES,1,YES,448,-14,-7,13,8,0,0,2,east|west,
