mega_area,source_room,source_map,direction,target_room,target_map,source_portal,target_opposite_portal,roomtable_reciprocal,source_position,target_position,status,notes
mega_01,r_001,map001,east,r_002,map002,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_001,map001,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_01,r_002,map002,south,r_006,map006,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_002,map002,east,r_003,map003,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_002,map002,west,r_001,map001,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_003,map003,north,r_00a,map00a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_003,map003,south,r_007,map007,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_003,map003,east,r_004,map004,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_003,map003,west,r_002,map002,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_00a,map00a,south,r_003,map003,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_004,map004,east,r_005,map005,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_004,map004,west,r_003,map003,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_005,map005,west,r_004,map004,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_006,map006,north,r_002,map002,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_006,map006,east,r_007,map007,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_007,map007,north,r_003,map003,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_007,map007,west,r_006,map006,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_01,map01,east,r_02,map02,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_01,map01,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_01,r_02,map02,north,r_03,map03,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_01,r_02,map02,east,r_04,map04,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_02,map02,west,r_01,map01,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_03,map03,south,r_02,map02,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_01,r_04,map04,east,r_05,map05,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_04,map04,west,r_02,map02,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_05,map05,west,r_04,map04,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_01,r_job_02,mapjob02,south,r_29,map29,NO,NO,NO,,,NOT_USED_LEGACY_BOSS,Mega BossPool에 없는 레거시 전직/시험 보스방
mega_01,r_11,map11,south,r_town,maptown,YES,NO,NO,0:-6,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_01,r_11,map11,east,r_12,map12,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_01,r_12,map12,east,r_13,map13,YES,YES,YES,13:1,-13:1,PASS_STATIC,
