mega_area,seed,sequence,source_room,direction,target_room,status,evidence
mega_01,2026092161,1,r_001,east,r_002,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,2,r_002,east,r_003,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,3,r_003,east,r_04,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,4,r_04,east,r_02,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,5,r_02,north,r_23,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,6,r_23,north,r_00a,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,7,r_00a,south,r_23,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,8,r_23,west,r_21,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,9,r_21,north,r_11,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,10,r_11,east,r_14,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,11,r_14,east,r_05,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,12,r_05,west,r_14,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,13,r_14,west,r_11,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,14,r_11,south,r_21,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,15,r_21,east,r_23,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,16,r_23,south,r_02,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,17,r_02,east,r_007,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
mega_01,2026092161,18,r_007,west,r_02,PASS_RUNTIME,활성 RoomPortal Trigger 진입 후 실제 CurrentMap/Room이 target으로 바뀌었는지 확인
