mega_area_id,display_name,sequence,source_area_id,source_area_name
mega_01,모험의 시작,1,area_00,메이플 아일랜드·리스항구
mega_01,모험의 시작,2,area_01,헤네시스 근교
mega_01,모험의 시작,3,area_03,엘리니아
mega_01,모험의 시작,4,area_02,페리온
mega_02,도시와 하늘,1,area_04,커닝시티
mega_02,도시와 하늘,2,area_05,노틸러스
mega_02,도시와 하늘,3,area_07,슬리피우드
mega_02,도시와 하늘,4,area_08,오르비스
mega_03,설원과 시간,1,area_09,엘나스 산맥
mega_03,설원과 시간,2,area_10,아쿠아로드
mega_03,설원과 시간,3,area_11,루더스 호수
mega_03,설원과 시간,4,area_12,루디브리엄
mega_04,사막과 용의 숲,1,area_13,니할 사막
mega_04,사막과 용의 숲,2,area_14,마가티아
mega_04,사막과 용의 숲,3,area_15,무릉도원
mega_04,사막과 용의 숲,4,area_16,미나르숲
mega_05,미래와 황혼,1,area_17,시간의 신전
mega_05,미래와 황혼,2,area_18,지구방위본부
mega_05,미래와 황혼,3,area_19,미래의 문
mega_05,미래와 황혼,4,area_20,황혼의 페리온
