AreaID,Seed,RoomCount,MainPath,BranchCount,Objective,Start,Traversal,Monster,ObjectiveResult,Clear,Reset,Status,Notes,Evidence
area_00,9091,4,"r_001>r_002>r_007>r_00a",1,reach_exit,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME,"fresh solo traversal without repeated HP assistance; final reset observed","Maker runtime session; seed-v2-reproduction-final.json provides deterministic reference"
area_01,9092/9093,4,"r_01>r_04>r_02>r_03",0,reach_exit,PASS,PASS,PASS,PASS,"FAIL path intentionally exercised",PASS,PASS_RUNTIME_CORE,"actual room transition cleared pending; lethal PlayerHit caused fail; town reset and clean next run verified","Maker runtime session; seed-v2-reproduction-final.json"
area_02,2026,5,"r_11>r_12>r_17>r_14>r_15",1,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"server HP replenishment used; structural completion not balance certification","area-02-runtime-assisted.json"
area_03,2026,4,"r_21>r_22>r_23>r_25",0,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"heals=35; completion and lobby move logged","area-03-runtime-assisted.json"
area_04,2026,5,"r_041>r_042>r_047>r_044>r_045",1,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"heals=65; completion and lobby move logged","area-04-runtime-assisted.json"
area_05,2026,4,"r_051>r_056>r_053>r_055",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"tile BFS superseded failed straight-line QA route; heals=34","area-05-runtime-assisted.json"
area_06,N/A,0,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RESERVED_NOT_APPLICABLE,"reserved missing Area; not treated as failure","AreaTable and MAP_POOL_VERIFIED.json"
area_07,2026,4,"r_071>r_076>r_073>r_075",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"heals=70; completion and lobby reset logged","batch-area_07-runtime-assisted.json"
area_08,2026,4,"r_081>r_086>r_083>r_085",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_08-runtime-assisted.json"
area_09,2026,4,"r_091>r_096>r_093>r_095",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_09-runtime-assisted.json"
area_10,2026,4,"r_101>r_106>r_103>r_105",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_10-runtime-assisted.json"
area_11,2026,4,"r_111>r_116>r_113>r_115",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_11-runtime-assisted.json"
area_12,2026,4,"r_121>r_126>r_123>r_125",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_12-runtime-assisted.json"
area_13,2026,4,"r_131>r_136>r_133>r_135",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_13-runtime-assisted.json"
area_14,2026,4,"r_141>r_146>r_143>r_145",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_14-runtime-assisted.json"
area_15,2026,4,"r_151>r_156>r_153>r_155",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_15-runtime-assisted.json"
area_16,2026,4,"r_161>r_166>r_163>r_165",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_16-runtime-assisted.json"
area_17,2026,4,"r_171>r_176>r_173>r_175",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_17-runtime-assisted.json"
area_18,2026,4,"r_181>r_186>r_183>r_185",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_18-runtime-assisted.json"
area_19,2026,4,"r_191>r_196>r_193>r_195",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_19-runtime-assisted.json"
area_20,2026,4,"r_201>r_206>r_203>r_205",2,defeat_final_guardian,PASS,PASS,PASS,PASS,PASS,PASS,PASS_RUNTIME_ASSISTED,"HP assist; errors=0","batch-area_20-runtime-assisted.json"
