SkillID,Monster,SkillName,Type,SlotEquip,Activation,VFX,ActualEffect,Cooldown,TerrainWall,ReplaceReacquire,Status,Notes
s_mon_advanced_knight_b,"상급기사 B","상급기사의 이프리트 화염",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack; no full-frame visual review"
s_mon_ancient_dark_golem,"에인션트 다크골렘","고대 암흑 지진",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack; no full-frame visual review"
s_mon_axe_stump,"엑스텀프","도끼 휘두르기",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack; no full-frame visual review"
s_mon_blood_harp,"블러드 하프","핏빛 깃울림",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack; no full-frame visual review"
s_mon_blue_snail,"파란 달팽이","푸른 껍질",Defense,PASS,PASS,PASS_LOG,PASS,PASS,NOT_APPLICABLE,PASS,PASS_RUNTIME,"shield/defense observed"
s_mon_blue_wyvern,"블루 와이번","빙룡 숨결",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_chief_memory_guardian,"추억의 수호대장","시간 수호진",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_chimera,"키메라","융합체의 산성 포격",Projectile,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"projectile runtime; no internal wall geometry"
s_mon_chronos,"크로노스","크로노스의 시간편린",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_cygnus,"시그너스","타락한 여제의 정원",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_dark_axe_stump,"다크 엑스텀프","어둠의 뿌리",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
s_mon_dark_stump,"다크 스텀프","단단한 밑동",Defense,PASS,PASS,PASS_LOG,PASS,PASS,NOT_APPLICABLE,PASS,PASS_RUNTIME,"shield/defense observed"
s_mon_deo,"데우","잠든 선인장의 폭발",Damage,PASS,PASS,PASS_LOG,PASS,PASS,NO_COLLIDABLE_WALL,PASS,PASS_RUNTIME,"actual PlayerAttack"
