"path","baseline_sha256","rework_sha256"
"RootDesk\MyDesk\PlayerAttack.mlua","EAD1A55528F55DCB73444BF1C6A36ECA2290BCEBA2AD3C704D856699A8DA10AB","2371373F750B5743701381DC4AFC0EBE302F7197B9A1E7B1D2DA378C99BD86A0"
"RootDesk\MyDesk\PlayerHit.mlua","0A878E59B857548FECC35D4768E0986BA52FB668A92F1ADFBE0D62C3DE3007B9","6C83F7A0248BA22154328B8EB4D89E127CA8F92CB90F27AF1B693BBB38CF7380"
"RootDesk\MyDesk\Combat\RoomMonster.mlua","40AA83ABD886A84AE6AA8D58D6AF46C2BBAC6376CF2DCAE388EAC37B72F54E0A","DA0FDCA7ECE8CB9998FC073C5859B2397D7FAFC8D9E28707B0944A95D0937D5D"
"RootDesk\MyDesk\GameData\GameBalance.csv","CF4070AF15C35AF12902C859A9EC6F638BDA4FBF9BA15F5B865DDB5B02D38245","93F8019E6A620C9150E265A14B545492A209225AC6A1BEA23C9AF34F47A6AE51"
"RootDesk\MyDesk\GameData\GameData.mlua","5EBAA7772B83B5462539137EC1023653DD4AECF39A6FBDDB76996C11FD869BD4","A989CF42852760663904BCB98B21BA9B27B01092848E2B5A8419B24FBB6A291D"
"RootDesk\MyDesk\Player\PlayerStats.mlua","43C033A828EC05CBB800BB33D84169C9C6D88C72E761503717FBB0669264912E","1285E3244CCF094B0D31E7E6A37868956545EB94FD4B9BA45A53F6748BF080E7"
"RootDesk\MyDesk\Progress\PlayerCollection.mlua","8A03AE1069C343D50C532A01AC1975EB22EA6CBAD98C3BF027D9624EF37D9888","1CFB67BC771B5E360085A189AD3BF73A60096F03E6935E19643A01C558DBBF06"
"RootDesk\MyDesk\Progress\PlayerSkillSlots.mlua","D8A56C0D56F135E33FA45A5F96C8718F699DB78FABDA5FBBE0DAC5AA7C1F8C92","0769D769C53767964401ADC9B0AFF635CCDCE7B84B57C57AF39D43BC26BA8C46"
"RootDesk\MyDesk\Room\RoomPortal.mlua","4CC9D2DB069FD9778541AB054FFE2E1253F532119878358F25246FB437C61483","52CF468E2226900CF0B421D4F2C64F3B4C138A1A8FDF69319C16433E3B687AA8"
"RootDesk\MyDesk\Room\RoomSpawner.mlua","1DC63C8C220878B11A662427335B7454098E7BB1641B811416E3CA0FDB842BDF","8C43194E80DE0E46B046D94FF4C91798690065227B9F0F68C60BB8E94C534D6A"
"RootDesk\MyDesk\Save\PlayerDBManager.mlua","52CE7D09961247C8A4AB07B1D6BBD50634F5B3445251D1A33C43AB057C138EC6","C7675F573E6B33E4BA8E33ED569AD752D8C913F405676B2EAA26FEF0FBE6659C"
"RootDesk\MyDesk\Save\SavePermanentData.mlua","3673BF8A4993147B12B83EADF3C40035A99B85F7636145CA8CAD614838AEC9D9","257640CA1D1D4445C709A01EF225A7394C8F3905BEDC7B403715DD24B06EACE0"
"RootDesk\MyDesk\UI\AreaSelectPanel.mlua","0332AD5F5BD6E90C81C2DB92B3DCD3D24902EFB1C7FA8C7C1CFC60F7F0E0FAD1","22D252CCAAE0F6E7F3A20A2C58DC1E9A257EB496EB7B38AE452595F610ABBFB1"
"RootDesk\MyDesk\UI\EquipPanel.mlua","FA2A2F57644E85F4A8C2ADF8C95E84887CB062AAD3DF69E972204E8981B66F4F","E7E18B57A2A61D613FE85ACB497548D9477976B974BA52587604D9F247649FBB"
"RootDesk\MyDesk\UI\GoddessPanel.mlua","B7FF8910B2C6CBE1A140D350132A97B650088A1E9706DA2216A38B5353D9C95E","D0069CC4D8E137FACA88817E6BBFFFFB85111251E056523E4D22B0EA2CF4809B"
"RootDesk\MyDesk\UI\InventoryPanel.mlua","8759EFECDE20FC8244F15350A078CABEBABF96B9B30781215F7FDA881057AE4A","8A1D71A05602EE8E840266AE914E6092F72453C2CE92E27CBCF700199E3FD8E3"
"RootDesk\MyDesk\UI\ItemQuickSlotBar.mlua","DACBF07968EBC63543BF33C4E516C597741F0877B44B466157A6B18C49FA9C64","09B2A9EF7FC6DEA50BEC06681F5C8570166B9F13BF1C846BAB3AD7548337AD85"
"RootDesk\MyDesk\UI\PlayerHud.mlua","99F55964BAA94605618881255DC3B5CF5C46EDAE61A114877A1A8BF6B539511C","44BC8B3D158966CCFE3993155762E48528171ADF4ABFE42E2E9650C0A5EB8B08"
"RootDesk\MyDesk\UI\RebirthConfirmPanel.mlua","B9B2AACF83B6754E24071AD46778E7CA3F37397EC8AB294B7B6CAA436497C274","F8C0B0D1066E0416B464577714F42D3097A33294A884D491E035EFF6B9C0E801"
"RootDesk\MyDesk\UI\RoomProgressHud.mlua","992F243BA3AE88DB6B6FC5AAC06132C19AEC822FB0B5BEF6111F36CF2F8B41E9","A63302E663E1BE29543D027D4C3F1EDA28E64C2DBC08A8D6809EB855916EED54"
"RootDesk\MyDesk\UI\SkillBar.mlua","065B1A1BAAF1929F214F31B7ADA0ED17BAF3E5B94B1D116977EBA12D44BE19C7","DFD399388D2A66572FC352984ACC2A30E566512029B3C7F0C21BCBC204947D22"
"RootDesk\MyDesk\UI\StatPanel.mlua","E185BD4B9A76C962535558A157B6E5CED4753A0E34594674B6A68A238A77EDC9","65FA24621E1A2586E01F0FC932B2291694828081557737C33AA291512F8B3354"
"RootDesk\MyDesk\UI\WorldMapPanel.mlua","B71C9E7BCF51BEAB8FC063F1942E8736F89E1F7679E2CD32ECCE99F01CFA1F25","D832C94E873E2F15C532C25F579A4A93B32465A5AD3A4D2BF1BA35D21442BEA8"
