"area_id","room_id","map_name","room_type","classification","map_exists","note"
"","r_town","maptown","town","REFERENCE_PRESERVE","True","메뉴 복귀/정적 허브"
"area_00","r_001","map001","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_00","r_002","map002","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_00","r_003","map003","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_00","r_00a","map00a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_00","r_004","map004","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_00","r_005","map005","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_00","r_006","map006","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_00","r_007","map007","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_01","r_01","map01","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_01","r_02","map02","gate","NEEDS_ADAPTATION","True","레거시 게이트 제거 후 통로/목표 공간으로 재사용"
"area_01","r_03","map03","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_01","r_04","map04","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_01","r_05","map05","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_01","r_job_01","mapjob","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_03","r_job_02","mapjob02","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_02","r_11","map11","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_02","r_12","map12","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_02","r_13","map13","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_02","r_1a","map1a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_02","r_14","map14","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_02","r_15","map15","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_02","r_16","map16","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_02","r_17","map17","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_04","r_041","map041","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_04","r_042","map042","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_04","r_043","map043","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_04","r_04a","map04a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_04","r_044","map044","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_04","r_045","map045","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_04","r_046","map046","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_04","r_047","map047","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_03","r_21","map21","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_03","r_22","map22","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_03","r_23","map23","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_03","r_29","map29","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_03","r_24","map24","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_03","r_25","map25","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_03","r_26","map26","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_03","r_27","map27","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_05","r_051","map051","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_05","r_052","map052","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_05","r_053","map053","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_05","r_05a","map05a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_05","r_054","map054","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_05","r_055","map055","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_05","r_056","map056","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_05","r_057","map057","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_07","r_071","map071","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_07","r_072","map072","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_07","r_073","map073","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_07","r_07a","map07a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_07","r_074","map074","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_07","r_075","map075","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_07","r_076","map076","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_07","r_077","map077","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_08","r_081","map081","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_08","r_082","map082","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_08","r_083","map083","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_08","r_08a","map08a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_08","r_084","map084","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_08","r_085","map085","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_08","r_086","map086","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_08","r_087","map087","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_09","r_091","map091","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_09","r_092","map092","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_09","r_093","map093","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_09","r_09a","map09a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_09","r_094","map094","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_09","r_095","map095","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_09","r_096","map096","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_09","r_097","map097","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_10","r_101","map101","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_10","r_102","map102","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_10","r_103","map103","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_10","r_10a","map10a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_10","r_104","map104","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_10","r_105","map105","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_10","r_106","map106","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_10","r_107","map107","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_11","r_111","map111","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_11","r_112","map112","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_11","r_113","map113","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_11","r_11a","map11a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_11","r_114","map114","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_11","r_115","map115","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_11","r_116","map116","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_11","r_117","map117","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_12","r_121","map121","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_12","r_122","map122","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_12","r_123","map123","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_12","r_12a","map12a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_12","r_124","map124","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_12","r_125","map125","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_12","r_126","map126","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_12","r_127","map127","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_13","r_131","map131","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_13","r_132","map132","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_13","r_133","map133","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_13","r_13a","map13a","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_13","r_134","map134","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_13","r_135","map135","boss","SPECIAL_ENCOUNTER_REUSE","True","최종 또는 선택 강적 공간 후보"
"area_13","r_136","map136","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
"area_13","r_137","map137","hunt","ROOM_CHUNK_REUSE","True","Area 그래프 템플릿과 조우 공간 후보"
